  Lines        Copies      Function name
  -----        ------      -------------
  1863 (100%)  117 (100%)  (TOTAL)
   105 (5.6%)    2 (1.7%)  core::mem::replace
    97 (5.2%)    1 (0.9%)  alloc::alloc::Global::alloc_impl
    78 (4.2%)    2 (1.7%)  core::cell::Cell<T>::replace
    57 (3.1%)    1 (0.9%)  alloc::rc::Rc<T>::new
    53 (2.8%)    1 (0.9%)  alloc::alloc::box_free
    46 (2.5%)    1 (0.9%)  local_waker::LocalWaker::register
    44 (2.4%)    1 (0.9%)  local_waker::LocalWaker::wake
    43 (2.3%)    1 (0.9%)  <alloc::rc::Rc<T> as core::ops::drop::Drop>::drop
    42 (2.3%)    1 (0.9%)  alloc::alloc::exchange_malloc
    41 (2.2%)    2 (1.7%)  core::ptr::read
    34 (1.8%)    1 (0.9%)  alloc::rc::RcInnerPtr::inc_strong
    34 (1.8%)    1 (0.9%)  core::option::Option<T>::ok_or
    33 (1.8%)    1 (0.9%)  <actix_utils::counter::CounterInner as core::fmt::Debug>::fmt
    32 (1.7%)    1 (0.9%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    29 (1.6%)    1 (0.9%)  core::alloc::layout::Layout::for_value
    29 (1.6%)    1 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    28 (1.5%)    1 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    28 (1.5%)    1 (0.9%)  actix_utils::counter::CounterGuard::new
    27 (1.4%)    1 (0.9%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (1.4%)    1 (0.9%)  actix_utils::counter::CounterInner::dec
    26 (1.4%)    2 (1.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
    26 (1.4%)    2 (1.7%)  core::ptr::non_null::NonNull<T>::new_unchecked
    26 (1.4%)    1 (0.9%)  <core::task::wake::Waker as core::clone::Clone>::clone
    26 (1.4%)    1 (0.9%)  actix_utils::counter::CounterInner::available
    25 (1.3%)    1 (0.9%)  actix_utils::counter::Counter::new
    23 (1.2%)    2 (1.7%)  core::ptr::write
    23 (1.2%)    1 (0.9%)  <actix_utils::counter::Counter as core::fmt::Debug>::fmt
    23 (1.2%)    1 (0.9%)  <actix_utils::counter::CounterGuard as core::fmt::Debug>::fmt
    22 (1.2%)    2 (1.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
