  Lines         Copies      Function name
  -----         ------      -------------
  30237 (100%)  579 (100%)  (TOTAL)
   4123 (13.6%)   1 (0.2%)  <cpp_demangle::ast::Expression as cpp_demangle::ast::Demangle<W>>::demangle
   1044 (3.5%)    1 (0.2%)  <cpp_demangle::ast::SpecialName as cpp_demangle::ast::Demangle<W>>::demangle
    663 (2.2%)   55 (9.5%)  cpp_demangle::ast::AutoLogDemangle::new
    638 (2.1%)    1 (0.2%)  <cpp_demangle::ast::Type as cpp_demangle::ast::Demangle<W>>::demangle
    611 (2.0%)    1 (0.2%)  <cpp_demangle::ast::ExprPrimary as cpp_demangle::ast::Demangle<W>>::demangle
    525 (1.7%)    1 (0.2%)  <cpp_demangle::ast::ArrayType as cpp_demangle::ast::DemangleAsInner<W>>::demangle_as_inner
    477 (1.6%)    1 (0.2%)  <cpp_demangle::ast::UnresolvedName as cpp_demangle::ast::Demangle<W>>::demangle
    425 (1.4%)    1 (0.2%)  <cpp_demangle::ast::FunctionArgSlice as cpp_demangle::ast::Demangle<W>>::demangle
    420 (1.4%)    6 (1.0%)  core::option::Option<T>::map_or
    393 (1.3%)    1 (0.2%)  <cpp_demangle::ast::Encoding as cpp_demangle::ast::Demangle<W>>::demangle
    359 (1.2%)    1 (0.2%)  <cpp_demangle::ast::NestedName as cpp_demangle::ast::Demangle<W>>::demangle
    340 (1.1%)    1 (0.2%)  <cpp_demangle::ast::Prefix as cpp_demangle::ast::Demangle<W>>::demangle
    330 (1.1%)    1 (0.2%)  <cpp_demangle::ast::SimpleOperatorName as cpp_demangle::ast::Demangle<W>>::demangle
    320 (1.1%)    1 (0.2%)  <cpp_demangle::ast::TemplateArgs as cpp_demangle::ast::Demangle<W>>::demangle
    309 (1.0%)    1 (0.2%)  <cpp_demangle::ast::OperatorName as cpp_demangle::ast::Demangle<W>>::demangle
    276 (0.9%)    6 (1.0%)  core::option::Option<T>::map
    274 (0.9%)    1 (0.2%)  <cpp_demangle::ast::ResourceName as cpp_demangle::ast::Demangle<W>>::demangle
    261 (0.9%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    257 (0.8%)    1 (0.2%)  <cpp_demangle::ast::MangledName as cpp_demangle::ast::Demangle<W>>::demangle
    246 (0.8%)    1 (0.2%)  <cpp_demangle::ast::Identifier as cpp_demangle::ast::Demangle<W>>::demangle
    245 (0.8%)    1 (0.2%)  <cpp_demangle::ast::StandardBuiltinType as cpp_demangle::ast::Demangle<W>>::demangle
    241 (0.8%)    1 (0.2%)  <cpp_demangle::ast::LocalName as cpp_demangle::ast::Demangle<W>>::demangle
    229 (0.8%)    1 (0.2%)  <addr2line::LocationRangeUnitIter as core::iter::traits::iterator::Iterator>::next
    229 (0.8%)    1 (0.2%)  <cpp_demangle::ast::CtorDtorName as cpp_demangle::ast::Demangle<W>>::demangle
    209 (0.7%)    1 (0.2%)  <cpp_demangle::ast::CvQualifiers as cpp_demangle::ast::Demangle<W>>::demangle
    209 (0.7%)    1 (0.2%)  <cpp_demangle::ast::TemplateArg as cpp_demangle::ast::Demangle<W>>::demangle
    206 (0.7%)    1 (0.2%)  cpp_demangle::Symbol<T>::new_with_options
    205 (0.7%)    5 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    199 (0.7%)    1 (0.2%)  <cpp_demangle::ast::Type as cpp_demangle::ast::DemangleAsInner<W>>::demangle_as_inner
    199 (0.7%)    1 (0.2%)  <cpp_demangle::ast::UnqualifiedName as cpp_demangle::ast::Demangle<W>>::demangle
