  Lines         Copies      Function name
  -----         ------      -------------
  12660 (100%)  223 (100%)  (TOTAL)
    953 (7.5%)    1 (0.4%)  aes::soft::fixslice::aes192_key_schedule
    680 (5.4%)    1 (0.4%)  aes::soft::fixslice::inv_sub_bytes
    624 (4.9%)    1 (0.4%)  aes::soft::fixslice::sub_bytes
    500 (3.9%)    1 (0.4%)  aes::soft::fixslice::aes256_key_schedule
    490 (3.9%)    1 (0.4%)  aes::soft::fixslice::aes128_key_schedule
    417 (3.3%)    1 (0.4%)  aes::soft::fixslice::bitslice
    402 (3.2%)    1 (0.4%)  aes::soft::fixslice::inv_mix_columns_0
    402 (3.2%)    1 (0.4%)  aes::soft::fixslice::inv_mix_columns_1
    402 (3.2%)    1 (0.4%)  aes::soft::fixslice::inv_mix_columns_2
    402 (3.2%)    1 (0.4%)  aes::soft::fixslice::inv_mix_columns_3
    392 (3.1%)    1 (0.4%)  aes::soft::fixslice::inv_bitslice
    273 (2.2%)    1 (0.4%)  aes::soft::fixslice::aes128_decrypt
    273 (2.2%)    1 (0.4%)  aes::soft::fixslice::aes128_encrypt
    273 (2.2%)    1 (0.4%)  aes::soft::fixslice::aes256_decrypt
    273 (2.2%)    1 (0.4%)  aes::soft::fixslice::aes256_encrypt
    270 (2.1%)    1 (0.4%)  aes::soft::fixslice::aes192_decrypt
    270 (2.1%)    1 (0.4%)  aes::soft::fixslice::aes192_encrypt
    266 (2.1%)    1 (0.4%)  aes::soft::fixslice::mix_columns_0
    266 (2.1%)    1 (0.4%)  aes::soft::fixslice::mix_columns_1
    266 (2.1%)    1 (0.4%)  aes::soft::fixslice::mix_columns_2
    266 (2.1%)    1 (0.4%)  aes::soft::fixslice::mix_columns_3
    135 (1.1%)    9 (4.0%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
    130 (1.0%)    1 (0.4%)  aes::soft::fixslice::memshift32
    123 (1.0%)    1 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    109 (0.9%)    1 (0.4%)  aes::soft::fixslice::xor_columns
    100 (0.8%)    1 (0.4%)  aes::soft::fixslice::bitslice::read_reordered
