  Lines         Copies       Function name
  -----         ------       -------------
  60812 (100%)  2244 (100%)  (TOTAL)
   2119 (3.5%)    13 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1305 (2.1%)     9 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    873 (1.4%)     2 (0.1%)  alloc::slice::merge_sort
    864 (1.4%)    12 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    810 (1.3%)     1 (0.0%)  aho_corasick::packed::teddy::compile::Builder::build_imp
    735 (1.2%)    11 (0.5%)  core::fmt::builders::DebugList::entries
    690 (1.1%)    13 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    677 (1.1%)     7 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    672 (1.1%)    12 (0.5%)  core::alloc::layout::Layout::array
    616 (1.0%)    13 (0.6%)  core::slice::iter::Iter<T>::new
    586 (1.0%)    13 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    583 (1.0%)    58 (2.6%)  <&T as core::fmt::Debug>::fmt
    540 (0.9%)     5 (0.2%)  alloc::vec::Vec<T,A>::extend_with
    522 (0.9%)    18 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    520 (0.9%)     6 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    503 (0.8%)     8 (0.4%)  alloc::vec::Vec<T,A>::push
    497 (0.8%)    10 (0.4%)  core::option::Option<T>::map
    452 (0.7%)     2 (0.1%)  alloc::slice::merge
    444 (0.7%)    12 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    385 (0.6%)     1 (0.0%)  core::array::<impl core::default::Default for [T; 32]>::default
    377 (0.6%)    13 (0.6%)  core::ptr::metadata::from_raw_parts
    364 (0.6%)     2 (0.1%)  alloc::slice::insert_head
    308 (0.5%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    300 (0.5%)     1 (0.0%)  alloc::slice::merge_sort::collapse
    299 (0.5%)    13 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    299 (0.5%)     1 (0.0%)  aho_corasick::prefilter::Builder::build
    297 (0.5%)     9 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    296 (0.5%)     5 (0.2%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    292 (0.5%)     1 (0.0%)  aho_corasick::packed::teddy::compile::Compiler::compile
    287 (0.5%)     5 (0.2%)  alloc::alloc::box_free
    286 (0.5%)    11 (0.5%)  <[T] as core::fmt::Debug>::fmt
    284 (0.5%)     8 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    282 (0.5%)     6 (0.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    276 (0.5%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    273 (0.4%)     7 (0.3%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
    270 (0.4%)    18 (0.8%)  core::ptr::slice_from_raw_parts_mut
    260 (0.4%)     2 (0.1%)  core::core_arch::x86::avx2::_mm256_alignr_epi8
    260 (0.4%)     1 (0.0%)  aho_corasick::packed::rabinkarp::RabinKarp::find_at
    247 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddyFat3Mask256::find_at
    247 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddySlim3Mask128::find_at
    247 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddySlim3Mask256::find_at
    244 (0.4%)     6 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    244 (0.4%)     6 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    244 (0.4%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    242 (0.4%)    12 (0.5%)  core::ptr::read
    237 (0.4%)     3 (0.1%)  alloc::collections::btree::node::slice_insert
    225 (0.4%)     3 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    222 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddyFat2Mask256::find_at
    222 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddySlim2Mask128::find_at
    222 (0.4%)     1 (0.0%)  aho_corasick::packed::teddy::runtime::TeddySlim2Mask256::find_at
    219 (0.4%)     1 (0.0%)  <aho_corasick::packed::teddy::runtime::Exec as core::fmt::Debug>::fmt
    218 (0.4%)    28 (1.2%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    216 (0.4%)    18 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
    214 (0.4%)    16 (0.7%)  core::ptr::non_null::NonNull<T>::cast
    214 (0.4%)     6 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    214 (0.4%)     1 (0.0%)  aho_corasick::packed::api::Builder::build
    214 (0.4%)     1 (0.0%)  aho_corasick::prefilter::RareBytesBuilder::build
    213 (0.4%)    19 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
    208 (0.3%)    13 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
    204 (0.3%)    17 (0.8%)  core::ptr::const_ptr::<impl *const T>::offset
