  Lines         Copies      Function name
  -----         ------      -------------
  11708 (100%)  322 (100%)  (TOTAL)
    565 (4.8%)    1 (0.3%)  ansi_term::debug::<impl core::fmt::Debug for ansi_term::style::Style>::fmt
    487 (4.2%)    1 (0.3%)  ansi_term::ansi::<impl ansi_term::style::Style>::write_prefix
    417 (3.6%)    1 (0.3%)  ansi_term::display::ANSIGenericStrings<S>::write_to_any
    393 (3.4%)    1 (0.3%)  ansi_term::difference::Difference::between
    350 (3.0%)    8 (2.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    326 (2.8%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    212 (1.8%)    1 (0.3%)  <ansi_term::style::Style as core::cmp::PartialEq>::eq
    193 (1.6%)    1 (0.3%)  alloc::alloc::Global::grow_impl
    179 (1.5%)    3 (0.9%)  core::result::Result<T,E>::map_err
    174 (1.5%)    6 (1.9%)  core::fmt::ArgumentV1::new
    165 (1.4%)    7 (2.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    164 (1.4%)    1 (0.3%)  ansi_term::util::sub_string
    161 (1.4%)    1 (0.3%)  ansi_term::ansi::<impl ansi_term::style::Colour>::write_background_code
    161 (1.4%)    1 (0.3%)  ansi_term::ansi::<impl ansi_term::style::Colour>::write_foreground_code
    152 (1.3%)    1 (0.3%)  alloc::raw_vec::finish_grow
    147 (1.3%)    1 (0.3%)  <ansi_term::style::Colour as core::cmp::PartialEq>::eq
    147 (1.3%)    1 (0.3%)  <ansi_term::style::Colour as core::cmp::PartialEq>::ne
    145 (1.2%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (1.2%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    127 (1.1%)    3 (0.9%)  core::option::Option<T>::ok_or
    124 (1.1%)    1 (0.3%)  ansi_term::display::ANSIGenericString<S>::write_to_any
    121 (1.0%)    1 (0.3%)  <ansi_term::style::Colour as core::fmt::Debug>::fmt
    112 (1.0%)    2 (0.6%)  core::alloc::layout::Layout::array
    104 (0.9%)    1 (0.3%)  ansi_term::ansi::<impl ansi_term::style::Style>::write_prefix::{{closure}}
    102 (0.9%)    1 (0.3%)  ansi_term::style::Colour::on
    100 (0.9%)    1 (0.3%)  <ansi_term::ansi::Infix as core::fmt::Display>::fmt
     97 (0.8%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
     93 (0.8%)    2 (0.6%)  core::slice::iter::Iter<T>::new
     86 (0.7%)    1 (0.3%)  ansi_term::style::Colour::normal
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::blink
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::bold
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::dimmed
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::hidden
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::italic
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::reverse
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::strikethrough
     82 (0.7%)    1 (0.3%)  ansi_term::style::Colour::underline
     81 (0.7%)    1 (0.3%)  ansi_term::style::Style::fg
     81 (0.7%)    1 (0.3%)  ansi_term::style::Style::on
     78 (0.7%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     78 (0.7%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::ne
     77 (0.7%)    1 (0.3%)  core::ptr::drop_in_place<[ansi_term::display::ANSIGenericString<str>]>
     74 (0.6%)    2 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     74 (0.6%)    1 (0.3%)  <core::slice::iter::Windows<T> as core::iter::traits::iterator::Iterator>::next
     70 (0.6%)    1 (0.3%)  core::cmp::max_by
     67 (0.6%)    1 (0.3%)  ansi_term::util::unstyle
     64 (0.5%)    1 (0.3%)  alloc::vec::Vec<T,A>::push
     62 (0.5%)    1 (0.3%)  ansi_term::debug::<impl core::fmt::Debug for ansi_term::style::Style>::fmt::{{closure}}
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::blink
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::bold
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::dimmed
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::hidden
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::italic
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::reverse
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::strikethrough
     61 (0.5%)    1 (0.3%)  ansi_term::style::Style::underline
     60 (0.5%)    1 (0.3%)  ansi_term::util::unstyled_len
     59 (0.5%)    1 (0.3%)  core::fmt::Arguments::new_v1
     58 (0.5%)    2 (0.6%)  core::ptr::metadata::from_raw_parts
     58 (0.5%)    2 (0.6%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::make_slice
     57 (0.5%)    1 (0.3%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
     55 (0.5%)    1 (0.3%)  <ansi_term::difference::Difference as core::fmt::Debug>::fmt
     54 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     54 (0.5%)    1 (0.3%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::index
     52 (0.4%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     51 (0.4%)    1 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     51 (0.4%)    1 (0.3%)  ansi_term::ansi::<impl ansi_term::style::Colour>::infix
     48 (0.4%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.4%)    1 (0.3%)  core::str::<impl str>::is_char_boundary
     47 (0.4%)    1 (0.3%)  <alloc::borrow::Cow<B> as core::ops::deref::Deref>::deref
     46 (0.4%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
