  Lines         Copies      Function name
  -----         ------      -------------
  19953 (100%)  722 (100%)  (TOTAL)
   1161 (5.8%)   26 (3.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1034 (5.2%)    5 (0.7%)  arbitrary::unstructured::Unstructured::int_in_range_impl
    815 (4.1%)   44 (6.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    620 (3.1%)   10 (1.4%)  core::result::Result<T,E>::map
    512 (2.6%)    1 (0.1%)  arbitrary::unstructured::Unstructured::arbitrary_byte_size
    305 (1.5%)    5 (0.7%)  core::result::Result<T,E>::map_err
    207 (1.0%)    3 (0.4%)  alloc::boxed::Box<T,A>::into_unique
    205 (1.0%)    3 (0.4%)  alloc::alloc::box_free
    193 (1.0%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (1.0%)    2 (0.3%)  alloc::vec::Vec<T,A>::retain_mut::process_loop
    180 (0.9%)    4 (0.6%)  core::option::Option<T>::ok_or
    180 (0.9%)    1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    163 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    162 (0.8%)    3 (0.4%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    155 (0.8%)    3 (0.4%)  core::mem::replace
    152 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    147 (0.7%)    1 (0.1%)  <&str as arbitrary::Arbitrary>::arbitrary
    145 (0.7%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    141 (0.7%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    129 (0.6%)    8 (1.1%)  core::ops::function::FnOnce::call_once
    126 (0.6%)    3 (0.4%)  alloc::boxed::Box<T,A>::from_raw_in
    121 (0.6%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    118 (0.6%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    114 (0.6%)    1 (0.1%)  <u8 as arbitrary::Arbitrary>::arbitrary
    113 (0.6%)    1 (0.1%)  <i16 as arbitrary::Arbitrary>::arbitrary
    113 (0.6%)    1 (0.1%)  <i32 as arbitrary::Arbitrary>::arbitrary
    113 (0.6%)    1 (0.1%)  <u16 as arbitrary::Arbitrary>::arbitrary
    113 (0.6%)    1 (0.1%)  <u32 as arbitrary::Arbitrary>::arbitrary
