  Lines        Copies      Function name
  -----        ------      -------------
  9327 (100%)  342 (100%)  (TOTAL)
   551 (5.9%)    1 (0.3%)  async_attributes::bench
   533 (5.7%)    1 (0.3%)  async_attributes::main
   446 (4.8%)    4 (1.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
   406 (4.4%)    1 (0.3%)  async_attributes::test
   286 (3.1%)    4 (1.2%)  std::thread::local::LocalKey<T>::try_with
   278 (3.0%)    6 (1.8%)  core::mem::replace
   216 (2.3%)    1 (0.3%)  <F as syn::parse::Parser>::parse2
   204 (2.2%)    2 (0.6%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
   203 (2.2%)    3 (0.9%)  alloc::alloc::box_free
   168 (1.8%)    1 (0.3%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
   163 (1.7%)    2 (0.6%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
   138 (1.5%)    7 (2.0%)  core::ops::function::FnOnce::call_once
   129 (1.4%)    3 (0.9%)  core::result::Result<T,E>::expect
   127 (1.4%)    7 (2.0%)  core::ptr::read
   127 (1.4%)    1 (0.3%)  std::panicking::update_hook
   119 (1.3%)    2 (0.6%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
   117 (1.3%)    3 (0.9%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
   102 (1.1%)    8 (2.3%)  core::mem::manually_drop::ManuallyDrop<T>::new
    97 (1.0%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    80 (0.9%)    2 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    75 (0.8%)    2 (0.6%)  proc_macro::bridge::client::run_client::{{closure}}
    75 (0.8%)    1 (0.3%)  proc_macro::bridge::client::run_client
    73 (0.8%)    1 (0.3%)  proc_macro::bridge::client::Client<fn(proc_macro::TokenStream,proc_macro::TokenStream) .> proc_macro::TokenStream>::expand2::run::{{closure}}
    70 (0.8%)    7 (2.0%)  <&T as quote::to_tokens::ToTokens>::to_tokens
    70 (0.8%)    2 (0.6%)  core::cell::Cell<T>::replace
    69 (0.7%)    4 (1.2%)  core::option::Option<T>::unwrap
    69 (0.7%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    69 (0.7%)    1 (0.3%)  std::sys::unix::rwlock::RWLock::write
    68 (0.7%)    1 (0.3%)  proc_macro::bridge::buffer::Buffer<T>::push
    68 (0.7%)    1 (0.3%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    67 (0.7%)    1 (0.3%)  <proc_macro::bridge::buffer::Buffer<T> as core::convert::From<alloc::vec::Vec<T>>>::from
    66 (0.7%)    1 (0.3%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append_all
    64 (0.7%)    7 (2.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    63 (0.7%)    1 (0.3%)  core::result::Result<T,E>::map_err
    63 (0.7%)    1 (0.3%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
    62 (0.7%)    1 (0.3%)  <core::option::Option<T> as proc_macro::bridge::rpc::Encode<S>>::encode
    59 (0.6%)    1 (0.3%)  core::fmt::Arguments::new_v1
    58 (0.6%)    1 (0.3%)  std::thread::local::fast::Key<T>::get
    57 (0.6%)    1 (0.3%)  std::thread::local::fast::Key<T>::try_initialize
    55 (0.6%)    1 (0.3%)  std::panicking::try
    54 (0.6%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    53 (0.6%)    4 (1.2%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
    53 (0.6%)    1 (0.3%)  std::sync::once::Once::call_once
    52 (0.6%)    9 (2.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    52 (0.6%)    2 (0.6%)  quote::to_tokens::ToTokens::to_token_stream
    51 (0.5%)    1 (0.3%)  <(A,B) as proc_macro::bridge::rpc::DecodeMut<S>>::decode
    50 (0.5%)    6 (1.8%)  core::ptr::write
    49 (0.5%)    4 (1.2%)  core::mem::forget
    48 (0.5%)    2 (0.6%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}::{{closure}}
