  Lines         Copies       Function name
  -----         ------       -------------
  51319 (100%)  1856 (100%)  (TOTAL)
    794 (1.5%)     2 (0.1%)  alloc::collections::btree::node::BalancingContext<K,V>::do_merge
    762 (1.5%)     6 (0.3%)  async_io::Async<T>::new
    690 (1.3%)     1 (0.1%)  async_io::reactor::ReactorLock::react
    685 (1.3%)    14 (0.8%)  core::mem::replace
    607 (1.2%)    11 (0.6%)  alloc::alloc::box_free
    572 (1.1%)    28 (1.5%)  core::ptr::read
    558 (1.1%)    11 (0.6%)  core::option::Option<T>::map
    543 (1.1%)    11 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    499 (1.0%)    17 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    489 (1.0%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    474 (0.9%)     1 (0.1%)  async_io::reactor::Source::poll_ready
    435 (0.8%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    426 (0.8%)     1 (0.1%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_right
    414 (0.8%)     1 (0.1%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_left
    406 (0.8%)     1 (0.1%)  <async_io::Timer as futures_core::stream::Stream>::poll_next
    366 (0.7%)     9 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    366 (0.7%)     9 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    344 (0.7%)     4 (0.2%)  std::sync::poison::map_result
    339 (0.7%)     1 (0.1%)  concurrent_queue::unbounded::Unbounded<T>::push
    337 (0.7%)    30 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    334 (0.7%)     1 (0.1%)  concurrent_queue::unbounded::Unbounded<T>::pop
    333 (0.6%)     1 (0.1%)  std::thread::Builder::spawn_unchecked_
