  Lines         Copies       Function name
  -----         ------       -------------
  22636 (100%)  1012 (100%)  (TOTAL)
    714 (3.2%)    14 (1.4%)  core::mem::replace
    409 (1.8%)    21 (2.1%)  core::ptr::read
    408 (1.8%)     8 (0.8%)  core::option::Option<T>::map
    405 (1.8%)     7 (0.7%)  alloc::alloc::box_free
    403 (1.8%)     1 (0.1%)  async_process::Child::new
    381 (1.7%)     3 (0.3%)  async_io::Async<T>::new
    376 (1.7%)     5 (0.5%)  alloc::sync::Arc<T>::new
    341 (1.5%)     1 (0.1%)  signal_hook_registry::register_unchecked_impl
    329 (1.5%)     1 (0.1%)  std::thread::Builder::spawn_unchecked_
    328 (1.4%)     7 (0.7%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    324 (1.4%)     2 (0.2%)  <async_io::Async<T> as futures_io::if_std::AsyncRead>::poll_read
    308 (1.4%)     5 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    288 (1.3%)     4 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    258 (1.1%)     3 (0.3%)  std::sync::poison::map_result
    257 (1.1%)     5 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    256 (1.1%)    16 (1.6%)  core::ops::function::FnOnce::call_once
    255 (1.1%)     3 (0.3%)  core::option::Option<core::result::Result<T,E>>::transpose
    234 (1.0%)     8 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    233 (1.0%)    23 (2.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    233 (1.0%)     5 (0.5%)  alloc::sync::Weak<T>::inner
    229 (1.0%)     1 (0.1%)  signal_hook::iterator::backend::SignalDelivery<R,E>::with_pipe
    195 (0.9%)     1 (0.1%)  <signal_hook::iterator::backend::PendingSignals<E> as signal_hook::iterator::backend::AddSignal>::add_signal
    192 (0.8%)     2 (0.2%)  once_cell::imp::OnceCell<T>::initialize::{{closure}}
    189 (0.8%)     3 (0.3%)  std::sync::mutex::Mutex<T>::new
    187 (0.8%)     1 (0.1%)  signal_hook::iterator::SignalsInfo<E>::with_exfiltrator
    180 (0.8%)    17 (1.7%)  core::ptr::write
    178 (0.8%)     1 (0.1%)  async_process::Command::output
    177 (0.8%)     3 (0.3%)  core::result::Result<T,E>::unwrap
    175 (0.8%)     1 (0.1%)  <async_io::Async<T> as futures_io::if_std::AsyncWrite>::poll_flush
    174 (0.8%)     2 (0.2%)  once_cell::sync::OnceCell<T>::get_or_try_init
    170 (0.8%)     2 (0.2%)  std::thread::Builder::spawn_unchecked_::{{closure}}
    168 (0.7%)     1 (0.1%)  async_process::Command::spawn
    163 (0.7%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    162 (0.7%)     1 (0.1%)  <async_io::Async<T> as futures_io::if_std::AsyncWrite>::poll_write
    153 (0.7%)    15 (1.5%)  <&T as core::fmt::Debug>::fmt
    153 (0.7%)     3 (0.3%)  core::option::Option<T>::unwrap_or_else
    151 (0.7%)    12 (1.2%)  core::option::Option<T>::take
    149 (0.7%)    25 (2.5%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    148 (0.7%)     5 (0.5%)  core::alloc::layout::Layout::for_value_raw
    148 (0.7%)     4 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    146 (0.6%)     1 (0.1%)  signal_hook::iterator::backend::SignalIterator<SD,E>::poll_signal
    132 (0.6%)     1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    122 (0.5%)     7 (0.7%)  core::option::Option<T>::unwrap
    119 (0.5%)     1 (0.1%)  async_process::Child::output
    117 (0.5%)     5 (0.5%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    116 (0.5%)     4 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    114 (0.5%)     3 (0.3%)  <async_io::Async<T> as core::fmt::Debug>::fmt
    111 (0.5%)    23 (2.3%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    109 (0.5%)    11 (1.1%)  core::ptr::unique::Unique<T>::cast
    105 (0.5%)     1 (0.1%)  signal_hook::iterator::backend::SignalDelivery<R,E>::poll_pending
    103 (0.5%)    22 (2.2%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    103 (0.5%)     1 (0.1%)  core::ptr::drop_in_place<async_process::Child::output::{{closure}}>
    102 (0.5%)     1 (0.1%)  signal_hook::iterator::backend::PendingSignals<E>::new
    101 (0.4%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    100 (0.4%)     1 (0.1%)  async_process::Child::new::<impl core::ops::drop::Drop for async_process::ChildGuard>::drop
    100 (0.4%)     1 (0.1%)  core::ptr::drop_in_place<async_process::Child::status::{{closure}}>
     97 (0.4%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.4%)     3 (0.3%)  <async_io::Async<T> as core::ops::drop::Drop>::drop
     92 (0.4%)     2 (0.2%)  once_cell::imp::OnceCell<T>::initialize
     92 (0.4%)     1 (0.1%)  <signal_hook::iterator::Forever<E> as core::iter::traits::iterator::Iterator>::next
     92 (0.4%)     1 (0.1%)  <signal_hook::iterator::backend::Pending<E> as core::iter::traits::iterator::Iterator>::next
     90 (0.4%)     9 (0.9%)  core::future::from_generator
     89 (0.4%)     1 (0.1%)  async_process::Child::new::ZOMBIES::{{closure}}::{{closure}}
     88 (0.4%)     4 (0.4%)  core::option::Option<T>::as_mut
     86 (0.4%)    10 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
     83 (0.4%)     1 (0.1%)  alloc::collections::btree::mem::replace
     83 (0.4%)     1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     82 (0.4%)     8 (0.8%)  core::ptr::non_null::NonNull<T>::cast
     80 (0.4%)     5 (0.5%)  alloc::sync::Arc<T>::drop_slow
     79 (0.3%)     1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     77 (0.3%)     1 (0.1%)  core::ptr::drop_in_place<[alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = core::result::Result<(),std::io::error::Error>+core::marker::Send+core::marker::Sync>]>
     77 (0.3%)     1 (0.1%)  core::ptr::drop_in_place<[std::ffi::c_str::CString]>
     77 (0.3%)     1 (0.1%)  core::ptr::drop_in_place<[std::process::Child]>
     76 (0.3%)     1 (0.1%)  signal_hook::iterator::SignalsInfo<E>::has_signals
     75 (0.3%)     3 (0.3%)  std::sync::mutex::MutexGuard<T>::new::{{closure}}
     75 (0.3%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     74 (0.3%)     1 (0.1%)  signal_hook::iterator::backend::Handle::new
     72 (0.3%)     9 (0.9%)  core::pin::Pin<P>::new_unchecked
     67 (0.3%)     4 (0.4%)  core::option::Option<T>::is_some
     67 (0.3%)     1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::iter::traits::collect::IntoIterator>::into_iter
     67 (0.3%)     1 (0.1%)  core::fmt::builders::DebugList::entries
     66 (0.3%)     3 (0.3%)  std::sync::poison::PoisonError<T>::new
     66 (0.3%)     2 (0.2%)  core::cell::Cell<T>::replace
     64 (0.3%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
     64 (0.3%)     1 (0.1%)  alloc::vec::Vec<T,A>::push
     63 (0.3%)     1 (0.1%)  std::thread::Builder::spawn_unchecked
     62 (0.3%)     1 (0.1%)  alloc::vec::Vec<T,A>::swap_remove
     61 (0.3%)    10 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
     60 (0.3%)     4 (0.4%)  alloc::vec::Vec<T,A>::as_mut_ptr
     60 (0.3%)     4 (0.4%)  core::ptr::slice_from_raw_parts_mut
     60 (0.3%)     2 (0.2%)  once_cell::imp::OnceCell<T>::get_unchecked
     59 (0.3%)     1 (0.1%)  <alloc::collections::btree::map::IntoIter<K,V> as core::ops::drop::Drop>::drop
     59 (0.3%)     1 (0.1%)  core::fmt::Arguments::new_v1
     58 (0.3%)     2 (0.2%)  core::fmt::ArgumentV1::new
     58 (0.3%)     2 (0.2%)  once_cell::sync::Lazy<T,F>::force::{{closure}}
     57 (0.3%)     1 (0.1%)  event_listener::Event::notify
     56 (0.2%)     6 (0.6%)  core::ptr::unique::Unique<T>::as_ref
     56 (0.2%)     5 (0.5%)  core::mem::align_of_val_raw
     56 (0.2%)     5 (0.5%)  core::mem::size_of_val_raw
     56 (0.2%)     4 (0.4%)  alloc::boxed::Box<T,A>::leak
     56 (0.2%)     1 (0.1%)  async_process::blocking_fd
     56 (0.2%)     1 (0.1%)  core::alloc::layout::Layout::array
     56 (0.2%)     1 (0.1%)  signal_hook_registry::register_sigaction_impl
     55 (0.2%)     4 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     54 (0.2%)     6 (0.6%)  core::cell::UnsafeCell<T>::new
     54 (0.2%)     6 (0.6%)  core::pin::Pin<P>::as_mut
     54 (0.2%)     1 (0.1%)  <async_process::Command as core::fmt::Debug>::fmt
     54 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
     54 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<async_process::Child>
     54 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<std::process::Child>
     54 (0.2%)     1 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     53 (0.2%)     5 (0.5%)  alloc::rc::is_dangling
     53 (0.2%)     1 (0.1%)  std::io::error::Error::kind
     52 (0.2%)     1 (0.1%)  <signal_hook::iterator::backend::PendingSignals<E> as signal_hook::iterator::backend::AddSignal>::add_signal::{{closure}}
     51 (0.2%)    11 (1.1%)  core::cell::UnsafeCell<T>::get
     51 (0.2%)     3 (0.3%)  <std::sync::poison::PoisonError<T> as core::fmt::Debug>::fmt
     51 (0.2%)     3 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::new_edge
     51 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::full_range
     51 (0.2%)     1 (0.1%)  core::option::Option<T>::ok_or
     50 (0.2%)     4 (0.4%)  alloc::sync::Arc<T>::get_mut_unchecked
     50 (0.2%)     1 (0.1%)  async_process::Child::new::ZOMBIES::{{closure}}
     48 (0.2%)     6 (0.6%)  <core::pin::Pin<P> as core::ops::deref::DerefMut>::deref_mut
     48 (0.2%)     4 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::offset
     48 (0.2%)     3 (0.3%)  std::sync::mutex::MutexGuard<T>::new
     48 (0.2%)     1 (0.1%)  core::slice::iter::Iter<T>::new
     48 (0.2%)     1 (0.1%)  std::panicking::try
     47 (0.2%)     1 (0.1%)  async_process::Child::new::wait_sigchld
     47 (0.2%)     1 (0.1%)  core::result::Result<T,E>::expect
     46 (0.2%)     2 (0.2%)  once_cell::sync::OnceCell<T>::get_or_init
     46 (0.2%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     46 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_end
     45 (0.2%)     5 (0.5%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     45 (0.2%)     3 (0.3%)  <std::sync::mutex::MutexGuard<T> as core::ops::drop::Drop>::drop
     45 (0.2%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend::{{closure}}
     45 (0.2%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
     45 (0.2%)     1 (0.1%)  async_process::Child::kill
     44 (0.2%)     2 (0.2%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
     43 (0.2%)     6 (0.6%)  <T as core::convert::Into<U>>::into
     43 (0.2%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::descend
     43 (0.2%)     1 (0.1%)  core::num::<impl usize>::checked_add
     43 (0.2%)     1 (0.1%)  core::num::<impl usize>::checked_mul
     43 (0.2%)     1 (0.1%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)     1 (0.1%)  core::num::<impl usize>::overflowing_mul
     42 (0.2%)     2 (0.2%)  once_cell::take_unchecked
     42 (0.2%)     1 (0.1%)  alloc::alloc::exchange_malloc
     42 (0.2%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
     42 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = core::result::Result<(),std::io::error::Error>+core::marker::Send+core::marker::Sync>>
     42 (0.2%)     1 (0.1%)  std::sync::poison::Flag::borrow
     41 (0.2%)     1 (0.1%)  <core::task::poll::Poll<core::result::Result<T,F>> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     41 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<signal_hook::iterator::backend::Handle>
     41 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<signal_hook::iterator::backend::SignalDelivery<std::os::unix::net::stream::UnixStream,signal_hook::iterator::exfiltrator::SignalOnly>>
     41 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<std::thread::Builder::spawn_unchecked_<async_process::Child::new::ZOMBIES::{{closure}}::{{closure}},()>::{{closure}}>
     40 (0.2%)     5 (0.5%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
     40 (0.2%)     2 (0.2%)  async_io::Async<T>::poll_readable
     40 (0.2%)     1 (0.1%)  <signal_hook_registry::SignalData as core::clone::Clone>::clone
     40 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<async_io::Async<std::process::ChildStderr>>
     40 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<async_io::Async<std::process::ChildStdin>>
     40 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<async_io::Async<std::process::ChildStdout>>
     39 (0.2%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
     39 (0.2%)     1 (0.1%)  signal_hook::iterator::backend::SignalIterator<SD,E>::new
     38 (0.2%)     1 (0.1%)  alloc::raw_vec::handle_reserve
     37 (0.2%)     6 (0.6%)  core::mem::drop
     37 (0.2%)     1 (0.1%)  async_process::Child::id
     37 (0.2%)     1 (0.1%)  async_process::Child::try_status
     36 (0.2%)     4 (0.4%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     36 (0.2%)     4 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::add
     36 (0.2%)     3 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset
     36 (0.2%)     2 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::right_edge
     36 (0.2%)     2 (0.2%)  once_cell::sync::OnceCell<T>::get
     36 (0.2%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::deallocate_and_ascend
     35 (0.2%)     5 (0.5%)  alloc::sync::Arc<T>::from_inner
     35 (0.2%)     1 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     35 (0.2%)     1 (0.1%)  alloc::collections::btree::map::IntoIter<K,V>::dying_next
     34 (0.2%)     2 (0.2%)  core::alloc::layout::Layout::new
     34 (0.2%)     1 (0.1%)  <signal_hook::iterator::backend::PendingSignals<E> as core::fmt::Debug>::fmt
     33 (0.1%)     1 (0.1%)  std::panicking::try::do_catch
     32 (0.1%)     4 (0.4%)  alloc::raw_vec::RawVec<T,A>::ptr
     32 (0.1%)     2 (0.2%)  core::alloc::layout::size_align
     32 (0.1%)     1 (0.1%)  core::result::Result<T,E>::ok
     31 (0.1%)     1 (0.1%)  signal_hook::iterator::SignalsInfo<E>::new
     30 (0.1%)     6 (0.6%)  <&mut T as core::ops::deref::DerefMut>::deref_mut
     30 (0.1%)     6 (0.6%)  core::pin::Pin<&mut T>::get_mut
     30 (0.1%)     6 (0.6%)  core::ptr::non_null::NonNull<T>::as_ptr
     30 (0.1%)     2 (0.2%)  std::thread::Builder::spawn_unchecked_<[closure@src/lib.rs:217:24: 236:18], 
     30 (0.1%)     1 (0.1%)  <<alloc::collections::btree::map::IntoIter<K,V> as core::ops::drop::Drop>::drop::DropGuard<K,V> as core::ops::drop::Drop>::drop
     30 (0.1%)     1 (0.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     29 (0.1%)     1 (0.1%)  <async_process::Child as core::fmt::Debug>::fmt
     29 (0.1%)     1 (0.1%)  std::sync::poison::Flag::done
     28 (0.1%)     2 (0.2%)  <usize as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     28 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<<signal_hook::iterator::backend::PendingSignals<signal_hook::iterator::exfiltrator::SignalOnly> as signal_hook::iterator::backend::AddSignal>::add_signal::{{closure}}>
     28 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<std::sync::mutex::Mutex<alloc::vec::Vec<core::option::Option<signal_hook_registry::SigId>>>>
     28 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<std::sync::mutex::Mutex<alloc::vec::Vec<std::process::Child>>>
     28 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<std::sync::mutex::Mutex<async_process::ChildGuard>>
