  Lines        Copies      Function name
  -----        ------      -------------
  6474 (100%)  265 (100%)  (TOTAL)
   322 (5.0%)    7 (2.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   193 (3.0%)    1 (0.4%)  alloc::alloc::Global::grow_impl
   179 (2.8%)    3 (1.1%)  core::result::Result<T,E>::map_err
   163 (2.5%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   152 (2.3%)    6 (2.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   152 (2.3%)    1 (0.4%)  alloc::raw_vec::finish_grow
   145 (2.2%)    5 (1.9%)  core::fmt::ArgumentV1::new
   145 (2.2%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   127 (2.0%)    3 (1.1%)  core::option::Option<T>::ok_or
    97 (1.5%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    93 (1.4%)    2 (0.8%)  core::slice::iter::Iter<T>::new
    89 (1.4%)    1 (0.4%)  <[u128; 2] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 3] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 4] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 5] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 6] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 7] as bitmaps::types::BitOps>::make_mask
    89 (1.4%)    1 (0.4%)  <[u128; 8] as bitmaps::types::BitOps>::make_mask
    87 (1.3%)    1 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    84 (1.3%)    1 (0.4%)  <[u128; 2] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 3] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 4] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 5] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 6] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 7] as bitmaps::types::BitOps>::to_hex
    84 (1.3%)    1 (0.4%)  <[u128; 8] as bitmaps::types::BitOps>::to_hex
    77 (1.2%)    7 (2.6%)  core::array::<impl core::iter::traits::collect::IntoIterator for &[T; N]>::into_iter
    72 (1.1%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    71 (1.1%)    1 (0.4%)  bitmaps::bitmap::x86_arch::<impl bitmaps::bitmap::Bitmap<1024_usize>>::load_m128i
    70 (1.1%)    1 (0.4%)  core::cmp::max_by
    59 (0.9%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (0.9%)    1 (0.4%)  core::slice::iter::Iter<T>::make_slice
    56 (0.9%)    1 (0.4%)  core::alloc::layout::Layout::array
    55 (0.8%)    1 (0.4%)  bitmaps::bitmap::x86_arch::<impl bitmaps::bitmap::Bitmap<768_usize>>::load_m128i
    54 (0.8%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    54 (0.8%)    1 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    52 (0.8%)    1 (0.4%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    50 (0.8%)    5 (1.9%)  <&T as core::fmt::LowerHex>::fmt
    48 (0.7%)    4 (1.5%)  core::ptr::const_ptr::<impl *const T>::offset
    48 (0.7%)    1 (0.4%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    48 (0.7%)    1 (0.4%)  core::slice::iter::IterMut<T>::new
    46 (0.7%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    46 (0.7%)    1 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.7%)    2 (0.8%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.7%)    1 (0.4%)  core::num::<impl usize>::checked_add
    43 (0.7%)    1 (0.4%)  core::num::<impl usize>::checked_mul
    43 (0.7%)    1 (0.4%)  core::num::<impl usize>::overflowing_add
    43 (0.7%)    1 (0.4%)  core::num::<impl usize>::overflowing_mul
    42 (0.6%)    7 (2.6%)  bitmaps::bitmap::Bitmap<_>::into_value
    39 (0.6%)    1 (0.4%)  bitmaps::bitmap::x86_arch::<impl bitmaps::bitmap::Bitmap<1024_usize>>::load_m256i
