  Lines        Copies      Function name
  -----        ------      -------------
  1869 (100%)  145 (100%)  (TOTAL)
   180 (9.6%)    5 (3.4%)  core::sync::atomic::atomic_load
    82 (4.4%)    1 (0.7%)  <bitvec::array::traits::TryFromBitSliceError as core::fmt::Debug>::fmt
    61 (3.3%)    1 (0.7%)  <bitvec::array::traits::TryFromBitSliceError as core::fmt::Display>::fmt
    59 (3.2%)    1 (0.7%)  core::fmt::Arguments::new_v1
    50 (2.7%)    5 (3.4%)  <&T as core::fmt::Debug>::fmt
    45 (2.4%)    5 (3.4%)  core::cell::Cell<T>::new
    35 (1.9%)    5 (3.4%)  core::cell::Cell<T>::get
    35 (1.9%)    5 (3.4%)  core::cell::UnsafeCell<T>::new
    29 (1.6%)    1 (0.7%)  <bitvec::access::BitSafeU16 as core::fmt::Debug>::fmt
    29 (1.6%)    1 (0.7%)  <bitvec::access::BitSafeU32 as core::fmt::Debug>::fmt
    29 (1.6%)    1 (0.7%)  <bitvec::access::BitSafeU64 as core::fmt::Debug>::fmt
    29 (1.6%)    1 (0.7%)  <bitvec::access::BitSafeU8 as core::fmt::Debug>::fmt
    29 (1.6%)    1 (0.7%)  <bitvec::access::BitSafeUsize as core::fmt::Debug>::fmt
    29 (1.6%)    1 (0.7%)  core::fmt::ArgumentV1::new
    28 (1.5%)    1 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    27 (1.4%)    1 (0.7%)  <bitvec::vec::iter::FillStatus as core::fmt::Debug>::fmt
    20 (1.1%)    5 (3.4%)  core::cell::UnsafeCell<T>::get
    19 (1.0%)    1 (0.7%)  bitvec::access::BitSafeU16::new
    19 (1.0%)    1 (0.7%)  bitvec::access::BitSafeU32::new
    19 (1.0%)    1 (0.7%)  bitvec::access::BitSafeU64::new
    19 (1.0%)    1 (0.7%)  bitvec::access::BitSafeUsize::new
    19 (1.0%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU16>::new
    19 (1.0%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU32>::new
    19 (1.0%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU64>::new
    19 (1.0%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicUsize>::new
