  Lines        Copies      Function name
  -----        ------      -------------
  7622 (100%)  242 (100%)  (TOTAL)
   616 (8.1%)    1 (0.4%)  blake2::Blake2sVarCore::new_with_params
   576 (7.6%)    1 (0.4%)  blake2::Blake2bVarCore::new_with_params
   386 (5.1%)    2 (0.8%)  core::array::<impl core::default::Default for [T; _]>::default
   306 (4.0%)    1 (0.4%)  blake2::Blake2sVarCore::compress
   244 (3.2%)    1 (0.4%)  blake2::Blake2bVarCore::compress
   234 (3.1%)    2 (0.8%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   179 (2.3%)    2 (0.8%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate
   167 (2.2%)    1 (0.4%)  blake2::Blake2sVarCore::compress::quarter_round
   139 (1.8%)    3 (1.2%)  core::slice::iter::IterMut<T>::new
   136 (1.8%)    2 (0.8%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate::{{closure}}
   134 (1.8%)    2 (0.8%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
   128 (1.7%)    2 (0.8%)  core::iter::traits::iterator::Iterator::fold
   120 (1.6%)    2 (0.8%)  generic_array::ArrayBuilder<T,N>::into_inner
   116 (1.5%)    2 (0.8%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
   114 (1.5%)    2 (0.8%)  core::result::Result<T,E>::map
   108 (1.4%)    2 (0.8%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
   104 (1.4%)    4 (1.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
   100 (1.3%)    2 (0.8%)  <generic_array::ArrayBuilder<T,N> as core::ops::drop::Drop>::drop
   100 (1.3%)    2 (0.8%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate::{{closure}}
    98 (1.3%)    1 (0.4%)  blake2::Blake2sVarCore::compress::round
    95 (1.2%)    1 (0.4%)  blake2::Blake2bVarCore::compress::quarter_round
    92 (1.2%)    2 (0.8%)  core::result::Result<T,E>::unwrap
    82 (1.1%)    2 (0.8%)  core::iter::traits::iterator::Iterator::for_each
    80 (1.0%)    2 (0.8%)  core::iter::traits::iterator::Iterator::zip
    70 (0.9%)    7 (2.9%)  <typenum::uint::UInt<U,B> as typenum::marker_traits::Unsigned>::to_usize
    70 (0.9%)    1 (0.4%)  blake2::Blake2bVarCore::compress::round
    70 (0.9%)    1 (0.4%)  core::cmp::min_by
    68 (0.9%)    2 (0.8%)  core::ptr::read
    68 (0.9%)    1 (0.4%)  blake2::Blake2sVarCore::finalize_with_flag
    66 (0.9%)    1 (0.4%)  core::slice::iter::ChunksExact<T>::new
    61 (0.8%)    1 (0.4%)  blake2::Blake2sVarCore::compress::shuffle
    61 (0.8%)    1 (0.4%)  blake2::Blake2sVarCore::compress::unshuffle
    60 (0.8%)    4 (1.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    57 (0.7%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::gather
    56 (0.7%)    7 (2.9%)  <typenum::uint::UInt<U,B> as typenum::marker_traits::Unsigned>::to_u8
    54 (0.7%)    1 (0.4%)  blake2::Blake2bVarCore::finalize_with_flag
    50 (0.7%)    2 (0.8%)  <[T] as blake2::as_bytes::AsBytes>::as_bytes
    50 (0.7%)    1 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    49 (0.6%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u64> as blake2::simd::Vector4<u64>>::gather
    49 (0.6%)    1 (0.4%)  blake2::simd::simdop::<impl core::ops::arith::Add for blake2::simd::simdty::Simd4<u32>>::add
    48 (0.6%)    2 (0.8%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    46 (0.6%)    2 (0.8%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
    46 (0.6%)    2 (0.8%)  generic_array::ArrayBuilder<T,N>::iter_position
    45 (0.6%)    2 (0.8%)  blake2::simd::simdty::Simd4<T>::new
    45 (0.6%)    1 (0.4%)  blake2::simd::simdop::<impl core::ops::bit::BitXor for blake2::simd::simdty::Simd4<u32>>::bitxor
    44 (0.6%)    4 (1.7%)  <generic_array::GenericArray<T,N> as core::ops::deref::Deref>::deref
    44 (0.6%)    4 (1.7%)  <generic_array::GenericArray<T,N> as core::ops::deref::DerefMut>::deref_mut
    43 (0.6%)    1 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    40 (0.5%)    1 (0.4%)  blake2::Blake2bVarCore::compress::shuffle
    40 (0.5%)    1 (0.4%)  blake2::Blake2bVarCore::compress::unshuffle
    40 (0.5%)    1 (0.4%)  core::slice::<impl [T]>::chunks_exact
    39 (0.5%)    3 (1.2%)  core::slice::<impl [T]>::iter_mut
    38 (0.5%)    2 (0.8%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
    37 (0.5%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::wrapping_add
    37 (0.5%)    1 (0.4%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
    37 (0.5%)    1 (0.4%)  blake2::simd::simd_opt::u32x4::rotate_right_const
    36 (0.5%)    3 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::offset
    36 (0.5%)    2 (0.8%)  core::iter::traits::iterator::Iterator::for_each::call
    36 (0.5%)    1 (0.4%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
    34 (0.4%)    2 (0.8%)  <T as core::convert::TryInto<U>>::try_into
    34 (0.4%)    2 (0.8%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate
    34 (0.4%)    1 (0.4%)  core::slice::<impl [T]>::split_at_unchecked
    33 (0.4%)    2 (0.8%)  generic_array::ArrayBuilder<T,N>::new
    32 (0.4%)    2 (0.8%)  blake2::simd::Vector4::shuffle_right_1
    32 (0.4%)    2 (0.8%)  blake2::simd::Vector4::shuffle_right_2
    32 (0.4%)    2 (0.8%)  blake2::simd::Vector4::shuffle_right_3
    32 (0.4%)    2 (0.8%)  core::slice::<impl [T]>::get_unchecked
    31 (0.4%)    2 (0.8%)  core::mem::forget
    30 (0.4%)    1 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    29 (0.4%)    2 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
    29 (0.4%)    1 (0.4%)  blake2::simd::simdop::<impl core::ops::arith::Add for blake2::simd::simdty::Simd4<u64>>::add
    28 (0.4%)    2 (0.8%)  core::iter::adapters::zip::Zip<A,B>::new
    27 (0.4%)    3 (1.2%)  core::iter::adapters::zip::TrustedRandomAccessNoCoerce::size
    27 (0.4%)    3 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::add
    27 (0.4%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::rotate_right_const
    27 (0.4%)    1 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    26 (0.3%)    2 (0.8%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
    26 (0.3%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::shuffle_left_1
    26 (0.3%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::shuffle_left_2
    26 (0.3%)    1 (0.4%)  <blake2::simd::simdty::Simd4<u32> as blake2::simd::Vector4<u32>>::shuffle_left_3
    25 (0.3%)    1 (0.4%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    25 (0.3%)    1 (0.4%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
