  Lines        Copies      Function name
  -----        ------      -------------
  3444 (100%)  163 (100%)  (TOTAL)
   166 (4.8%)    1 (0.6%)  brotli2::raw::Compress::compress
   145 (4.2%)    1 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   110 (3.2%)    1 (0.6%)  brotli2::raw::Decompress::decompress
    97 (2.8%)    1 (0.6%)  alloc::alloc::Global::alloc_impl
    80 (2.3%)    2 (1.2%)  core::option::Option<T>::ok_or
    74 (2.1%)    1 (0.6%)  brotli2::raw::compress_buf
    72 (2.1%)    1 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    69 (2.0%)    1 (0.6%)  brotli2::raw::Compress::take_output
    69 (2.0%)    1 (0.6%)  brotli2::raw::Decompress::take_output
    68 (2.0%)    2 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    65 (1.9%)    1 (0.6%)  brotli2::raw::decompress_buf
    59 (1.7%)    1 (0.6%)  core::fmt::Arguments::new_v1
    56 (1.6%)    1 (0.6%)  <brotli2::CompressParams as core::fmt::Debug>::fmt
    56 (1.6%)    1 (0.6%)  core::alloc::layout::Layout::array
    55 (1.6%)    1 (0.6%)  core::mem::replace
    52 (1.5%)    1 (0.6%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    43 (1.2%)    1 (0.6%)  core::num::<impl usize>::checked_mul
    43 (1.2%)    1 (0.6%)  core::num::<impl usize>::overflowing_mul
    42 (1.2%)    1 (0.6%)  alloc::alloc::exchange_malloc
    37 (1.1%)    1 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    36 (1.0%)    2 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    35 (1.0%)    1 (0.6%)  brotli2::raw::Decompress::rc
    35 (1.0%)    1 (0.6%)  core::option::Option<T>::unwrap_or
    33 (1.0%)    1 (0.6%)  <brotli2::raw::CompressOp as core::fmt::Debug>::fmt
    33 (1.0%)    1 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    32 (0.9%)    3 (1.8%)  <T as core::convert::Into<U>>::into
    32 (0.9%)    2 (1.2%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    32 (0.9%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
    31 (0.9%)    1 (0.6%)  brotli2::raw::Compress::set_params
    30 (0.9%)    1 (0.6%)  <brotli2::raw::DeStatus as core::fmt::Debug>::fmt
    30 (0.9%)    1 (0.6%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    30 (0.9%)    1 (0.6%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    29 (0.8%)    1 (0.6%)  <brotli2::CompressMode as core::fmt::Debug>::fmt
    29 (0.8%)    1 (0.6%)  core::fmt::ArgumentV1::new
    29 (0.8%)    1 (0.6%)  core::ptr::metadata::from_raw_parts
    29 (0.8%)    1 (0.6%)  core::ptr::metadata::from_raw_parts_mut
    28 (0.8%)    1 (0.6%)  alloc::raw_vec::alloc_guard
    27 (0.8%)    1 (0.6%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (0.8%)    1 (0.6%)  <brotli2::raw::CoStatus as core::fmt::Debug>::fmt
    27 (0.8%)    1 (0.6%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
