  Lines        Copies      Function name
  -----        ------      -------------
  9288 (100%)  344 (100%)  (TOTAL)
   445 (4.8%)    9 (2.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   261 (2.8%)    1 (0.3%)  core::char::methods::encode_utf8_raw
   240 (2.6%)    4 (1.2%)  core::result::Result<T,E>::map_err
   232 (2.5%)    1 (0.3%)  slice_deque::SliceDeque<T>::move_head_unchecked
   193 (2.1%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   188 (2.0%)    1 (0.3%)  safemem::copy_over
   180 (1.9%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   175 (1.9%)    1 (0.3%)  slice_deque::mirrored::buffer::Buffer<T>::uninitialized
   152 (1.6%)    6 (1.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   152 (1.6%)    3 (0.9%)  core::mem::replace
   152 (1.6%)    1 (0.3%)  alloc::raw_vec::finish_grow
   144 (1.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_exact
   141 (1.5%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink
   138 (1.5%)    2 (0.6%)  core::option::Option<T>::map_or
   129 (1.4%)    1 (0.3%)  slice_deque::SliceDeque<T>::reserve_capacity
   125 (1.3%)    1 (0.3%)  buf_redux::buffer::std_buf::StdBuf::reserve
   110 (1.2%)    1 (0.3%)  core::ptr::swap_nonoverlapping_bytes
   106 (1.1%)    5 (1.5%)  core::ptr::read
    97 (1.0%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    96 (1.0%)    1 (0.3%)  buf_redux::buffer::std_buf::impl_::RawBuf::reserve
    87 (0.9%)    3 (0.9%)  core::fmt::ArgumentV1::new
    77 (0.8%)    1 (0.3%)  slice_deque::mirrored::buffer::Buffer<T>::size_in_bytes
    76 (0.8%)    1 (0.3%)  alloc::vec::Vec<T,A>::into_boxed_slice
    75 (0.8%)    1 (0.3%)  alloc::alloc::box_free
    75 (0.8%)    1 (0.3%)  slice_deque::SliceDeque<T>::move_tail_unchecked
    74 (0.8%)    2 (0.6%)  core::result::Result<T,E>::unwrap
    69 (0.7%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    68 (0.7%)    1 (0.3%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    66 (0.7%)    4 (1.2%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    61 (0.7%)    1 (0.3%)  core::result::Result<T,E>::unwrap_or_else
    60 (0.6%)    1 (0.3%)  <slice_deque::mirrored::buffer::Buffer<T> as core::ops::drop::Drop>::drop
    59 (0.6%)    5 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    59 (0.6%)    1 (0.3%)  core::fmt::Arguments::new_v1
    59 (0.6%)    1 (0.3%)  slice_deque::SliceDeque<T>::try_reserve
    59 (0.6%)    1 (0.3%)  slice_deque::SliceDeque<T>::with_capacity
    58 (0.6%)    1 (0.3%)  alloc::slice::hack::into_vec
    58 (0.6%)    1 (0.3%)  buf_redux::buffer::std_buf::impl_::RawBuf::with_capacity
    58 (0.6%)    1 (0.3%)  std::thread::local::fast::Key<T>::get
    57 (0.6%)    1 (0.3%)  <buf_redux::policy::MinBuffered as buf_redux::policy::ReaderPolicy>::before_read
    57 (0.6%)    1 (0.3%)  std::thread::local::fast::Key<T>::try_initialize
    54 (0.6%)    2 (0.6%)  core::ops::function::FnOnce::call_once
    54 (0.6%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    52 (0.6%)    1 (0.3%)  core::ptr::swap_nonoverlapping_one
    50 (0.5%)    1 (0.3%)  slice_deque::SliceDeque<T>::with_capacity::{{closure}}
    50 (0.5%)    1 (0.3%)  slice_deque::in_bounds
    48 (0.5%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    48 (0.5%)    1 (0.3%)  buf_redux::Buffer::copy_from_slice
    47 (0.5%)    1 (0.3%)  core::option::Option<T>::ok_or
    46 (0.5%)    1 (0.3%)  buf_redux::Buffer::copy_to_slice
    44 (0.5%)    1 (0.3%)  buf_redux::buffer::BufImpl::buf
    44 (0.5%)    1 (0.3%)  buf_redux::buffer::BufImpl::buf_mut
    44 (0.5%)    1 (0.3%)  buf_redux::buffer::BufImpl::write_buf
    43 (0.5%)    2 (0.6%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.5%)    1 (0.3%)  buf_redux::Buffer::push_bytes
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_add
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_mul
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_mul
    43 (0.5%)    1 (0.3%)  slice_deque::SliceDeque<T>::move_head
    43 (0.5%)    1 (0.3%)  slice_deque::SliceDeque<T>::move_tail
    42 (0.5%)    4 (1.2%)  core::ptr::write
    42 (0.5%)    1 (0.3%)  alloc::alloc::exchange_malloc
    42 (0.5%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::ops::function::Fn<(&mut dyn std::io::Write,&mut buf_redux::Buffer,std::io::error::Error)>+Output = ()>>
    41 (0.4%)    1 (0.3%)  core::cell::RefCell<T>::new
    40 (0.4%)    1 (0.3%)  slice_deque::SliceDeque<T>::grow_policy
    39 (0.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    38 (0.4%)    5 (1.5%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    38 (0.4%)    1 (0.3%)  alloc::raw_vec::handle_reserve
    37 (0.4%)    7 (2.0%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    36 (0.4%)    1 (0.3%)  <buf_redux::policy::FlushExact as buf_redux::policy::WriterPolicy>::before_write
    36 (0.4%)    1 (0.3%)  buf_redux::buffer::slice_deque_buf::SliceDequeBuf::bytes_written
    36 (0.4%)    1 (0.3%)  buf_redux::buffer::slice_deque_buf::SliceDequeBuf::consume
    34 (0.4%)    1 (0.3%)  slice_deque::SliceDeque<T>::tail_head_slice
    33 (0.4%)    1 (0.3%)  buf_redux::buffer::BufImpl::reserve
    33 (0.4%)    1 (0.3%)  core::cell::Cell<T>::replace
    33 (0.4%)    1 (0.3%)  std::thread::local::fast::destroy_value
    32 (0.3%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    32 (0.3%)    1 (0.3%)  core::ptr::swap_nonoverlapping
    32 (0.3%)    1 (0.3%)  std::thread::local::fast::Key<T>::try_register_dtor
    31 (0.3%)    7 (2.0%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    31 (0.3%)    1 (0.3%)  <buf_redux::Buffer as core::fmt::Debug>::fmt
    31 (0.3%)    1 (0.3%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
    30 (0.3%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    30 (0.3%)    1 (0.3%)  buf_redux::DROP_ERR_HANDLER::__init
    29 (0.3%)    2 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
    29 (0.3%)    1 (0.3%)  buf_redux::buffer::std_buf::StdBuf::make_room
    29 (0.3%)    1 (0.3%)  memchr::memchr::x86::memrchr
    28 (0.3%)    1 (0.3%)  alloc::raw_vec::alloc_guard
    28 (0.3%)    1 (0.3%)  buf_redux::buffer::std_buf::StdBuf::buf
    28 (0.3%)    1 (0.3%)  buf_redux::buffer::std_buf::StdBuf::buf_mut
    28 (0.3%)    1 (0.3%)  core::num::<impl usize>::saturating_mul
    27 (0.3%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (0.3%)    1 (0.3%)  <buf_redux::policy::FlushAtLeast as buf_redux::policy::WriterPolicy>::before_write
    27 (0.3%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    27 (0.3%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    27 (0.3%)    1 (0.3%)  buf_redux::buffer::BufImpl::capacity
    27 (0.3%)    1 (0.3%)  buf_redux::buffer::BufImpl::len
    27 (0.3%)    1 (0.3%)  buf_redux::buffer::BufImpl::usable_space
