  Lines         Copies      Function name
  -----         ------      -------------
  16127 (100%)  614 (100%)  (TOTAL)
    408 (2.5%)    9 (1.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    385 (2.4%)    2 (0.3%)  bytes::bytes::Bytes::slice
    343 (2.1%)    1 (0.2%)  bytes::fmt::debug::<impl core::fmt::Debug for bytes::fmt::BytesRef>::fmt
    328 (2.0%)    1 (0.2%)  bytes::bytes_mut::BytesMut::reserve_inner
    245 (1.5%)    1 (0.2%)  alloc::collections::vec_deque::VecDeque<T,A>::wrap_copy
    240 (1.5%)    4 (0.7%)  alloc::boxed::Box<T,A>::into_unique
    240 (1.5%)    4 (0.7%)  core::result::Result<T,E>::map_err
    236 (1.5%)    4 (0.7%)  alloc::alloc::box_free
    230 (1.4%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange
    193 (1.2%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    180 (1.1%)    4 (0.7%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    180 (1.1%)    1 (0.2%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    170 (1.1%)    1 (0.2%)  bytes::bytes::Bytes::slice_ref
    165 (1.0%)    7 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    163 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    160 (1.0%)    4 (0.7%)  <core::sync::atomic::AtomicPtr<T> as bytes::loom::sync::atomic::AtomicMut<T>>::with_mut
    160 (1.0%)    1 (0.2%)  bytes::bytes::shallow_clone_vec
    160 (1.0%)    1 (0.2%)  bytes::bytes_mut::BytesMut::promote_to_shared
    157 (1.0%)    1 (0.2%)  bytes::bytes_mut::BytesMut::freeze
    152 (0.9%)    1 (0.2%)  alloc::raw_vec::finish_grow
    147 (0.9%)    3 (0.5%)  core::mem::replace
    145 (0.9%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    142 (0.9%)    4 (0.7%)  alloc::boxed::Box<T,A>::from_raw_in
    141 (0.9%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::shrink
    135 (0.8%)    1 (0.2%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
    133 (0.8%)    7 (1.1%)  core::ptr::read
    127 (0.8%)    3 (0.5%)  core::option::Option<T>::ok_or
    127 (0.8%)    1 (0.2%)  bytes::bytes_mut::BytesMut::try_unsplit
    124 (0.8%)    1 (0.2%)  core::slice::index::range
    116 (0.7%)    4 (0.7%)  core::fmt::ArgumentV1::new
    115 (0.7%)    1 (0.2%)  bytes::bytes_mut::BytesMut::unsplit
    109 (0.7%)    9 (1.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
    107 (0.7%)    1 (0.2%)  <bytes::bytes::Bytes as core::convert::From<alloc::boxed::Box<[u8]>>>::from
