  Lines         Copies       Function name
  -----         ------       -------------
  61995 (100%)  1343 (100%)  (TOTAL)
   4607 (7.4%)    19 (1.4%)  nom::combinator::map_opt::{{closure}}
   3220 (5.2%)   140 (10.4%) <F as nom::internal::Parser<I,O,E>>::parse
   2324 (3.7%)     7 (0.5%)  nom::multi::fold_many0::{{closure}}
   2185 (3.5%)     5 (0.4%)  nom::multi::many1::{{closure}}
   1520 (2.5%)     3 (0.2%)  <(A,B,C,D) as nom::branch::Alt<Input,Output,Error>>::choice
   1455 (2.3%)    11 (0.8%)  nom::combinator::map::{{closure}}
   1365 (2.2%)    20 (1.5%)  core::result::Result<T,E>::map
   1255 (2.0%)     2 (0.1%)  <(A,B,C,D,E) as nom::branch::Alt<Input,Output,Error>>::choice
   1210 (2.0%)     6 (0.4%)  nom::combinator::opt::{{closure}}
   1052 (1.7%)     4 (0.3%)  <(A,B) as nom::branch::Alt<Input,Output,Error>>::choice
   1043 (1.7%)     8 (0.6%)  nom::combinator::complete::{{closure}}
   1013 (1.6%)    11 (0.8%)  nom::sequence::preceded::{{closure}}
    976 (1.6%)     8 (0.6%)  nom::sequence::pair::{{closure}}
    956 (1.5%)     5 (0.4%)  nom::sequence::delimited::{{closure}}
    938 (1.5%)    19 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    872 (1.4%)     2 (0.1%)  nom::multi::many_m_n::{{closure}}
    867 (1.4%)     1 (0.1%)  <(A,B,C,D,E,F,G) as nom::branch::Alt<Input,Output,Error>>::choice
    845 (1.4%)     7 (0.5%)  nom::sequence::terminated::{{closure}}
    820 (1.3%)     5 (0.4%)  nom::combinator::recognize::{{closure}}
    820 (1.3%)     2 (0.1%)  <(FnA,FnB,FnC,FnD) as nom::sequence::Tuple<Input,(A,B,C,D),Error>>::parse
    746 (1.2%)     1 (0.1%)  <(A,B,C,D,E,F) as nom::branch::Alt<Input,Output,Error>>::choice
    689 (1.1%)     4 (0.3%)  cexpr::literal::full::{{closure}}
    655 (1.1%)     5 (0.4%)  <core::result::Result<(I,O),nom::internal::Err<E>> as cexpr::ToCexprResult<I,O>>::to_cexpr_result
    592 (1.0%)     2 (0.1%)  <(FnA,FnB,FnC) as nom::sequence::Tuple<Input,(A,B,C),Error>>::parse
    512 (0.8%)    31 (2.3%)  core::ops::function::FnMut::call_mut
    512 (0.8%)     2 (0.1%)  nom::multi::many0::{{closure}}
    509 (0.8%)     1 (0.1%)  nom::multi::separated_list0::{{closure}}
    420 (0.7%)     2 (0.1%)  cexpr::assert_full_parse
