  Lines         Copies       Function name
  -----         ------       -------------
  52203 (100%)  1689 (100%)  (TOTAL)
   1048 (2.0%)     5 (0.3%)  config::ser::ConfigSerializer::serialize_primitive
    960 (1.8%)    20 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    582 (1.1%)     4 (0.2%)  nom::combinator::map::{{closure}}
    567 (1.1%)     3 (0.2%)  config::source::Source::collect_to
    518 (1.0%)     1 (0.1%)  config::file::source::file::FileSourceFile::find_file
    517 (1.0%)    22 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    489 (0.9%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    451 (0.9%)     2 (0.1%)  nom::sequence::delimited::{{closure}}
    446 (0.9%)     9 (0.5%)  core::option::Option<T>::map
    443 (0.8%)     7 (0.4%)  core::result::Result<T,E>::map_err
    440 (0.8%)     8 (0.5%)  config::value::Value::new
    435 (0.8%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    432 (0.8%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    425 (0.8%)     1 (0.1%)  <(A,B) as nom::branch::Alt<Input,Output,Error>>::choice
    422 (0.8%)     1 (0.1%)  config::path::Expression::set
    393 (0.8%)     6 (0.4%)  core::result::Result<T,E>::map
    377 (0.7%)     1 (0.1%)  <config::error::ConfigError as core::fmt::Display>::fmt
    372 (0.7%)     1 (0.1%)  <config::env::Environment as config::source::Source>::collect
    370 (0.7%)    19 (1.1%)  core::ops::function::FnOnce::call_once
    361 (0.7%)     3 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    349 (0.7%)     1 (0.1%)  config::file::format::ini::parse
    348 (0.7%)     4 (0.2%)  std::collections::hash::map::Entry<K,V>::or_insert_with
    343 (0.7%)     1 (0.1%)  <config::file::source::file::FileSourceFile as config::file::source::FileSource>::resolve
    336 (0.6%)     6 (0.4%)  core::result::Result<T,E>::and_then
    303 (0.6%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    290 (0.6%)     1 (0.1%)  config::file::format::yaml::from_yaml_value
    283 (0.5%)     2 (0.1%)  <&str as nom::traits::InputTakeAtPosition>::split_at_position1_complete
    280 (0.5%)     5 (0.3%)  core::alloc::layout::Layout::array
    279 (0.5%)     1 (0.1%)  config::file::format::json::from_json_value
    277 (0.5%)     1 (0.1%)  config::file::source::file::path_relative_from
    273 (0.5%)     3 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
    270 (0.5%)     1 (0.1%)  config::file::format::hjson::from_hjson_value
    270 (0.5%)     1 (0.1%)  nom::combinator::map_res::{{closure}}
    265 (0.5%)     5 (0.3%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
    261 (0.5%)     3 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    261 (0.5%)     2 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    261 (0.5%)     1 (0.1%)  config::path::Expression::get_mut_forcibly
    261 (0.5%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    260 (0.5%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::clone_from_impl
