  Lines        Copies      Function name
  -----        ------      -------------
  6772 (100%)  227 (100%)  (TOTAL)
   261 (3.9%)    1 (0.4%)  core::char::methods::encode_utf8_raw
   258 (3.8%)    1 (0.4%)  <const_oid::ObjectIdentifier as core::str::traits::FromStr>::from_str
   255 (3.8%)    1 (0.4%)  <const_oid::arcs::Arcs as core::iter::traits::iterator::Iterator>::next
   229 (3.4%)    1 (0.4%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
   226 (3.3%)    6 (2.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   177 (2.6%)    4 (1.8%)  core::option::Option<T>::ok_or
   173 (2.6%)    1 (0.4%)  const_oid::ObjectIdentifier::from_bytes
   159 (2.3%)    1 (0.4%)  const_oid::parser::Parser::parse_bytes
   155 (2.3%)    1 (0.4%)  const_oid::ObjectIdentifier::from_arcs
   153 (2.3%)    1 (0.4%)  const_oid::encoder::Encoder::encode
   125 (1.8%)    1 (0.4%)  <const_oid::ObjectIdentifier as core::fmt::Display>::fmt
   120 (1.8%)    2 (0.9%)  core::option::Option<T>::and_then
   117 (1.7%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
   105 (1.6%)    1 (0.4%)  const_oid::encoder::write_base128
   102 (1.5%)    2 (0.9%)  core::slice::iter::Iter<T>::post_inc_start
    98 (1.4%)    3 (1.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    98 (1.4%)    1 (0.4%)  core::iter::traits::iterator::Iterator::advance_by
    98 (1.4%)    1 (0.4%)  core::ops::range::RangeBounds::contains
    92 (1.4%)    2 (0.9%)  core::slice::iter::Iter<T>::new
    90 (1.3%)    1 (0.4%)  <const_oid::arcs::RootArcs as core::convert::TryFrom<u8>>::try_from
    88 (1.3%)    1 (0.4%)  core::str::iter::SplitInternal<P>::get_end
    87 (1.3%)    3 (1.3%)  core::fmt::ArgumentV1::new
