  Lines         Copies      Function name
  -----         ------      -------------
  16933 (100%)  662 (100%)  (TOTAL)
    652 (3.9%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    443 (2.6%)    1 (0.2%)  <csv::error::Error as core::fmt::Display>::fmt
    364 (2.1%)    1 (0.2%)  bstr::impls::bstr::<impl core::fmt::Debug for bstr::bstr::BStr>::fmt
    300 (1.8%)    5 (0.8%)  core::option::Option<T>::and_then
    290 (1.7%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    261 (1.5%)    9 (1.4%)  core::fmt::ArgumentV1::new
    254 (1.5%)    5 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    250 (1.5%)   25 (3.8%)  <&T as core::fmt::Debug>::fmt
    243 (1.4%)    5 (0.8%)  core::option::Option<T>::map
    234 (1.4%)    4 (0.6%)  alloc::alloc::box_free
    216 (1.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    208 (1.2%)    5 (0.8%)  core::result::Result<T,E>::ok
    208 (1.2%)    2 (0.3%)  alloc::vec::Vec<T,A>::extend_with
    201 (1.2%)    1 (0.2%)  <csv::error::ErrorKind as core::fmt::Debug>::fmt
    200 (1.2%)    3 (0.5%)  core::fmt::builders::DebugList::entries
    193 (1.1%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    179 (1.1%)    3 (0.5%)  core::result::Result<T,E>::map_err
    168 (1.0%)    3 (0.5%)  core::alloc::layout::Layout::array
    157 (0.9%)    1 (0.2%)  <csv::deserializer::DeserializeErrorKind as core::fmt::Debug>::fmt
    154 (0.9%)    1 (0.2%)  csv::byte_record::ByteRecord::iter_eq
    152 (0.9%)    1 (0.2%)  alloc::raw_vec::finish_grow
    147 (0.9%)    3 (0.5%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    124 (0.7%)    1 (0.2%)  core::char::methods::<impl char>::escape_debug_ext
    121 (0.7%)    1 (0.2%)  core::str::validations::next_code_point_reverse
    120 (0.7%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    120 (0.7%)    1 (0.2%)  <csv::deserializer::DeserializeErrorKind as core::fmt::Display>::fmt
    118 (0.7%)    1 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    116 (0.7%)    4 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    116 (0.7%)    2 (0.3%)  alloc::vec::Vec<T,A>::resize
    113 (0.7%)    1 (0.2%)  core::str::validations::next_code_point
    112 (0.7%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    111 (0.7%)    3 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    106 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    102 (0.6%)    1 (0.2%)  csv::string_record::StringRecord::trim
    101 (0.6%)    1 (0.2%)  <csv::reader::ReaderState as core::fmt::Debug>::fmt
    100 (0.6%)    4 (0.6%)  alloc::boxed::Box<T>::new
    100 (0.6%)    1 (0.2%)  csv::byte_record::ByteRecord::trim
     97 (0.6%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     95 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     95 (0.6%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     92 (0.5%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     91 (0.5%)    1 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::ReverseSearcher>::next_back
     91 (0.5%)    1 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     91 (0.5%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     91 (0.5%)    1 (0.2%)  core::str::<impl str>::trim_matches
     89 (0.5%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     88 (0.5%)    1 (0.2%)  csv::deserializer::DeserializeErrorKind::description
     87 (0.5%)    3 (0.5%)  core::ptr::metadata::from_raw_parts
     87 (0.5%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     85 (0.5%)    1 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     84 (0.5%)    2 (0.3%)  alloc::vec::Vec<T,A>::truncate
     83 (0.5%)    1 (0.2%)  <csv::byte_record::ByteRecordIter as core::iter::traits::iterator::Iterator>::next
     79 (0.5%)    1 (0.2%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     79 (0.5%)    1 (0.2%)  <csv::byte_record::ByteRecord as core::fmt::Debug>::fmt
     78 (0.5%)    3 (0.5%)  <[T] as core::fmt::Debug>::fmt
     77 (0.5%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     77 (0.5%)    1 (0.2%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     77 (0.5%)    1 (0.2%)  <bstr::utf8::CharIndices as core::iter::traits::iterator::Iterator>::next
     77 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<[bstr::bstring::BString]>
     75 (0.4%)    1 (0.2%)  csv::byte_record::ByteRecord::push_field
     70 (0.4%)    1 (0.2%)  <csv::error::Error as std::error::Error>::source
     69 (0.4%)    1 (0.2%)  <csv::deserializer::DeserializeError as core::fmt::Display>::fmt
     68 (0.4%)    7 (1.1%)  core::ptr::unique::Unique<T>::cast
     66 (0.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     66 (0.4%)    1 (0.2%)  <core::result::Result<T,E> as core::fmt::Debug>::fmt
     65 (0.4%)    1 (0.2%)  <csv::reader::ReaderBuilder as core::fmt::Debug>::fmt
     65 (0.4%)    1 (0.2%)  <csv::writer::WriterState as core::fmt::Debug>::fmt
     64 (0.4%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
     64 (0.4%)    1 (0.2%)  alloc::vec::Vec<T,A>::push
     60 (0.4%)    4 (0.6%)  alloc::vec::Vec<T,A>::as_mut_ptr
     59 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
     56 (0.3%)    1 (0.2%)  <csv::writer::WriterBuilder as core::fmt::Debug>::fmt
     53 (0.3%)    4 (0.6%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     52 (0.3%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     52 (0.3%)    1 (0.2%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     52 (0.3%)    1 (0.2%)  csv::byte_record::ByteRecord::with_capacity
     51 (0.3%)    3 (0.5%)  alloc::vec::Vec<T,A>::with_capacity_in
     51 (0.3%)    1 (0.2%)  <csv::Terminator as core::fmt::Debug>::fmt
     49 (0.3%)    1 (0.2%)  <csv::deserializer::DeByteRecord as csv::deserializer::DeRecord>::error
     49 (0.3%)    1 (0.2%)  <csv::deserializer::DeStringRecord as csv::deserializer::DeRecord>::error
     48 (0.3%)    4 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     48 (0.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::reserve
     48 (0.3%)    1 (0.2%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     47 (0.3%)    1 (0.2%)  <csv::byte_record::ByteRecordInner as core::fmt::Debug>::fmt
     47 (0.3%)    1 (0.2%)  <csv::byte_record::Position as core::fmt::Debug>::fmt
     47 (0.3%)    1 (0.2%)  <csv::string_record::StringRecord as core::fmt::Debug>::fmt
     47 (0.3%)    1 (0.2%)  core::option::Option<T>::ok_or
     47 (0.3%)    1 (0.2%)  core::option::Option<T>::unwrap_unchecked
     46 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1_formatted
     46 (0.3%)    1 (0.2%)  core::str::pattern::ReverseSearcher::next_reject_back
     46 (0.3%)    1 (0.2%)  core::str::pattern::Searcher::next_reject
     45 (0.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
     45 (0.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     45 (0.3%)    3 (0.5%)  alloc::vec::Vec<T,A>::as_ptr
     45 (0.3%)    3 (0.5%)  core::ptr::slice_from_raw_parts
     45 (0.3%)    3 (0.5%)  core::ptr::slice_from_raw_parts_mut
     45 (0.3%)    3 (0.5%)  core::slice::raw::from_raw_parts
     43 (0.3%)    3 (0.5%)  core::str::<impl str>::parse
     43 (0.3%)    2 (0.3%)  alloc::raw_vec::finish_grow::{{closure}}
     43 (0.3%)    1 (0.2%)  core::num::<impl usize>::checked_add
     43 (0.3%)    1 (0.2%)  core::num::<impl usize>::checked_mul
     43 (0.3%)    1 (0.2%)  core::num::<impl usize>::overflowing_add
     43 (0.3%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
     42 (0.2%)    6 (0.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     42 (0.2%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     42 (0.2%)    3 (0.5%)  core::ptr::non_null::NonNull<T>::cast
     42 (0.2%)    1 (0.2%)  alloc::alloc::exchange_malloc
     42 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
     42 (0.2%)    1 (0.2%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get_unchecked
     41 (0.2%)    1 (0.2%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     41 (0.2%)    1 (0.2%)  <core::str::iter::CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_back::{{closure}}
     40 (0.2%)    7 (1.1%)  core::ptr::unique::Unique<T>::as_ptr
     39 (0.2%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
     39 (0.2%)    1 (0.2%)  core::iter::traits::iterator::Iterator::zip
     38 (0.2%)    1 (0.2%)  <core::str::pattern::MultiCharEqPattern<C> as core::str::pattern::Pattern>::into_searcher
     38 (0.2%)    1 (0.2%)  <csv::QuoteStyle as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::Trim as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::byte_record::Bounds as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::deserializer::DeserializeError as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::error::FromUtf8Error as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::error::Utf8Error as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::reader::Headers as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  <csv::writer::Buffer as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.2%)  alloc::raw_vec::handle_reserve
     37 (0.2%)    1 (0.2%)  csv::error::ErrorKind::position
     36 (0.2%)    4 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::add
     36 (0.2%)    3 (0.5%)  alloc::vec::Vec<T,A>::reserve
     36 (0.2%)    3 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset
     36 (0.2%)    1 (0.2%)  bstr::impls::bstr::<impl core::ops::index::Index<core::ops::range::Range<usize>> for bstr::bstr::BStr>::index
     36 (0.2%)    1 (0.2%)  core::char::methods::<impl char>::escape_unicode
     36 (0.2%)    1 (0.2%)  csv::Terminator::to_core
     35 (0.2%)    4 (0.6%)  core::ptr::unique::Unique<T>::as_ref
     35 (0.2%)    1 (0.2%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
     35 (0.2%)    1 (0.2%)  <csv::byte_record::ByteRecordIter as core::iter::traits::iterator::Iterator>::size_hint
     34 (0.2%)    1 (0.2%)  <csv::error::Utf8Error as core::fmt::Display>::fmt
     34 (0.2%)    1 (0.2%)  <csv::writer::HeaderState as core::fmt::Debug>::fmt
     33 (0.2%)    1 (0.2%)  csv::byte_record::Bounds::add
     32 (0.2%)    4 (0.6%)  core::any::TypeId::of
     32 (0.2%)    4 (0.6%)  std::error::Error::backtrace
