  Lines        Copies      Function name
  -----        ------      -------------
  9997 (100%)  261 (100%)  (TOTAL)
   405 (4.1%)    1 (0.4%)  core::num::dec2flt::lemire::compute_float
   373 (3.7%)    1 (0.4%)  core::num::dec2flt::slow::parse_long_mantissa
   371 (3.7%)    1 (0.4%)  csv_core::writer::quote
   353 (3.5%)    1 (0.4%)  csv_core::reader::Reader::read_record_dfa
   346 (3.5%)    1 (0.4%)  csv_core::writer::Writer::needs_quotes
   300 (3.0%)    1 (0.4%)  csv_core::reader::Reader::transition_nfa
   299 (3.0%)    1 (0.4%)  csv_core::reader::Reader::read_record_nfa
   272 (2.7%)    1 (0.4%)  core::num::dec2flt::dec2flt
   269 (2.7%)    1 (0.4%)  csv_core::writer::Writer::terminator
   218 (2.2%)    1 (0.4%)  csv_core::reader::Reader::build_dfa
   200 (2.0%)    1 (0.4%)  csv_core::writer::Writer::field
   193 (1.9%)    1 (0.4%)  csv_core::writer::Writer::finish
   173 (1.7%)    1 (0.4%)  csv_core::reader::Reader::read_field_dfa
   170 (1.7%)    1 (0.4%)  csv_core::reader::Reader::read_field_nfa
   165 (1.7%)    1 (0.4%)  csv_core::writer::Writer::delimiter
   146 (1.5%)    1 (0.4%)  <csv_core::reader::Reader as core::fmt::Debug>::fmt
   144 (1.4%)    1 (0.4%)  core::num::dec2flt::number::Number::try_fast_path
   142 (1.4%)    1 (0.4%)  <csv_core::reader::Reader as core::clone::Clone>::clone
   114 (1.1%)    1 (0.4%)  <csv_core::writer::Writer as core::clone::Clone>::clone
   101 (1.0%)    1 (0.4%)  csv_core::reader::Reader::strip_utf8_bom
    99 (1.0%)    1 (0.4%)  csv_core::reader::DfaClasses::scan_and_copy
    92 (0.9%)    1 (0.4%)  csv_core::writer::WriterBuilder::build
    87 (0.9%)    1 (0.4%)  csv_core::reader::Reader::read_record
    82 (0.8%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    80 (0.8%)    8 (3.1%)  <&T as core::fmt::Debug>::fmt
    80 (0.8%)    1 (0.4%)  csv_core::reader::Dfa::new_read_record_result
    74 (0.7%)    1 (0.4%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    74 (0.7%)    1 (0.4%)  csv_core::reader::Reader::read_field
    72 (0.7%)    2 (0.8%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    70 (0.7%)    1 (0.4%)  <csv_core::reader::NfaState as core::fmt::Debug>::fmt
    69 (0.7%)    1 (0.4%)  csv_core::reader::Dfa::new_read_field_result
    67 (0.7%)    1 (0.4%)  <csv_core::reader::Reader as core::default::Default>::default
    66 (0.7%)    1 (0.4%)  csv_core::reader::Dfa::get_output
    61 (0.6%)    1 (0.4%)  csv_core::reader::ReadRecordResult::from_nfa
    61 (0.6%)    1 (0.4%)  csv_core::writer::is_non_numeric
    59 (0.6%)    1 (0.4%)  core::fmt::Arguments::new_v1
    59 (0.6%)    1 (0.4%)  csv_core::reader::Dfa::set
    58 (0.6%)    1 (0.4%)  <csv_core::reader::ReadFieldResult as core::fmt::Debug>::fmt
    58 (0.6%)    1 (0.4%)  core::num::dec2flt::parse::parse_inf_nan
    58 (0.6%)    1 (0.4%)  core::num::dec2flt::parse::parse_partial_inf_nan
    57 (0.6%)    1 (0.4%)  csv_core::writer::WriterBuilder::new
    54 (0.5%)    1 (0.4%)  <csv_core::reader::ReadFieldNoCopyResult as core::fmt::Debug>::fmt
    53 (0.5%)    1 (0.4%)  core::option::Option<T>::map
    53 (0.5%)    1 (0.4%)  csv_core::writer::write_optimistic
    51 (0.5%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
    51 (0.5%)    1 (0.4%)  <csv_core::Terminator as core::fmt::Debug>::fmt
    50 (0.5%)    1 (0.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    50 (0.5%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    49 (0.5%)    1 (0.4%)  core::num::dec2flt::common::ByteSlice::eq_ignore_case
    47 (0.5%)    1 (0.4%)  <csv_core::writer::WriterState as core::fmt::Debug>::fmt
    46 (0.5%)    2 (0.8%)  core::slice::<impl [T]>::copy_from_slice
    46 (0.5%)    1 (0.4%)  csv_core::reader::ReadFieldResult::from_nfa
    46 (0.5%)    1 (0.4%)  csv_core::writer::Writer::write
    45 (0.5%)    1 (0.4%)  <csv_core::writer::Writer as core::fmt::Debug>::fmt
    45 (0.5%)    1 (0.4%)  core::mem::replace
    45 (0.5%)    1 (0.4%)  core::num::<impl u8>::checked_mul
    45 (0.5%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    44 (0.4%)    1 (0.4%)  core::num::dec2flt::number::Number::is_fast_path
    43 (0.4%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.4%)    1 (0.4%)  core::num::<impl u64>::checked_mul
    43 (0.4%)    1 (0.4%)  core::num::<impl u64>::overflowing_mul
    43 (0.4%)    1 (0.4%)  core::num::<impl u8>::overflowing_mul
    43 (0.4%)    1 (0.4%)  csv_core::writer::write_pessimistic
    42 (0.4%)    1 (0.4%)  core::iter::traits::iterator::Iterator::zip
    38 (0.4%)    1 (0.4%)  <core::num::dec2flt::common::BiasedFp as core::cmp::PartialEq>::ne
    38 (0.4%)    1 (0.4%)  <csv_core::QuoteStyle as core::fmt::Debug>::fmt
    38 (0.4%)    1 (0.4%)  <csv_core::reader::ReadRecordResult as core::fmt::Debug>::fmt
    37 (0.4%)    1 (0.4%)  core::array::equality::<impl core::cmp::PartialEq<[A; N]> for [B]>::eq
    36 (0.4%)    1 (0.4%)  <core::option::Option<T> as core::clone::Clone>::clone
    36 (0.4%)    1 (0.4%)  <csv_core::reader::DfaState as core::cmp::PartialOrd>::partial_cmp
    36 (0.4%)    1 (0.4%)  csv_core::reader::DfaClasses::add
    35 (0.4%)    1 (0.4%)  csv_core::Terminator::equals
    34 (0.3%)    2 (0.8%)  core::result::Result<T,E>::is_ok
    34 (0.3%)    1 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    33 (0.3%)    1 (0.4%)  <csv_core::writer::WriterState as core::clone::Clone>::clone
    33 (0.3%)    1 (0.4%)  csv_core::reader::Dfa::new
    33 (0.3%)    1 (0.4%)  csv_core::reader::Reader::transition_final_dfa
    32 (0.3%)    2 (0.8%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    32 (0.3%)    1 (0.4%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    32 (0.3%)    1 (0.4%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    32 (0.3%)    1 (0.4%)  csv_core::reader::Dfa::finish
    32 (0.3%)    1 (0.4%)  csv_core::writer::Writer::should_quote
    30 (0.3%)    1 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    30 (0.3%)    1 (0.4%)  <csv_core::reader::NfaInputAction as core::fmt::Debug>::fmt
    30 (0.3%)    1 (0.4%)  <csv_core::reader::ReadRecordNoCopyResult as core::fmt::Debug>::fmt
    29 (0.3%)    1 (0.4%)  <csv_core::reader::ReaderBuilder as core::fmt::Debug>::fmt
    29 (0.3%)    1 (0.4%)  <csv_core::writer::WriterBuilder as core::fmt::Debug>::fmt
    29 (0.3%)    1 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    29 (0.3%)    1 (0.4%)  csv_core::reader::Dfa::new_state
    27 (0.3%)    1 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    27 (0.3%)    1 (0.4%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    27 (0.3%)    1 (0.4%)  <csv_core::writer::WriteResult as core::fmt::Debug>::fmt
    27 (0.3%)    1 (0.4%)  core::cmp::PartialOrd::ge
    27 (0.3%)    1 (0.4%)  core::cmp::PartialOrd::gt
    27 (0.3%)    1 (0.4%)  core::cmp::PartialOrd::lt
    26 (0.3%)    2 (0.8%)  core::str::<impl str>::parse
    26 (0.3%)    1 (0.4%)  <T as core::array::equality::SpecArrayEq<U,_>>::spec_eq
    26 (0.3%)    1 (0.4%)  <csv_core::reader::NfaInputAction as core::cmp::PartialEq>::eq
    26 (0.3%)    1 (0.4%)  <csv_core::reader::NfaState as core::cmp::PartialEq>::eq
    26 (0.3%)    1 (0.4%)  <csv_core::reader::ReadRecordResult as core::cmp::PartialEq>::eq
    26 (0.3%)    1 (0.4%)  core::num::dec2flt::slow::parse_long_mantissa::{{closure}}
    26 (0.3%)    1 (0.4%)  memchr::memchr::memchr
    25 (0.3%)    1 (0.4%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    24 (0.2%)    2 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
    24 (0.2%)    1 (0.4%)  <csv_core::reader::DfaClasses as core::fmt::Debug>::fmt
    24 (0.2%)    1 (0.4%)  core::cmp::impls::<impl core::cmp::Ord for u8>::cmp
    23 (0.2%)    1 (0.4%)  <csv_core::reader::DfaState as core::fmt::Debug>::fmt
