  Lines          Copies       Function name
  -----          ------       -------------
  116700 (100%)  1268 (100%)  (TOTAL)
   18480 (15.8%)   48 (3.8%)  data_encoding::encode_wrap_mut
   16080 (13.8%)   48 (3.8%)  data_encoding::decode_wrap_mut
   12106 (10.4%)  196 (15.5%) core::result::Result<T,E>::map_err
   11280 (9.7%)    24 (1.9%)  data_encoding::decode_pad_mut
    5280 (4.5%)    24 (1.9%)  data_encoding::decode_wrap_block
    3552 (3.0%)    48 (3.8%)  data_encoding::decode_pad_mut::{{closure}}
    3012 (2.6%)    24 (1.9%)  data_encoding::encode_pad
    2928 (2.5%)    48 (3.8%)  data_encoding::decode_wrap_block::{{closure}}
    2928 (2.5%)    12 (0.9%)  data_encoding::decode_block
    2736 (2.3%)    12 (0.9%)  data_encoding::decode_mut
    2544 (2.2%)    12 (0.9%)  data_encoding::encode_block
    2160 (1.9%)    48 (3.8%)  data_encoding::decode_wrap_mut::{{closure}}
    1944 (1.7%)    12 (0.9%)  data_encoding::decode_base_mut
    1932 (1.7%)    12 (0.9%)  data_encoding::encode_mut
    1920 (1.6%)    12 (0.9%)  data_encoding::vectorize
    1656 (1.4%)    24 (1.9%)  data_encoding::encode_wrap_len
    1620 (1.4%)    12 (0.9%)  data_encoding::check_trail
    1608 (1.4%)    36 (2.8%)  data_encoding::decode_base_mut::{{closure}}
    1382 (1.2%)     1 (0.1%)  data_encoding::Encoding::encode_mut
    1032 (0.9%)    12 (0.9%)  data_encoding::decode_wrap_len
    1000 (0.9%)     1 (0.1%)  data_encoding::Specification::encoding
     924 (0.8%)    12 (0.9%)  data_encoding::encode_mut::{{closure}}
     744 (0.6%)    24 (1.9%)  data_encoding::decode_mut::{{closure}}
     732 (0.6%)     6 (0.5%)  data_encoding::check_pad
     702 (0.6%)     1 (0.1%)  data_encoding::Encoding::decode_mut
     672 (0.6%)    12 (0.9%)  data_encoding::encode_base
     654 (0.6%)     6 (0.5%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
     639 (0.5%)     1 (0.1%)  data_encoding::Encoding::encode_len
     624 (0.5%)    14 (1.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     576 (0.5%)     6 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
     540 (0.5%)    12 (0.9%)  data_encoding::decode_pad_len
     522 (0.4%)    12 (0.9%)  data_encoding::encode_pad_len
     486 (0.4%)     6 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
     306 (0.3%)     1 (0.1%)  data_encoding::Encoding::specification
     295 (0.3%)    12 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     270 (0.2%)     6 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
     261 (0.2%)     1 (0.1%)  core::char::methods::encode_utf8_raw
     210 (0.2%)     6 (0.5%)  core::iter::traits::iterator::Iterator::count::{{closure}}
     193 (0.2%)     1 (0.1%)  alloc::alloc::Global::grow_impl
     176 (0.2%)     1 (0.1%)  data_encoding::Encoding::decode_len
     174 (0.1%)     6 (0.5%)  core::fmt::ArgumentV1::new
     170 (0.1%)     2 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     163 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     162 (0.1%)     6 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold::ok::{{closure}}
     153 (0.1%)    15 (1.2%)  <&T as core::fmt::Debug>::fmt
     152 (0.1%)     1 (0.1%)  alloc::raw_vec::finish_grow
     145 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     144 (0.1%)     6 (0.5%)  data_encoding::check_pad::{{closure}}
     129 (0.1%)     1 (0.1%)  <data_encoding::SpecificationError as core::fmt::Display>::fmt
     127 (0.1%)     3 (0.2%)  core::option::Option<T>::ok_or
     126 (0.1%)     6 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check
     126 (0.1%)     3 (0.2%)  core::result::Result<T,E>::unwrap
     117 (0.1%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
     114 (0.1%)     6 (0.5%)  <core::iter::adapters::rev::Rev<I> as core::iter::traits::iterator::Iterator>::try_fold
     114 (0.1%)     6 (0.5%)  core::iter::adapters::take_while::TakeWhile<I,P>::new
     114 (0.1%)     1 (0.1%)  data_encoding::Encoding::decode
     114 (0.1%)     1 (0.1%)  data_encoding::Encoding::is_canonical
     107 (0.1%)     1 (0.1%)  <data_encoding::SpecificationErrorImpl as core::fmt::Debug>::fmt
     104 (0.1%)     1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
     103 (0.1%)     1 (0.1%)  data_encoding::Specification::encoding::{{closure}}
     102 (0.1%)     6 (0.5%)  data_encoding::encode_len
      98 (0.1%)     1 (0.1%)  data_encoding::Specification::new
