  Lines         Copies       Function name
  -----         ------       -------------
  39046 (100%)  1299 (100%)  (TOTAL)
    978 (2.5%)     6 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    725 (1.9%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    710 (1.8%)     1 (0.1%)  deflate::lz77::lz77_compress_block
    556 (1.4%)     5 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    538 (1.4%)     1 (0.1%)  deflate::compress::compress_data_dynamic_n
    503 (1.3%)     1 (0.1%)  deflate::lz77::process_chunk_lazy
    492 (1.3%)     5 (0.4%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    446 (1.1%)     1 (0.1%)  alloc::slice::merge_sort
    438 (1.1%)    10 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    432 (1.1%)     6 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    425 (1.1%)     5 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    405 (1.0%)     5 (0.4%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    383 (1.0%)     1 (0.1%)  deflate::huffman_lengths::write_huffman_lengths
    371 (1.0%)     1 (0.1%)  deflate::length_encode::encode_lengths_m
    360 (0.9%)     2 (0.2%)  deflate::huffman_lengths::calculate_block_length
    336 (0.9%)     6 (0.5%)  core::alloc::layout::Layout::array
    336 (0.9%)     1 (0.1%)  deflate::length_encode::in_place::in_place_lengths
    327 (0.8%)     3 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    326 (0.8%)     3 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    314 (0.8%)     5 (0.4%)  alloc::vec::Vec<T,A>::push
    312 (0.8%)     1 (0.1%)  deflate::rle::process_chunk_greedy_rle
    309 (0.8%)     5 (0.4%)  alloc::alloc::box_free
    307 (0.8%)     1 (0.1%)  deflate::length_encode::in_place::step_1
    300 (0.8%)     1 (0.1%)  alloc::slice::merge_sort::collapse
    295 (0.8%)     1 (0.1%)  deflate::huffman_lengths::gen_huffman_lengths
    286 (0.7%)     1 (0.1%)  deflate::length_encode::in_place::enforce_max_code_lengths
    280 (0.7%)     6 (0.5%)  core::mem::replace
    264 (0.7%)     5 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    260 (0.7%)     1 (0.1%)  deflate::lz77::process_chunk_greedy
    246 (0.6%)     1 (0.1%)  deflate::matching::longest_match
    244 (0.6%)     1 (0.1%)  deflate::length_encode::in_place::step_2
    242 (0.6%)     5 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    234 (0.6%)     1 (0.1%)  alloc::slice::merge
