  Lines         Copies      Function name
  -----         ------      -------------
  24089 (100%)  855 (100%)  (TOTAL)
   1160 (4.8%)    1 (0.1%)  derive_new::new_impl
    908 (3.8%)    1 (0.1%)  alloc::str::join_generic_copy
    587 (2.4%)   13 (1.5%)  core::option::Option<T>::map
    504 (2.1%)    1 (0.1%)  derive_new::FieldAttr::parse
    446 (1.9%)    4 (0.5%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    428 (1.8%)    6 (0.7%)  alloc::alloc::box_free
    382 (1.6%)    5 (0.6%)  core::iter::traits::iterator::Iterator::fold
    370 (1.5%)    3 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    326 (1.4%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    290 (1.2%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    289 (1.2%)    3 (0.4%)  alloc::vec::Vec<T,A>::extend_desugared
    286 (1.2%)    4 (0.5%)  std::thread::local::LocalKey<T>::try_with
    278 (1.2%)    6 (0.7%)  core::mem::replace
    261 (1.1%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    258 (1.1%)    4 (0.5%)  core::iter::adapters::map::map_fold::{{closure}}
    216 (0.9%)    1 (0.1%)  <F as syn::parse::Parser>::parse2
    213 (0.9%)    1 (0.1%)  derive_new::FieldExt::as_init
    204 (0.8%)    4 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    204 (0.8%)    2 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    200 (0.8%)    2 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    199 (0.8%)   11 (1.3%)  core::iter::adapters::map::Map<I,F>::new
    190 (0.8%)    2 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    190 (0.8%)    2 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    176 (0.7%)    4 (0.5%)  core::result::Result<T,E>::expect
    168 (0.7%)    1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    166 (0.7%)    4 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    163 (0.7%)    2 (0.2%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    150 (0.6%)    3 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    150 (0.6%)    1 (0.1%)  derive_new::FieldAttr::as_tokens
    144 (0.6%)   11 (1.3%)  core::iter::traits::iterator::Iterator::map
    144 (0.6%)    4 (0.5%)  core::option::Option<T>::or_else
    144 (0.6%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    142 (0.6%)    1 (0.1%)  derive_new::new_for_enum
