  Lines          Copies       Function name
  -----          ------       -------------
  207026 (100%)  6449 (100%)  (TOTAL)
    3738 (1.8%)    42 (0.7%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    3436 (1.7%)    45 (0.7%)  core::iter::traits::iterator::Iterator::fold
    3418 (1.7%)    33 (0.5%)  core::iter::traits::iterator::Iterator::try_fold
    3260 (1.6%)    20 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2769 (1.3%)    48 (0.7%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    2544 (1.2%)    54 (0.8%)  core::option::Option<T>::map
    2320 (1.1%)    16 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2283 (1.1%)    40 (0.6%)  core::iter::adapters::map::map_fold::{{closure}}
    2099 (1.0%)    40 (0.6%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    1940 (0.9%)    21 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    1728 (0.8%)     8 (0.1%)  <F as syn::parse::Parser>::parse2
    1712 (0.8%)     1 (0.0%)  derive_more::try_into::expand
    1675 (0.8%)    87 (1.3%)  core::iter::adapters::map::Map<I,F>::new
    1576 (0.8%)    40 (0.6%)  core::iter::traits::iterator::Iterator::for_each
    1521 (0.7%)     1 (0.0%)  derive_more::display::State::get_match_arms_and_extra_bounds
    1516 (0.7%)     4 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    1483 (0.7%)     1 (0.0%)  derive_more::add_like::enum_content
    1440 (0.7%)    20 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1406 (0.7%)    12 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    1334 (0.6%)    23 (0.4%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1285 (0.6%)     1 (0.0%)  derive_more::utils::parse_punctuated_nested_meta
    1273 (0.6%)    28 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1271 (0.6%)     1 (0.0%)  derive_more::not_like::enum_output_type_and_content
    1226 (0.6%)     1 (0.0%)  derive_more::unwrap::expand
