  Lines        Copies      Function name
  -----        ------      -------------
  6718 (100%)  247 (100%)  (TOTAL)
   347 (5.2%)    8 (3.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   206 (3.1%)    4 (1.6%)  core::option::Option<T>::map
   193 (2.9%)    1 (0.4%)  alloc::alloc::Global::grow_impl
   179 (2.7%)    3 (1.2%)  core::result::Result<T,E>::map_err
   168 (2.5%)    2 (0.8%)  core::option::Option<T>::map_or
   164 (2.4%)    7 (2.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   163 (2.4%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   152 (2.3%)    1 (0.4%)  alloc::raw_vec::finish_grow
   145 (2.2%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   135 (2.0%)    1 (0.4%)  deunicode::deunicode_with_tofu_cow
   131 (1.9%)    1 (0.4%)  deunicode::deunicode_char
   127 (1.9%)    3 (1.2%)  core::option::Option<T>::ok_or
   113 (1.7%)    1 (0.4%)  core::str::validations::next_code_point
   109 (1.6%)    1 (0.4%)  core::iter::traits::iterator::Iterator::try_fold
    97 (1.4%)    1 (0.4%)  <deunicode::AsciiCharsIter as core::iter::traits::iterator::Iterator>::next::{{closure}}::{{closure}}
    97 (1.4%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    96 (1.4%)    1 (0.4%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    81 (1.2%)    1 (0.4%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    75 (1.1%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    74 (1.1%)    1 (0.4%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    72 (1.1%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    70 (1.0%)    1 (0.4%)  core::cmp::max_by
    69 (1.0%)    1 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    58 (0.9%)    2 (0.8%)  core::ptr::metadata::from_raw_parts
    58 (0.9%)    1 (0.4%)  core::slice::iter::Iter<T>::make_slice
    57 (0.8%)    1 (0.4%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
    56 (0.8%)    1 (0.4%)  core::alloc::layout::Layout::array
    56 (0.8%)    1 (0.4%)  core::option::Option<T>::unwrap_or
    52 (0.8%)    1 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    50 (0.7%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    48 (0.7%)    1 (0.4%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    48 (0.7%)    1 (0.4%)  core::str::<impl str>::is_char_boundary
    47 (0.7%)    1 (0.4%)  core::option::Option<T>::unwrap_unchecked
    46 (0.7%)    1 (0.4%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    45 (0.7%)    1 (0.4%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
    45 (0.7%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    43 (0.6%)    2 (0.8%)  <usize as core::slice::index::SliceIndex<[T]>>::get
    43 (0.6%)    2 (0.8%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.6%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_add
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_mul
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::overflowing_add
