  Lines        Copies      Function name
  -----        ------      -------------
  6067 (100%)  367 (100%)  (TOTAL)
   554 (9.1%)   62 (16.9%) diesel::expression::bound::Bound<T,U>::new
   213 (3.5%)    1 (0.3%)  <std::path::Prefix as core::cmp::PartialEq>::eq
   159 (2.6%)    1 (0.3%)  <diesel::result::Error as core::fmt::Debug>::fmt
   155 (2.6%)    1 (0.3%)  core::iter::traits::iterator::Iterator::eq_by
   150 (2.5%)    2 (0.5%)  alloc::alloc::box_free
   136 (2.2%)    1 (0.3%)  <diesel::result::Error as core::fmt::Display>::fmt
   132 (2.2%)    1 (0.3%)  <diesel::result::Error as std::error::Error>::description
   131 (2.2%)    1 (0.3%)  <diesel::result::Error as core::cmp::PartialEq>::eq
   113 (1.9%)   11 (3.0%)  <&T as core::fmt::Debug>::fmt
   112 (1.8%)    1 (0.3%)  <diesel::result::ConnectionError as core::fmt::Debug>::fmt
    98 (1.6%)    1 (0.3%)  <diesel::migration::errors::MigrationError as core::fmt::Debug>::fmt
    98 (1.6%)    1 (0.3%)  <std::path::Components as core::cmp::PartialEq>::eq
    86 (1.4%)    1 (0.3%)  <std::path::Component as core::cmp::PartialEq>::eq
    81 (1.3%)    1 (0.3%)  <diesel::result::ConnectionError as core::fmt::Display>::fmt
    76 (1.3%)    1 (0.3%)  <diesel::result::Error as std::error::Error>::cause
    74 (1.2%)    1 (0.3%)  <diesel::result::ConnectionError as std::error::Error>::description
    73 (1.2%)    5 (1.4%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
    72 (1.2%)    1 (0.3%)  <diesel::migration::errors::RunMigrationsError as core::fmt::Debug>::fmt
    72 (1.2%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    59 (1.0%)    1 (0.3%)  <diesel::migration::errors::MigrationError as core::cmp::PartialEq>::eq
    59 (1.0%)    1 (0.3%)  core::fmt::Arguments::new_v1
    58 (1.0%)    2 (0.5%)  core::fmt::ArgumentV1::new
    53 (0.9%)    1 (0.3%)  <std::path::Components as core::clone::Clone>::clone
    52 (0.9%)    1 (0.3%)  <diesel::migration::errors::MigrationError as std::error::Error>::description
    51 (0.8%)    1 (0.3%)  <diesel::migration::errors::RunMigrationsError as std::error::Error>::description
    45 (0.7%)    1 (0.3%)  core::mem::replace
    42 (0.7%)    1 (0.3%)  <diesel::result::ConnectionError as std::error::Error>::cause
    42 (0.7%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn diesel::result::DatabaseErrorInformation+core::marker::Send+core::marker::Sync>>
    42 (0.7%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
    41 (0.7%)    1 (0.3%)  diesel::connection::transaction_manager::AnsiTransactionManager::change_transaction_depth
    40 (0.7%)    1 (0.3%)  core::option::Option<T>::map
    38 (0.6%)    1 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    38 (0.6%)    1 (0.3%)  <diesel::result::DatabaseErrorKind as core::fmt::Debug>::fmt
    38 (0.6%)    1 (0.3%)  core::option::Option<T>::unwrap_or
    37 (0.6%)    1 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    37 (0.6%)    1 (0.3%)  <std::ffi::c_str::NulError as core::cmp::PartialEq>::eq
    36 (0.6%)    3 (0.8%)  core::ptr::unique::Unique<T>::cast
    35 (0.6%)    1 (0.3%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
    33 (0.5%)    1 (0.3%)  core::cell::Cell<T>::replace
    29 (0.5%)    2 (0.5%)  <alloc::boxed::Box<T,A> as core::fmt::Debug>::fmt
    29 (0.5%)    1 (0.3%)  <core::option::Option<T> as core::clone::Clone>::clone
    29 (0.5%)    1 (0.3%)  <diesel::query_builder::sql_query::SqlQuery as core::fmt::Debug>::fmt
    29 (0.5%)    1 (0.3%)  core::ptr::drop_in_place<diesel::result::Error>
    29 (0.5%)    1 (0.3%)  core::ptr::metadata::from_raw_parts
    28 (0.5%)    2 (0.5%)  core::ptr::unique::Unique<T>::as_ref
    27 (0.4%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (0.4%)    1 (0.3%)  <diesel::migration::errors::RunMigrationsError as core::fmt::Display>::fmt
    27 (0.4%)    1 (0.3%)  <diesel::result::UnexpectedNullError as core::fmt::Display>::fmt
    27 (0.4%)    1 (0.3%)  <diesel::serialize::IsNull as core::fmt::Debug>::fmt
    27 (0.4%)    1 (0.3%)  core::iter::traits::iterator::Iterator::eq::{{closure}}
    27 (0.4%)    1 (0.3%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    26 (0.4%)    2 (0.5%)  std::error::Error::source
    26 (0.4%)    1 (0.3%)  <std::path::State as core::cmp::PartialEq>::eq
    25 (0.4%)    1 (0.3%)  core::option::Option<T>::as_ref
    24 (0.4%)    1 (0.3%)  <diesel::migration::errors::RunMigrationsError as core::convert::From<std::io::error::Error>>::from
    24 (0.4%)    1 (0.3%)  <diesel::query_builder::nodes::Identifier as core::fmt::Debug>::fmt
    23 (0.4%)    2 (0.5%)  <&T as core::fmt::Display>::fmt
    23 (0.4%)    1 (0.3%)  <std::ffi::os_str::OsStr as core::cmp::PartialEq>::eq
    23 (0.4%)    1 (0.3%)  <std::path::PathBuf as core::cmp::PartialEq>::eq
    23 (0.4%)    1 (0.3%)  core::str::traits::<impl core::cmp::PartialEq for str>::eq
    22 (0.4%)    2 (0.5%)  <T as core::convert::Into<U>>::into
    22 (0.4%)    2 (0.5%)  core::ptr::unique::Unique<T>::as_ptr
    22 (0.4%)    1 (0.3%)  std::sys::unix::os_str::Buf::as_slice
    20 (0.3%)    1 (0.3%)  core::alloc::layout::Layout::from_size_align_unchecked
    19 (0.3%)    1 (0.3%)  <&dyn diesel::migration::Migration as diesel::migration::Migration>::revert
    19 (0.3%)    1 (0.3%)  <&dyn diesel::migration::Migration as diesel::migration::Migration>::run
    19 (0.3%)    1 (0.3%)  <alloc::boxed::Box<dyn diesel::migration::Migration> as diesel::migration::Migration>::revert
    19 (0.3%)    1 (0.3%)  <alloc::boxed::Box<dyn diesel::migration::Migration> as diesel::migration::Migration>::run
    19 (0.3%)    1 (0.3%)  <diesel::migration::errors::MigrationError as core::convert::From<std::io::error::Error>>::from
    19 (0.3%)    1 (0.3%)  <dyn diesel::result::DatabaseErrorInformation+core::marker::Send+core::marker::Sync as core::fmt::Debug>::fmt
    19 (0.3%)    1 (0.3%)  core::str::<impl str>::as_bytes
    19 (0.3%)    1 (0.3%)  core::str::converts::from_utf8_unchecked
    18 (0.3%)    1 (0.3%)  core::option::Option<T>::is_some
    18 (0.3%)    1 (0.3%)  core::result::Result<T,E>::is_ok
