  Lines          Copies        Function name
  -----          ------        -------------
  435862 (100%)  11499 (100%)  (TOTAL)
   28476 (6.5%)    211 (1.8%)  core::iter::traits::iterator::Iterator::try_fold
   27200 (6.2%)    200 (1.7%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
   20159 (4.6%)    373 (3.2%)  core::option::Option<T>::map
   18503 (4.2%)    209 (1.8%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
   17979 (4.1%)    203 (1.8%)  core::iter::adapters::map::map_try_fold::{{closure}}
   16561 (3.8%)    205 (1.8%)  core::iter::traits::iterator::Iterator::fold
   16200 (3.7%)    200 (1.7%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
   14076 (3.2%)     69 (0.6%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<syn::punctuated::Pair<T,P>>>::extend
   13479 (3.1%)    209 (1.8%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   12169 (2.8%)    203 (1.8%)  core::iter::adapters::map::map_fold::{{closure}}
   11724 (2.7%)    203 (1.8%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
   10961 (2.5%)    203 (1.8%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    8000 (1.8%)    200 (1.7%)  core::iter::traits::iterator::Iterator::for_each
    7600 (1.7%)    200 (1.7%)  <alloc::vec::Vec<T> as syn::gen::helper::fold::FoldHelper>::lift
    5400 (1.2%)    200 (1.7%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    4698 (1.1%)    310 (2.7%)  core::iter::adapters::map::Map<I,F>::new
    4554 (1.0%)     69 (0.6%)  <syn::punctuated::Punctuated<T,U> as syn::gen::helper::fold::FoldHelper>::lift::{{closure}}
    4400 (1.0%)    200 (1.7%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    3845 (0.9%)    203 (1.8%)  core::iter::adapters::map::map_try_fold
    3443 (0.8%)    310 (2.7%)  core::iter::traits::iterator::Iterator::map
