  Lines         Copies      Function name
  -----         ------      -------------
  18332 (100%)  720 (100%)  (TOTAL)
    625 (3.4%)   14 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    388 (2.1%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::parse_user_dirs
    297 (1.6%)   12 (1.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    292 (1.6%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    290 (1.6%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    237 (1.3%)    5 (0.7%)  core::mem::replace
    234 (1.3%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    219 (1.2%)    4 (0.6%)  core::result::Result<T,E>::map_err
    195 (1.1%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    193 (1.1%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (1.0%)    1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    188 (1.0%)    2 (0.3%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    185 (1.0%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    172 (0.9%)    1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.9%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    163 (0.9%)    4 (0.6%)  core::option::Option<T>::ok_or
    163 (0.9%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    162 (0.9%)    2 (0.3%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    155 (0.8%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    152 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    144 (0.8%)    7 (1.0%)  core::ops::function::FnOnce::call_once
    144 (0.8%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    137 (0.7%)    1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    132 (0.7%)    7 (1.0%)  core::ptr::read
    129 (0.7%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::read_all
    128 (0.7%)    2 (0.3%)  alloc::alloc::box_free
    127 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    124 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    122 (0.7%)    1 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
    121 (0.7%)    2 (0.3%)  hashbrown::raw::RawTable<T,A>::find
    113 (0.6%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
    112 (0.6%)    2 (0.3%)  core::alloc::layout::Layout::array
    110 (0.6%)    1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    109 (0.6%)    1 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    109 (0.6%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    104 (0.6%)    1 (0.1%)  <core::slice::iter::Split<T,P> as core::iter::traits::iterator::Iterator>::next
    102 (0.6%)    2 (0.3%)  core::iter::adapters::cloned::clone_try_fold::{{closure}}
    102 (0.6%)    1 (0.1%)  dirs_sys_next::target_unix_not_redox::home_dir::fallback
    101 (0.6%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
    100 (0.5%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    100 (0.5%)    1 (0.1%)  dirs_sys_next::target_unix_not_mac::user_dir
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     94 (0.5%)    1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
     93 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     92 (0.5%)    2 (0.3%)  core::option::Option<T>::map
     90 (0.5%)    2 (0.3%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
     89 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
     87 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     86 (0.5%)    9 (1.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     85 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::erase
     84 (0.5%)    2 (0.3%)  core::option::Option<T>::and_then
     83 (0.5%)    2 (0.3%)  core::hash::BuildHasher::hash_one
     81 (0.4%)    1 (0.1%)  core::core_arch::simd::i8x16::new
     74 (0.4%)    2 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     73 (0.4%)    2 (0.3%)  core::cell::Cell<T>::replace
     73 (0.4%)    1 (0.1%)  std::thread::local::LocalKey<T>::try_with
     72 (0.4%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::shell_unescape
     72 (0.4%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::trim_blank
     71 (0.4%)    8 (1.1%)  core::ptr::write
     70 (0.4%)    2 (0.3%)  core::iter::traits::iterator::Iterator::count::{{closure}}
     70 (0.4%)    1 (0.1%)  core::cmp::max_by
     70 (0.4%)    1 (0.1%)  core::cmp::min_by
     70 (0.4%)    1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     66 (0.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     66 (0.4%)    2 (0.3%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
     65 (0.4%)    2 (0.3%)  dirs_sys_next::xdg_user_dirs::split_once::{{closure}}
     64 (0.3%)    1 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     64 (0.3%)    1 (0.1%)  hashbrown::raw::capacity_to_buckets
     63 (0.3%)    1 (0.1%)  core::iter::adapters::step_by::StepBy<I>::new
     63 (0.3%)    1 (0.1%)  core::slice::<impl [T]>::ends_with
     62 (0.3%)    2 (0.3%)  core::ptr::swap_nonoverlapping
     62 (0.3%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::free_buckets
     61 (0.3%)    1 (0.1%)  alloc::vec::Vec<T,A>::push
     61 (0.3%)    1 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::remove
     60 (0.3%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::single
     59 (0.3%)    1 (0.1%)  dirs_sys_next::xdg_user_dirs::option_contains
     58 (0.3%)    2 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::get
     57 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::try_initialize
     56 (0.3%)    4 (0.6%)  <&T as core::convert::AsRef<U>>::as_ref
     56 (0.3%)    1 (0.1%)  core::core_arch::x86::sse2::_mm_set_epi8
     56 (0.3%)    1 (0.1%)  core::result::Result<T,E>::map
     56 (0.3%)    1 (0.1%)  dirs_sys_next::is_absolute_path
     55 (0.3%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
     54 (0.3%)    2 (0.3%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold::ok::{{closure}}
     54 (0.3%)    2 (0.3%)  dirs_sys_next::target_unix_not_redox::home_dir::{{closure}}
     52 (0.3%)    1 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     51 (0.3%)    9 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     51 (0.3%)    3 (0.4%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
