  Lines         Copies      Function name
  -----         ------      -------------
  16899 (100%)  595 (100%)  (TOTAL)
    331 (2.0%)    3 (0.5%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    321 (1.9%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf8_slice_start
    319 (1.9%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf8CharDecoder as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    311 (1.8%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_str_start
    284 (1.7%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    243 (1.4%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    232 (1.4%)    4 (0.7%)  core::option::Option<T>::map
    213 (1.3%)    1 (0.2%)  <encode_unicode::utf8_char::Utf8Char as core::convert::From<encode_unicode::utf16_char::Utf16Char>>::from
    209 (1.2%)    3 (0.5%)  core::result::Result<T,E>::map
    203 (1.2%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf16_slice_start
    190 (1.1%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf8_array
    174 (1.0%)    6 (1.0%)  core::fmt::ArgumentV1::new
    167 (1.0%)    1 (0.2%)  <encode_unicode::utf16_char::Utf16Char as core::convert::From<encode_unicode::utf8_char::Utf8Char>>::from
    165 (1.0%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::to_utf8_array
    146 (0.9%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf8CharDecoder as core::iter::traits::iterator::Iterator>::next
    135 (0.8%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
    134 (0.8%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    134 (0.8%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    132 (0.8%)    2 (0.3%)  core::fmt::builders::DebugList::entries
    120 (0.7%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf16_tuple
