  Lines         Copies      Function name
  -----         ------      -------------
  13530 (100%)  407 (100%)  (TOTAL)
   1471 (10.9%)   1 (0.2%)  enum_as_inner::unnamed_fields_return
   1443 (10.7%)   1 (0.2%)  enum_as_inner::named_fields_return
    631 (4.7%)    1 (0.2%)  enum_as_inner::impl_all_as_fns
    446 (3.3%)    4 (1.0%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    363 (2.7%)    1 (0.2%)  enum_as_inner::unit_fields_return
    353 (2.6%)    5 (1.2%)  alloc::alloc::box_free
    286 (2.1%)    4 (1.0%)  std::thread::local::LocalKey<T>::try_with
    278 (2.1%)    6 (1.5%)  core::mem::replace
    216 (1.6%)    1 (0.2%)  <F as syn::parse::Parser>::parse2
    204 (1.5%)    2 (0.5%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    168 (1.2%)    1 (0.2%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    163 (1.2%)    2 (0.5%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    129 (1.0%)    7 (1.7%)  core::ops::function::FnOnce::call_once
    129 (1.0%)    3 (0.7%)  core::result::Result<T,E>::expect
    127 (0.9%)    7 (1.7%)  core::ptr::read
    127 (0.9%)    1 (0.2%)  std::panicking::update_hook
    123 (0.9%)    3 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    119 (0.9%)    2 (0.5%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    117 (0.9%)    3 (0.7%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    102 (0.8%)    8 (2.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
    101 (0.7%)    1 (0.2%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
     98 (0.7%)    1 (0.2%)  enum_as_inner::enum_as_inner
     97 (0.7%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     95 (0.7%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     95 (0.7%)    1 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
     87 (0.6%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     82 (0.6%)    2 (0.5%)  core::option::Option<T>::map
     78 (0.6%)    2 (0.5%)  core::option::Option<T>::ok_or
     75 (0.6%)    2 (0.5%)  proc_macro::bridge::client::run_client::{{closure}}
     75 (0.6%)    1 (0.2%)  proc_macro::bridge::client::run_client
     74 (0.5%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     72 (0.5%)    2 (0.5%)  core::option::Option<T>::or_else
     70 (0.5%)    2 (0.5%)  core::cell::Cell<T>::replace
     69 (0.5%)    4 (1.0%)  core::option::Option<T>::unwrap
     69 (0.5%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.5%)    1 (0.2%)  std::sys::unix::rwlock::RWLock::write
     68 (0.5%)    1 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::push
     68 (0.5%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     67 (0.5%)    1 (0.2%)  <proc_macro::bridge::buffer::Buffer<T> as core::convert::From<alloc::vec::Vec<T>>>::from
     67 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<syn::derive::DeriveInput>
     65 (0.5%)    5 (1.2%)  core::ptr::unique::Unique<T>::cast
     64 (0.5%)    7 (1.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     63 (0.5%)    5 (1.2%)  core::ptr::unique::Unique<T>::as_ref
     63 (0.5%)    1 (0.2%)  core::result::Result<T,E>::map_err
     63 (0.5%)    1 (0.2%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
     62 (0.5%)    1 (0.2%)  <core::option::Option<T> as proc_macro::bridge::rpc::Encode<S>>::encode
     59 (0.4%)    1 (0.2%)  core::fmt::Arguments::new_v1
     58 (0.4%)    1 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     58 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
     57 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
     55 (0.4%)    1 (0.2%)  std::panicking::try
     54 (0.4%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     54 (0.4%)    1 (0.2%)  core::slice::iter::Iter<T>::pre_dec_end
     53 (0.4%)    4 (1.0%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     53 (0.4%)    1 (0.2%)  std::sync::once::Once::call_once
     52 (0.4%)    9 (2.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     50 (0.4%)    6 (1.5%)  core::ptr::write
     50 (0.4%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     49 (0.4%)    5 (1.2%)  core::ptr::unique::Unique<T>::as_ptr
     49 (0.4%)    4 (1.0%)  core::mem::forget
     48 (0.4%)    2 (0.5%)  core::option::Option<T>::expect
     48 (0.4%)    2 (0.5%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}::{{closure}}
