  Lines         Copies      Function name
  -----         ------      -------------
  26417 (100%)  893 (100%)  (TOTAL)
   3039 (11.5%)   1 (0.1%)  enumset_derive::enum_set_type_impl
   1041 (3.9%)    1 (0.1%)  <enumset_derive::EnumsetAttrs as darling_core::from_derive_input::FromDeriveInput>::from_derive_input
    513 (1.9%)    1 (0.1%)  enumset_derive::EnumSetInfo::push_variant
    489 (1.9%)    3 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    446 (1.7%)    4 (0.4%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    433 (1.6%)    2 (0.2%)  <F as syn::parse::Parser>::parse2
    406 (1.5%)    1 (0.1%)  enumset_derive::derive_enum_set_type_0
    396 (1.5%)    5 (0.6%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    389 (1.5%)    5 (0.6%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    382 (1.4%)    6 (0.7%)  core::result::Result<T,E>::map_err
    304 (1.2%)    4 (0.4%)  core::iter::traits::iterator::Iterator::fold
    290 (1.1%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    286 (1.1%)    4 (0.4%)  std::thread::local::LocalKey<T>::try_with
    268 (1.0%)   12 (1.3%)  core::ops::function::FnOnce::call_once
    233 (0.9%)    5 (0.6%)  core::mem::replace
    220 (0.8%)    4 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    217 (0.8%)    2 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    216 (0.8%)    3 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    216 (0.8%)    1 (0.1%)  enumset_derive::derive_enum_set_type
    214 (0.8%)    4 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    204 (0.8%)    4 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    204 (0.8%)    2 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    203 (0.8%)    3 (0.3%)  alloc::alloc::box_free
    199 (0.8%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    191 (0.7%)    4 (0.4%)  core::slice::iter::Iter<T>::new
    188 (0.7%)    4 (0.4%)  core::option::Option<T>::map
    185 (0.7%)    1 (0.1%)  enumset_derive::EnumSetInfo::validate
    181 (0.7%)    4 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    168 (0.6%)    3 (0.3%)  core::alloc::layout::Layout::array
    168 (0.6%)    1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
