  Lines        Copies      Function name
  -----        ------      -------------
  4436 (100%)  131 (100%)  (TOTAL)
   496 (11.2%)   1 (0.8%)  rlp::rlpin::BasicDecoder::decode_value
   409 (9.2%)    1 (0.8%)  ethbloom::Bloom::accrue
   300 (6.8%)    2 (1.5%)  ethbloom::BloomRef::contains_bloom
   214 (4.8%)    1 (0.8%)  <ethbloom::Bloom as core::fmt::Display>::fmt
   166 (3.7%)    1 (0.8%)  <ethbloom::Bloom as core::str::traits::FromStr>::from_str
   147 (3.3%)    3 (2.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   122 (2.8%)    1 (0.8%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   107 (2.4%)    1 (0.8%)  <ethbloom::Bloom as core::fmt::LowerHex>::fmt
   107 (2.4%)    1 (0.8%)  <ethbloom::Bloom as core::fmt::UpperHex>::fmt
   102 (2.3%)    2 (1.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::all
    67 (1.5%)    1 (0.8%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    66 (1.5%)    1 (0.8%)  <ethbloom::Bloom as rlp::traits::Decodable>::decode::{{closure}}
    64 (1.4%)    1 (0.8%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    60 (1.4%)    1 (0.8%)  <ethbloom::Hash as core::convert::From<ethbloom::Input>>::from
    59 (1.3%)    1 (0.8%)  core::fmt::Arguments::new_v1
    58 (1.3%)    2 (1.5%)  core::fmt::ArgumentV1::new
    57 (1.3%)    2 (1.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    56 (1.3%)    1 (0.8%)  core::option::Option<T>::ok_or
    56 (1.3%)    1 (0.8%)  core::option::Option<T>::unwrap_or
    54 (1.2%)    1 (0.8%)  <ethbloom::Bloom as core::ops::bit::BitAndAssign<&ethbloom::Bloom>>::bitand_assign
