  Lines        Copies      Function name
  -----        ------      -------------
  4846 (100%)  210 (100%)  (TOTAL)
   292 (6.0%)    1 (0.5%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
   192 (4.0%)    1 (0.5%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
   172 (3.5%)    1 (0.5%)  core::hash::sip::u8to64_le
   146 (3.0%)    2 (1.0%)  std::thread::local::LocalKey<T>::try_with
   145 (3.0%)    3 (1.4%)  core::mem::replace
   142 (2.9%)    2 (1.0%)  <core::ops::range::Bound<T> as core::fmt::Debug>::fmt
   135 (2.8%)    1 (0.5%)  fastrand::Rng::u32
   135 (2.8%)    1 (0.5%)  fastrand::Rng::u64
   100 (2.1%)    1 (0.5%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    93 (1.9%)    2 (1.0%)  core::result::Result<T,E>::expect
    75 (1.5%)    2 (1.0%)  core::option::Option<T>::unwrap_or_else
    72 (1.5%)    4 (1.9%)  core::ops::function::FnOnce::call_once
    70 (1.4%)    1 (0.5%)  core::cmp::min_by
    66 (1.4%)    2 (1.0%)  core::cell::Cell<T>::replace
    66 (1.4%)    1 (0.5%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    65 (1.3%)    1 (0.5%)  alloc::alloc::box_free
    62 (1.3%)    1 (0.5%)  fastrand::Rng::f64
    60 (1.2%)    1 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    60 (1.2%)    1 (0.5%)  fastrand::Rng::f32
    59 (1.2%)    1 (0.5%)  core::fmt::Arguments::new_v1
    58 (1.2%)    2 (1.0%)  core::fmt::ArgumentV1::new
    56 (1.2%)    3 (1.4%)  core::ptr::read
    56 (1.2%)    1 (0.5%)  std::thread::local::fast::Key<T>::get
    56 (1.2%)    1 (0.5%)  std::thread::local::fast::Key<T>::try_initialize
    55 (1.1%)    1 (0.5%)  fastrand::Rng::gen_mod_u32
    55 (1.1%)    1 (0.5%)  fastrand::Rng::gen_mod_u64
    52 (1.1%)    1 (0.5%)  fastrand::RNG::__init
    51 (1.1%)    1 (0.5%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::finish
    50 (1.0%)    5 (2.4%)  <&T as core::fmt::Debug>::fmt
    44 (0.9%)    1 (0.5%)  alloc::sync::Weak<T>::inner
    43 (0.9%)    1 (0.5%)  core::num::<impl u32>::checked_add
    43 (0.9%)    1 (0.5%)  core::num::<impl u32>::checked_sub
    43 (0.9%)    1 (0.5%)  core::num::<impl u32>::overflowing_add
    43 (0.9%)    1 (0.5%)  core::num::<impl u32>::overflowing_sub
    43 (0.9%)    1 (0.5%)  core::num::<impl u64>::checked_add
    43 (0.9%)    1 (0.5%)  core::num::<impl u64>::checked_sub
    43 (0.9%)    1 (0.5%)  core::num::<impl u64>::overflowing_add
    43 (0.9%)    1 (0.5%)  core::num::<impl u64>::overflowing_sub
    43 (0.9%)    1 (0.5%)  fastrand::Rng::u32::{{closure}}
    43 (0.9%)    1 (0.5%)  fastrand::Rng::u64::{{closure}}
    37 (0.8%)    1 (0.5%)  core::sync::atomic::atomic_sub
    36 (0.7%)    2 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    35 (0.7%)    1 (0.5%)  std::thread::local::fast::destroy_value
