  Lines        Copies      Function name
  -----        ------      -------------
  8069 (100%)  354 (100%)  (TOTAL)
   313 (3.9%)    1 (0.3%)  flate2::gz::GzBuilder::into_header
   245 (3.0%)    5 (1.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
   216 (2.7%)   21 (5.9%)  <&T as core::fmt::Debug>::fmt
   192 (2.4%)    2 (0.6%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
   153 (1.9%)    3 (0.8%)  core::option::Option<T>::map
   146 (1.8%)    2 (0.6%)  core::iter::traits::iterator::Iterator::fold
   136 (1.7%)    1 (0.3%)  <flate2::ffi::rust::Inflate as flate2::ffi::InflateBackend>::decompress
   122 (1.5%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   118 (1.5%)    2 (0.6%)  alloc::alloc::box_free
   107 (1.3%)    1 (0.3%)  <flate2::gz::bufread::GzState as core::fmt::Debug>::fmt
   105 (1.3%)    1 (0.3%)  <flate2::ffi::rust::Deflate as flate2::ffi::DeflateBackend>::compress
   104 (1.3%)    1 (0.3%)  flate2::gz::bufread::copy
   102 (1.3%)    2 (0.6%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
   100 (1.2%)    2 (0.6%)  core::iter::adapters::map::map_fold::{{closure}}
    97 (1.2%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    84 (1.0%)    1 (0.3%)  flate2::mem::Decompress::decompress_vec
    82 (1.0%)    2 (0.6%)  core::result::Result<T,E>::unwrap
    80 (1.0%)    2 (0.6%)  core::iter::traits::iterator::Iterator::for_each
    78 (1.0%)    1 (0.3%)  flate2::mem::Compress::compress_vec
    77 (1.0%)    3 (0.8%)  alloc::boxed::Box<T>::new
    76 (0.9%)    1 (0.3%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    75 (0.9%)    1 (0.3%)  <flate2::mem::DecompressError as core::fmt::Display>::fmt
    74 (0.9%)    2 (0.6%)  core::option::Option<T>::unwrap_or
    74 (0.9%)    1 (0.3%)  <flate2::gz::bufread::GzHeaderPartial as core::fmt::Debug>::fmt
    70 (0.9%)    1 (0.3%)  <flate2::mem::DecompressErrorInner as core::fmt::Debug>::fmt
    68 (0.8%)    3 (0.8%)  std::io::error::Error::new
    68 (0.8%)    1 (0.3%)  flate2::gz::bufread::GzHeaderPartial::new
    67 (0.8%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    67 (0.8%)    1 (0.3%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    66 (0.8%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    66 (0.8%)    1 (0.3%)  core::fmt::builders::DebugList::entries
    65 (0.8%)    1 (0.3%)  <flate2::gz::GzBuilder as core::fmt::Debug>::fmt
    65 (0.8%)    1 (0.3%)  <flate2::gz::GzHeader as core::fmt::Debug>::fmt
    64 (0.8%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    61 (0.8%)    1 (0.3%)  <flate2::ffi::rust::Deflate as flate2::ffi::DeflateBackend>::make
    61 (0.8%)    1 (0.3%)  alloc::vec::Vec<T,A>::push
    60 (0.7%)    1 (0.3%)  core::result::Result<T,E>::unwrap_or
    59 (0.7%)    1 (0.3%)  core::fmt::Arguments::new_v1
    58 (0.7%)    2 (0.6%)  core::fmt::ArgumentV1::new
    58 (0.7%)    1 (0.3%)  <flate2::mem::CompressError as core::fmt::Display>::fmt
