  Lines        Copies      Function name
  -----        ------      -------------
  5626 (100%)  229 (100%)  (TOTAL)
   322 (5.7%)    7 (3.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   261 (4.6%)    1 (0.4%)  core::char::methods::encode_utf8_raw
   193 (3.4%)    1 (0.4%)  alloc::alloc::Global::grow_impl
   179 (3.2%)    3 (1.3%)  core::result::Result<T,E>::map_err
   163 (2.9%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   152 (2.7%)    6 (2.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   152 (2.7%)    1 (0.4%)  alloc::raw_vec::finish_grow
   145 (2.6%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   141 (2.5%)    1 (0.4%)  <fs_extra::error::Error as core::convert::From<std::io::error::Error>>::from
   128 (2.3%)    2 (0.9%)  alloc::alloc::box_free
   127 (2.3%)    3 (1.3%)  core::option::Option<T>::ok_or
   122 (2.2%)    1 (0.4%)  <fs_extra::error::ErrorKind as core::fmt::Debug>::fmt
    97 (1.7%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    87 (1.5%)    3 (1.3%)  core::fmt::ArgumentV1::new
    76 (1.4%)    1 (0.4%)  fs_extra::error::ErrorKind::as_str
    72 (1.3%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    70 (1.2%)    1 (0.4%)  core::cmp::max_by
    67 (1.2%)    1 (0.4%)  <fs_extra::TransitProcess as core::clone::Clone>::clone
    61 (1.1%)    1 (0.4%)  alloc::vec::Vec<T,A>::push
    59 (1.0%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (1.0%)    1 (0.4%)  core::slice::iter::Iter<T>::make_slice
    56 (1.0%)    1 (0.4%)  core::alloc::layout::Layout::array
    53 (0.9%)    1 (0.4%)  std::io::error::Error::kind
    52 (0.9%)    1 (0.4%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    50 (0.9%)    5 (2.2%)  <&T as core::fmt::Debug>::fmt
    50 (0.9%)    1 (0.4%)  <fs_extra::dir::TransitProcess as core::clone::Clone>::clone
    48 (0.9%)    1 (0.4%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    45 (0.8%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    43 (0.8%)    2 (0.9%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.8%)    1 (0.4%)  core::num::<impl usize>::checked_add
