  Lines       Copies     Function name
  -----       ------     -------------
  775 (100%)  41 (100%)  (TOTAL)
  113 (14.6%)  1 (2.4%)  <futf::Meaning as core::fmt::Debug>::fmt
   73 (9.4%)   7 (17.1%) <&T as core::fmt::Debug>::fmt
   66 (8.5%)   1 (2.4%)  core::fmt::builders::DebugList::entries
   50 (6.5%)   1 (2.4%)  <futf::Byte as core::fmt::Debug>::fmt
   50 (6.5%)   1 (2.4%)  core::slice::iter::Iter<T>::post_inc_start
   47 (6.1%)   1 (2.4%)  <futf::Codepoint as core::fmt::Debug>::fmt
   45 (5.8%)   1 (2.4%)  core::slice::iter::Iter<T>::new
   43 (5.5%)   1 (2.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
   32 (4.1%)   1 (2.4%)  core::fmt::num::<impl core::fmt::Debug for u16>::fmt
   32 (4.1%)   1 (2.4%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
   32 (4.1%)   1 (2.4%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
   26 (3.4%)   1 (2.4%)  <[T] as core::fmt::Debug>::fmt
   14 (1.8%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::guaranteed_eq
   14 (1.8%)   1 (2.4%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
   13 (1.7%)   1 (2.4%)  core::slice::<impl [T]>::iter
   12 (1.5%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::offset
   12 (1.5%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::wrapping_offset
   12 (1.5%)   1 (2.4%)  core::ptr::mut_ptr::<impl *mut T>::offset
    9 (1.2%)   1 (2.4%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    9 (1.2%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::add
    9 (1.2%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::wrapping_add
    8 (1.0%)   1 (2.4%)  core::ptr::const_ptr::<impl *const T>::is_null
    8 (1.0%)   1 (2.4%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    8 (1.0%)   1 (2.4%)  core::slice::<impl [T]>::as_ptr
    7 (0.9%)   1 (2.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&&[u8]>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&char>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&futf::Meaning>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&u16>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&u8>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<&usize>
    4 (0.5%)   1 (2.4%)  core::ptr::non_null::NonNull<T>::as_ptr
    1 (0.1%)   1 (2.4%)  core::mem::size_of
    1 (0.1%)   1 (2.4%)  core::ptr::null
    1 (0.1%)   1 (2.4%)  core::ptr::null_mut
