  Lines        Copies      Function name
  -----        ------      -------------
  3630 (100%)  217 (100%)  (TOTAL)
   110 (3.0%)    1 (0.5%)  std::io::cursor::slice_write_vectored
   104 (2.9%)    1 (0.5%)  alloc::vec::Vec<T,A>::extend_with
   102 (2.8%)    2 (0.9%)  core::mem::replace
    97 (2.7%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    85 (2.3%)    1 (0.5%)  std::io::cursor::slice_write
    73 (2.0%)    1 (0.5%)  alloc::sync::Arc<T>::new
    70 (1.9%)    1 (0.5%)  core::cmp::min_by
    68 (1.9%)    1 (0.5%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    66 (1.8%)    1 (0.5%)  std::io::impls::<impl std::io::Write for &mut [u8]>::write
    60 (1.7%)    1 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    59 (1.6%)    1 (0.5%)  core::fmt::Arguments::new_v1
    58 (1.6%)    1 (0.5%)  alloc::vec::Vec<T,A>::resize
    58 (1.6%)    1 (0.5%)  std::thread::local::fast::Key<T>::get
    57 (1.6%)    1 (0.5%)  std::thread::local::fast::Key<T>::try_initialize
    53 (1.5%)    1 (0.5%)  alloc::alloc::box_free
    48 (1.3%)    1 (0.5%)  futures_lite::future::block_on::parker_and_waker
    45 (1.2%)    1 (0.5%)  core::slice::<impl [T]>::split_at_mut_unchecked
    44 (1.2%)    1 (0.5%)  alloc::sync::Weak<T>::inner
    43 (1.2%)    2 (0.9%)  core::ptr::read
    42 (1.2%)    1 (0.5%)  alloc::alloc::exchange_malloc
    42 (1.2%)    1 (0.5%)  alloc::vec::Vec<T,A>::truncate
    38 (1.0%)    5 (2.3%)  core::pin::Pin<P>::new_unchecked
    36 (1.0%)    1 (0.5%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    35 (1.0%)    4 (1.8%)  core::pin::Pin<P>::as_mut
    35 (1.0%)    1 (0.5%)  alloc::sync::Arc<T>::into_raw
    34 (0.9%)    1 (0.5%)  core::cell::RefCell<T>::new
    33 (0.9%)    1 (0.5%)  std::thread::local::fast::destroy_value
    32 (0.9%)    4 (1.8%)  <core::pin::Pin<P> as core::ops::deref::DerefMut>::deref_mut
    32 (0.9%)    1 (0.5%)  std::thread::local::fast::Key<T>::try_register_dtor
    32 (0.9%)    1 (0.5%)  waker_fn::Helper<F>::wake
    29 (0.8%)    1 (0.5%)  <futures_lite::io::Sink as core::fmt::Debug>::fmt
    29 (0.8%)    1 (0.5%)  core::alloc::layout::Layout::for_value_raw
    28 (0.8%)    1 (0.5%)  <futures_lite::io::Repeat as core::fmt::Debug>::fmt
    28 (0.8%)    1 (0.5%)  core::ptr::drop_in_place<(parking::Parker,core::task::wake::Waker)>
    27 (0.7%)    1 (0.5%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (0.7%)    1 (0.5%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    27 (0.7%)    1 (0.5%)  <futures_lite::future::YieldNow as core::future::future::Future>::poll
    26 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<&mut [u8]> as futures_io::if_std::AsyncWrite>::poll_flush
    26 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<alloc::vec::Vec<u8>> as futures_io::if_std::AsyncWrite>::poll_flush
    26 (0.7%)    1 (0.5%)  alloc::sync::Arc<T>::from_raw
    25 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<&mut alloc::vec::Vec<u8>> as futures_io::if_std::AsyncWrite>::poll_flush
    25 (0.7%)    1 (0.5%)  core::alloc::layout::Layout::padding_needed_for
    25 (0.7%)    1 (0.5%)  waker_fn::waker_fn
    24 (0.7%)    3 (1.4%)  core::cell::UnsafeCell<T>::new
    24 (0.7%)    2 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    24 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<&mut [u8]> as futures_io::if_std::AsyncWrite>::poll_write
    24 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<&mut [u8]> as futures_io::if_std::AsyncWrite>::poll_write_vectored
    24 (0.7%)    1 (0.5%)  <futures_lite::io::Cursor<alloc::vec::Vec<u8>> as futures_io::if_std::AsyncWrite>::poll_write
    24 (0.7%)    1 (0.5%)  core::cmp::impls::<impl core::cmp::Ord for u64>::cmp
    23 (0.6%)    1 (0.5%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    23 (0.6%)    1 (0.5%)  <futures_lite::future::YieldNow as core::fmt::Debug>::fmt
    23 (0.6%)    1 (0.5%)  <futures_lite::io::Cursor<&mut alloc::vec::Vec<u8>> as futures_io::if_std::AsyncWrite>::poll_write
    22 (0.6%)    3 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
    22 (0.6%)    2 (0.9%)  core::ops::function::FnOnce::call_once
    22 (0.6%)    1 (0.5%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
    22 (0.6%)    1 (0.5%)  core::option::Option<T>::as_ref
    22 (0.6%)    1 (0.5%)  core::sync::atomic::fence
    22 (0.6%)    1 (0.5%)  waker_fn::Helper<F>::clone_waker
    21 (0.6%)    2 (0.9%)  core::ptr::write
    20 (0.6%)    4 (1.8%)  <&mut T as core::ops::deref::DerefMut>::deref_mut
    20 (0.6%)    2 (0.9%)  <&T as core::fmt::Debug>::fmt
    20 (0.6%)    1 (0.5%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    20 (0.6%)    1 (0.5%)  alloc::sync::data_offset_align
    20 (0.6%)    1 (0.5%)  core::alloc::layout::Layout::from_size_align_unchecked
    19 (0.5%)    4 (1.8%)  core::pin::Pin<&mut T>::get_mut
