  Lines         Copies      Function name
  -----         ------      -------------
  25242 (100%)  854 (100%)  (TOTAL)
   1693 (6.7%)    1 (0.1%)  ghost::phantom
    848 (3.4%)    4 (0.5%)  <F as syn::parse::Parser>::parse2
    815 (3.2%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    498 (2.0%)    1 (0.1%)  <ghost::parse::UnitStruct as syn::parse::Parse>::parse
    446 (1.8%)    4 (0.5%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    429 (1.7%)    9 (1.1%)  core::mem::replace
    360 (1.4%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    336 (1.3%)    1 (0.1%)  ghost::visibility::vis_super
    323 (1.3%)    1 (0.1%)  <ghost::derive::DeriveList as syn::parse::Parse>::parse
    322 (1.3%)    4 (0.5%)  core::iter::traits::iterator::Iterator::fold
    298 (1.2%)    2 (0.2%)  syn::error::Error::new_spanned
    286 (1.1%)    4 (0.5%)  std::thread::local::LocalKey<T>::try_with
    280 (1.1%)    5 (0.6%)  core::alloc::layout::Layout::array
    278 (1.1%)    4 (0.5%)  alloc::alloc::box_free
    259 (1.0%)   14 (1.6%)  core::ptr::read
    250 (1.0%)    4 (0.5%)  alloc::vec::Vec<T,A>::push
    232 (0.9%)    3 (0.4%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    218 (0.9%)    5 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    211 (0.8%)    1 (0.1%)  ghost::derive::expand
    207 (0.8%)    1 (0.1%)  ghost::derive::expand_partialord
    204 (0.8%)    2 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    201 (0.8%)    1 (0.1%)  ghost::variance::apply
    195 (0.8%)    3 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    189 (0.7%)    1 (0.1%)  ghost::derive::expand_debug
    186 (0.7%)   11 (1.3%)  core::ops::function::FnOnce::call_once
    186 (0.7%)    1 (0.1%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
    185 (0.7%)    5 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
