  Lines         Copies       Function name
  -----         ------       -------------
  33666 (100%)  1164 (100%)  (TOTAL)
   2929 (8.7%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::next_state
    656 (1.9%)     1 (0.1%)  gif::common::Frame::from_rgba_speed
    445 (1.3%)     1 (0.1%)  alloc::slice::merge_sort
    380 (1.1%)     8 (0.7%)  core::mem::replace
    379 (1.1%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    363 (1.1%)     4 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    326 (1.0%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    319 (0.9%)     4 (0.3%)  core::iter::traits::iterator::Iterator::fold
    317 (0.9%)     1 (0.1%)  <gif::reader::decoder::State as core::fmt::Debug>::fmt
    300 (0.9%)     5 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    300 (0.9%)     1 (0.1%)  alloc::slice::merge_sort::collapse
    292 (0.9%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    288 (0.9%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::update
    283 (0.8%)    28 (2.4%)  <&T as core::fmt::Debug>::fmt
    278 (0.8%)     4 (0.3%)  alloc::alloc::box_free
    261 (0.8%)    12 (1.0%)  core::ptr::read
    241 (0.7%)     5 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    241 (0.7%)     2 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    234 (0.7%)     1 (0.1%)  alloc::slice::merge
    228 (0.7%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    216 (0.6%)     2 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    211 (0.6%)     1 (0.1%)  <gif::reader::decoder::Decoded as core::fmt::Debug>::fmt
    202 (0.6%)     1 (0.1%)  alloc::slice::insert_head
    195 (0.6%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    193 (0.6%)     4 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    192 (0.6%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    190 (0.6%)     6 (0.5%)  gif::common::Frame::from_rgba_speed::{{closure}}
    187 (0.6%)     2 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
    185 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    176 (0.5%)     1 (0.1%)  gif::common::Frame::from_rgb_speed
    175 (0.5%)     1 (0.1%)  gif::common::Frame::from_palette_pixels
    174 (0.5%)     3 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    174 (0.5%)     3 (0.3%)  core::option::Option<T>::map
    172 (0.5%)     3 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    172 (0.5%)     1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    162 (0.5%)    13 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    159 (0.5%)     5 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    157 (0.5%)     3 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    155 (0.5%)     4 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    155 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    154 (0.5%)     3 (0.3%)  core::ptr::swap_nonoverlapping_one
    154 (0.5%)     2 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    151 (0.4%)     1 (0.1%)  gif::common::Frame::from_indexed_pixels
    151 (0.4%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::with_options
    150 (0.4%)     6 (0.5%)  core::ops::function::FnOnce::call_once
    145 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (0.4%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    144 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_exact
    140 (0.4%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::size_hint
