  Lines          Copies       Function name
  -----          ------       -------------
  117858 (100%)  3655 (100%)  (TOTAL)
    2771 (2.4%)    17 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2379 (2.0%)     1 (0.0%)  gimli::write::unit::AttributeValue::size
    1606 (1.4%)    30 (0.8%)  core::slice::iter::Iter<T>::post_inc_start
    1512 (1.3%)    21 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1469 (1.2%)    22 (0.6%)  core::fmt::builders::DebugList::entries
    1432 (1.2%)    30 (0.8%)  core::slice::iter::Iter<T>::new
    1403 (1.2%)   140 (3.8%)  <&T as core::fmt::Debug>::fmt
    1376 (1.2%)     1 (0.0%)  gimli::arch::Arm::name_to_register
    1362 (1.2%)    30 (0.8%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1353 (1.1%)     1 (0.0%)  gimli::constants::DwAt::static_string
    1206 (1.0%)     6 (0.2%)  hashbrown::raw::inner::RawTable<T,A>::rehash_in_place
    1169 (1.0%)     1 (0.0%)  gimli::arch::RiscV::name_to_register
    1094 (0.9%)    17 (0.5%)  alloc::vec::Vec<T,A>::push
    1061 (0.9%)     1 (0.0%)  <gimli::write::op::Operation as core::cmp::PartialEq>::eq
    1015 (0.9%)     7 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1008 (0.9%)    18 (0.5%)  core::alloc::layout::Layout::array
     908 (0.8%)     1 (0.0%)  gimli::constants::DwOp::static_string
     899 (0.8%)    31 (0.8%)  core::ptr::metadata::from_raw_parts
     864 (0.7%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_exact
     864 (0.7%)     6 (0.2%)  hashbrown::raw::inner::RawTable<T,A>::resize
     844 (0.7%)    18 (0.5%)  core::option::Option<T>::map
     807 (0.7%)     1 (0.0%)  <gimli::write::op::Operation as core::fmt::Debug>::fmt
     800 (0.7%)     1 (0.0%)  gimli::arch::X86_64::name_to_register
     799 (0.7%)     1 (0.0%)  <gimli::write::unit::AttributeValue as core::fmt::Debug>::fmt
