  Lines         Copies       Function name
  -----         ------       -------------
  64283 (100%)  2583 (100%)  (TOTAL)
   1254 (2.0%)     8 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
   1107 (1.7%)    13 (0.5%)  alloc::collections::btree::mem::replace
   1103 (1.7%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
   1097 (1.7%)    53 (2.1%)  core::ptr::read
   1053 (1.6%)    22 (0.9%)  core::option::Option<T>::map
    976 (1.5%)    24 (0.9%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    976 (1.5%)    24 (0.9%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    975 (1.5%)    13 (0.5%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    923 (1.4%)    17 (0.7%)  alloc::alloc::box_free
    747 (1.2%)     9 (0.3%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
    739 (1.1%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
    739 (1.1%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
    713 (1.1%)     9 (0.3%)  alloc::collections::btree::node::slice_insert
    663 (1.0%)    39 (1.5%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::new_edge
    663 (1.0%)    13 (0.5%)  core::option::Option<T>::ok_or
    625 (1.0%)    54 (2.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    602 (0.9%)    12 (0.5%)  core::mem::replace
    600 (0.9%)     8 (0.3%)  alloc::boxed::Box<T,A>::try_new_uninit_in
    597 (0.9%)     4 (0.2%)  alloc::collections::btree::map::entry::VacantEntry<K,V>::insert
    585 (0.9%)    13 (0.5%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend::{{closure}}
    585 (0.9%)    13 (0.5%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
    578 (0.9%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::KV>::split
    576 (0.9%)     9 (0.3%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
    559 (0.9%)    13 (0.5%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::descend
    546 (0.8%)    13 (0.5%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
    536 (0.8%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert_fit
    505 (0.8%)     5 (0.2%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    488 (0.8%)    12 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::edge_area_mut
    488 (0.8%)     4 (0.2%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    486 (0.8%)     9 (0.3%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
    484 (0.8%)     4 (0.2%)  alloc::collections::btree::map::BTreeMap<K,V>::entry
    477 (0.7%)     9 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    468 (0.7%)     8 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::correct_childrens_parent_links
    464 (0.7%)    16 (0.6%)  alloc::boxed::Box<T,A>::from_raw_in
    459 (0.7%)     9 (0.3%)  alloc::collections::btree::navigate::full_range
    436 (0.7%)     4 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::push
    435 (0.7%)    28 (1.1%)  core::slice::<impl [T]>::get_unchecked_mut
    431 (0.7%)    44 (1.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
    431 (0.7%)     1 (0.0%)  gl_generator::registry::parse::make_egl_enum
    424 (0.7%)     8 (0.3%)  alloc::boxed::Box<T,A>::new_uninit_in
    416 (0.6%)     4 (0.2%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::next_kv
    409 (0.6%)     1 (0.0%)  gl_generator::registry::parse::make_enum
    400 (0.6%)     4 (0.2%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    395 (0.6%)     5 (0.2%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
    387 (0.6%)    22 (0.9%)  core::option::Option<T>::unwrap
    377 (0.6%)     5 (0.2%)  core::iter::traits::iterator::Iterator::fold
    373 (0.6%)    54 (2.1%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    357 (0.6%)    21 (0.8%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::new_kv
    351 (0.5%)     9 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
    344 (0.5%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_fit
    342 (0.5%)     9 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    335 (0.5%)     5 (0.2%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::iter::traits::collect::IntoIterator>::into_iter
    324 (0.5%)    18 (0.7%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::right_edge
    323 (0.5%)    65 (2.5%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    322 (0.5%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>::split
    319 (0.5%)    11 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    306 (0.5%)    18 (0.7%)  core::alloc::layout::Layout::new
    306 (0.5%)    17 (0.7%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>::forget_type
    306 (0.5%)    17 (0.7%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Leaf>::forget_type
    304 (0.5%)     4 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,alloc::collections::btree::node::marker::Internal>::new_internal
    298 (0.5%)    30 (1.2%)  core::ptr::write
    298 (0.5%)     4 (0.2%)  alloc::collections::btree::map::BTreeMap<K,V>::insert
    295 (0.5%)     5 (0.2%)  <alloc::collections::btree::map::IntoIter<K,V> as core::ops::drop::Drop>::drop
    290 (0.5%)     4 (0.2%)  alloc::collections::btree::node::SplitResult<K,V,alloc::collections::btree::node::marker::Internal>::forget_node_type
    290 (0.5%)     4 (0.2%)  alloc::collections::btree::node::SplitResult<K,V,alloc::collections::btree::node::marker::Leaf>::forget_node_type
    288 (0.4%)    18 (0.7%)  core::alloc::layout::size_align
    288 (0.4%)     9 (0.3%)  core::result::Result<T,E>::ok
    270 (0.4%)     9 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    261 (0.4%)     3 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    260 (0.4%)    13 (0.5%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>::from_internal
    256 (0.4%)    53 (2.1%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    248 (0.4%)    17 (0.7%)  alloc::boxed::Box<T,A>::leak
    244 (0.4%)     4 (0.2%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::search_node
    243 (0.4%)     9 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    240 (0.4%)     4 (0.2%)  core::option::Option<T>::get_or_insert_with
    232 (0.4%)     8 (0.3%)  core::ptr::metadata::from_raw_parts
    230 (0.4%)     5 (0.2%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_end
    228 (0.4%)    12 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,Type>::borrow_mut
    225 (0.4%)     9 (0.3%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    225 (0.4%)     9 (0.3%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    225 (0.4%)     1 (0.0%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    222 (0.3%)     8 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    220 (0.3%)     4 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,alloc::collections::btree::node::marker::Internal>::from_new_internal
    216 (0.3%)    19 (0.7%)  core::ptr::non_null::NonNull<T>::cast
    216 (0.3%)    16 (0.6%)  core::slice::<impl [T]>::get_unchecked
    216 (0.3%)     9 (0.3%)  alloc::collections::btree::node::move_to_slice
    216 (0.3%)     4 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    210 (0.3%)     7 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    206 (0.3%)     1 (0.0%)  gl_generator::registry::parse::ParseEvent::from_xml
    204 (0.3%)    17 (0.7%)  core::ptr::const_ptr::<impl *const T>::offset
    201 (0.3%)     3 (0.1%)  core::fmt::builders::DebugList::entries
    192 (0.3%)    16 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
    192 (0.3%)     4 (0.2%)  core::option::Option<T>::unwrap_unchecked
    192 (0.3%)     4 (0.2%)  core::slice::iter::Iter<T>::new
    190 (0.3%)     5 (0.2%)  core::iter::traits::iterator::Iterator::for_each
