  Lines         Copies      Function name
  -----         ------      -------------
  11530 (100%)  362 (100%)  (TOTAL)
    405 (3.5%)    1 (0.3%)  core::num::dec2flt::lemire::compute_float
    373 (3.2%)    1 (0.3%)  core::num::dec2flt::slow::parse_long_mantissa
    274 (2.4%)    1 (0.3%)  core::num::dec2flt::dec2flt
    259 (2.2%)    3 (0.8%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    253 (2.2%)    1 (0.3%)  half::bfloat::convert::f64_to_bf16
    253 (2.2%)    1 (0.3%)  half::binary16::convert::f64_to_f16_fallback
    242 (2.1%)    1 (0.3%)  <[half::binary16::f16] as half::slice::HalfFloatSliceExt>::convert_from_f32_slice
    242 (2.1%)    1 (0.3%)  <[half::binary16::f16] as half::slice::HalfFloatSliceExt>::convert_from_f64_slice
    235 (2.0%)    1 (0.3%)  <[half::binary16::f16] as half::slice::HalfFloatSliceExt>::convert_to_f32_slice
    232 (2.0%)    1 (0.3%)  half::binary16::convert::f32_to_f16_fallback
    225 (2.0%)    1 (0.3%)  <[half::binary16::f16] as half::slice::HalfFloatSliceExt>::convert_to_f64_slice
    198 (1.7%)    3 (0.8%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::next
    198 (1.7%)    3 (0.8%)  core::slice::iter::ChunksExact<T>::new
    188 (1.6%)    4 (1.1%)  core::slice::iter::Iter<T>::new
    160 (1.4%)    3 (0.8%)  core::slice::iter::Iter<T>::post_inc_start
    150 (1.3%)    5 (1.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    145 (1.3%)    5 (1.4%)  core::ptr::metadata::from_raw_parts
    144 (1.2%)    1 (0.3%)  core::num::dec2flt::number::Number::try_fast_path
    142 (1.2%)    1 (0.3%)  half::bfloat::convert::bf16_to_f64
    142 (1.2%)    1 (0.3%)  half::binary16::convert::f16_to_f64_fallback
    140 (1.2%)    1 (0.3%)  half::binary16::convert::f16_to_f32_fallback
    135 (1.2%)    3 (0.8%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    122 (1.1%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    120 (1.0%)    4 (1.1%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    120 (1.0%)    3 (0.8%)  core::slice::<impl [T]>::chunks_exact
    120 (1.0%)    2 (0.6%)  core::result::Result<T,E>::map
    116 (1.0%)    4 (1.1%)  core::ptr::metadata::from_raw_parts_mut
    108 (0.9%)    4 (1.1%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    108 (0.9%)    4 (1.1%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    105 (0.9%)    6 (1.7%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    104 (0.9%)    4 (1.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    102 (0.9%)    3 (0.8%)  core::slice::<impl [T]>::split_at_unchecked
    101 (0.9%)    1 (0.3%)  <[half::bfloat::bf16] as half::slice::HalfFloatSliceExt>::convert_from_f32_slice
    101 (0.9%)    1 (0.3%)  <[half::bfloat::bf16] as half::slice::HalfFloatSliceExt>::convert_from_f64_slice
    100 (0.9%)    1 (0.3%)  <[half::bfloat::bf16] as half::slice::HalfFloatSliceExt>::convert_to_f32_slice
