  Lines         Copies       Function name
  -----         ------       -------------
  33854 (100%)  1116 (100%)  (TOTAL)
   1195 (3.5%)     1 (0.1%)  base64::decode::decode_helper
   1184 (3.5%)     6 (0.5%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::try_fold
   1107 (3.3%)     1 (0.1%)  base64::encode::encode_to_slice
   1012 (3.0%)    10 (0.9%)  core::iter::traits::iterator::Iterator::try_fold
    897 (2.6%)    18 (1.6%)  core::option::Option<T>::map
    704 (2.1%)    10 (0.9%)  core::iter::adapters::map::map_try_fold::{{closure}}
    581 (1.7%)    11 (1.0%)  core::result::Result<T,E>::map_err
    571 (1.7%)    10 (0.9%)  core::result::Result<T,E>::map
    559 (1.7%)     6 (0.5%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::try_fold::flatten::{{closure}}
    522 (1.5%)     1 (0.1%)  <headers::common::cache_control::Flags as core::fmt::Debug>::fmt
    470 (1.4%)     6 (0.5%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::try_fold
    461 (1.4%)     1 (0.1%)  base64::decode::decode_chunk
    456 (1.3%)     1 (0.1%)  <headers::common::cache_control::KnownDirective as core::str::traits::FromStr>::from_str
    408 (1.2%)    10 (0.9%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
    388 (1.1%)     3 (0.3%)  headers::common::strict_transport_security::from_str::{{closure}}
    356 (1.1%)     2 (0.2%)  headers::util::entity::EntityTag<T>::parse
    344 (1.0%)     1 (0.1%)  headers::common::origin::OriginOrNull::try_from_value
    340 (1.0%)     1 (0.1%)  <headers::common::cache_control::Fmt as core::fmt::Display>::fmt
    325 (1.0%)     4 (0.4%)  core::iter::traits::iterator::Iterator::fold
    318 (0.9%)     8 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    318 (0.9%)     8 (0.7%)  core::result::Result<T,E>::ok
    298 (0.9%)     4 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    293 (0.9%)    29 (2.6%)  <&T as core::fmt::Debug>::fmt
    261 (0.8%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    249 (0.7%)     1 (0.1%)  <headers::common::authorization::Basic as headers::common::authorization::Credentials>::decode
    236 (0.7%)     7 (0.6%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    227 (0.7%)     5 (0.4%)  core::result::Result<T,E>::expect
    212 (0.6%)     2 (0.2%)  http::header::value::HeaderValue::try_from_generic
    208 (0.6%)     1 (0.1%)  headers::util::csv::fmt_comma_delimited
    205 (0.6%)    16 (1.4%)  core::ops::function::FnOnce::call_once
    198 (0.6%)     4 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    185 (0.5%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::fold
    182 (0.5%)     2 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
    182 (0.5%)     1 (0.1%)  <<headers::common::content_range::ContentRange as headers_core::Header>::encode::Adapter as core::fmt::Display>::fmt
    178 (0.5%)    10 (0.9%)  core::iter::adapters::map::map_try_fold
    176 (0.5%)     4 (0.4%)  core::option::Option<T>::ok_or_else
    176 (0.5%)     2 (0.2%)  core::str::iter::SplitInternal<P>::get_end
    173 (0.5%)     1 (0.1%)  base64::chunked_encoder::ChunkedEncoder::encode
    172 (0.5%)     2 (0.2%)  core::str::iter::SplitInternal<P>::next
    160 (0.5%)     8 (0.7%)  core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut
    160 (0.5%)     1 (0.1%)  <headers::common::cache_control::Directive as core::fmt::Display>::fmt
    154 (0.5%)     2 (0.2%)  headers::util::entity::EntityTag<T>::tag
    151 (0.4%)     8 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    144 (0.4%)     3 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    140 (0.4%)     1 (0.1%)  base64::decode::decode_config_buf
    138 (0.4%)    14 (1.3%)  <T as core::convert::Into<U>>::into
    138 (0.4%)     2 (0.2%)  core::result::Result<T,E>::unwrap_or
    133 (0.4%)     6 (0.5%)  <headers::common::cache_control::Fmt as core::fmt::Display>::fmt::{{closure}}
    126 (0.4%)     2 (0.2%)  headers::util::entity::EntityTagRange::matches_if
    120 (0.4%)     8 (0.7%)  core::iter::adapters::map::Map<I,F>::new
    116 (0.3%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    114 (0.3%)     6 (0.5%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::try_fold::flatten
    113 (0.3%)     1 (0.1%)  <headers::common::access_control_allow_origin::AccessControlAllowOrigin as core::convert::TryFrom<&str>>::try_from
    112 (0.3%)     8 (0.7%)  core::iter::adapters::filter_map::FilterMap<I,F>::new
    111 (0.3%)     1 (0.1%)  headers::common::cookie::Cookie::iter::{{closure}}
    110 (0.3%)     2 (0.2%)  core::str::<impl str>::split
    109 (0.3%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::ReverseSearcher>::next_back
    109 (0.3%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next
    109 (0.3%)     1 (0.1%)  base64::decode::decode_chunk_precise
    108 (0.3%)     2 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    102 (0.3%)     2 (0.2%)  core::mem::replace
