  Lines          Copies       Function name
  -----          ------       -------------
  106126 (100%)  3979 (100%)  (TOTAL)
    2282 (2.2%)    14 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2030 (1.9%)    14 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1340 (1.3%)    24 (0.6%)  alloc::alloc::box_free
    1307 (1.2%)    17 (0.4%)  alloc::sync::Arc<T>::new
    1284 (1.2%)    21 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1224 (1.2%)    17 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1170 (1.1%)    24 (0.6%)  core::option::Option<T>::map
    1144 (1.1%)    10 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     963 (0.9%)    21 (0.5%)  alloc::sync::Weak<T>::inner
     957 (0.9%)    11 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     952 (0.9%)    17 (0.4%)  core::alloc::layout::Layout::array
     891 (0.8%)     2 (0.1%)  alloc::slice::merge_sort
     869 (0.8%)    19 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     847 (0.8%)    13 (0.3%)  core::result::Result<T,E>::map_err
     812 (0.8%)    28 (0.7%)  core::ptr::metadata::from_raw_parts_mut
     758 (0.7%)     1 (0.0%)  ignore::dir::Ignore::add_child_path
     666 (0.6%)    18 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     658 (0.6%)     1 (0.0%)  ignore::dir::resolve_git_commondir
     639 (0.6%)    10 (0.3%)  alloc::vec::Vec<T,A>::push
     635 (0.6%)     1 (0.0%)  ignore::dir::Ignore::add_parents
     626 (0.6%)    56 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
     618 (0.6%)    21 (0.5%)  core::alloc::layout::Layout::for_value_raw
     609 (0.6%)     1 (0.0%)  ignore::dir::Ignore::matched_ignore
     564 (0.5%)    11 (0.3%)  core::result::Result<T,E>::unwrap
     556 (0.5%)     1 (0.0%)  ignore::gitignore::GitignoreBuilder::add_line
     553 (0.5%)     1 (0.0%)  ignore::walk::WalkParallel::visit
     541 (0.5%)     1 (0.0%)  ignore::walk::Worker::generate_work
     540 (0.5%)    10 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
