  Lines         Copies       Function name
  -----         ------       -------------
  40119 (100%)  1381 (100%)  (TOTAL)
   1425 (3.6%)     3 (0.2%)  <console::utils::StyledObject<D> as core::fmt::Display>::fmt
   1003 (2.5%)     1 (0.1%)  indicatif::style::Template::from_str
    950 (2.4%)     1 (0.1%)  indicatif::style::ProgressStyle::format_state
    796 (2.0%)    12 (0.9%)  indicatif::state::ProgressState::update
    548 (1.4%)     1 (0.1%)  indicatif::draw_target::ProgressDrawTarget::apply_draw_state
    489 (1.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    450 (1.1%)     4 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    444 (1.1%)     9 (0.7%)  core::option::Option<T>::map
    435 (1.1%)    15 (1.1%)  core::fmt::ArgumentV1::new
    418 (1.0%)     1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    404 (1.0%)     8 (0.6%)  indicatif::progress_bar::ProgressBar::update_and_draw
    342 (0.9%)     1 (0.1%)  std::thread::Builder::spawn_unchecked_
    331 (0.8%)     4 (0.3%)  core::iter::traits::iterator::Iterator::fold
    330 (0.8%)     6 (0.4%)  alloc::alloc::box_free
    316 (0.8%)     1 (0.1%)  indicatif::progress_bar::MultiProgress::push
    309 (0.8%)     1 (0.1%)  indicatif::draw_target::MultiProgressState::draw
    303 (0.8%)     3 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
    284 (0.7%)     1 (0.1%)  <indicatif::format::HumanDuration as core::fmt::Display>::fmt
    270 (0.7%)     5 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    261 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    258 (0.6%)     1 (0.1%)  indicatif::draw_target::clear_last_lines
    248 (0.6%)     3 (0.2%)  std::sync::poison::map_result
    245 (0.6%)     5 (0.4%)  core::result::Result<T,E>::unwrap
    240 (0.6%)     5 (0.4%)  core::slice::iter::Iter<T>::new
    240 (0.6%)     4 (0.3%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    235 (0.6%)     1 (0.1%)  <indicatif::style::PaddedStringDisplay as core::fmt::Display>::fmt
    234 (0.6%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    230 (0.6%)     5 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    229 (0.6%)     5 (0.4%)  core::mem::replace
    229 (0.6%)     1 (0.1%)  indicatif::draw_target::ProgressDrawState::draw_to_term
    228 (0.6%)     5 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    228 (0.6%)     3 (0.2%)  alloc::sync::Arc<T>::new
    225 (0.6%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    223 (0.6%)    22 (1.6%)  <&T as core::fmt::Debug>::fmt
    216 (0.5%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    204 (0.5%)     5 (0.4%)  core::option::Option<T>::unwrap_or_else
    201 (0.5%)     3 (0.2%)  core::fmt::builders::DebugList::entries
    199 (0.5%)     4 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    194 (0.5%)     1 (0.1%)  core::sync::atomic::atomic_compare_exchange_weak
    192 (0.5%)     2 (0.1%)  alloc::vec::Vec<T,A>::retain_mut::process_loop
    191 (0.5%)     2 (0.1%)  std::thread::Builder::spawn_unchecked_::{{closure}}
    191 (0.5%)     1 (0.1%)  indicatif::progress_bar::ProgressBar::steady_tick
    190 (0.5%)     3 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    189 (0.5%)     1 (0.1%)  indicatif::style::WideElement::expand
    177 (0.4%)     1 (0.1%)  indicatif::style::ProgressStyle::format_bar
    176 (0.4%)     4 (0.3%)  alloc::sync::Weak<T>::inner
    172 (0.4%)     8 (0.6%)  indicatif::state::ProgressState::update_and_draw
    172 (0.4%)     2 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    168 (0.4%)     3 (0.2%)  core::alloc::layout::Layout::array
    157 (0.4%)     3 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    155 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    150 (0.4%)     7 (0.5%)  core::ops::function::FnOnce::call_once
    147 (0.4%)     1 (0.1%)  alloc::str::<impl str>::replace
    145 (0.4%)     1 (0.1%)  <indicatif::format::HumanCount as core::fmt::Display>::fmt
    145 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    140 (0.3%)     1 (0.1%)  <indicatif::style::BarDisplay as core::fmt::Display>::fmt
    139 (0.3%)     3 (0.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    134 (0.3%)     1 (0.1%)  <indicatif::style::TemplatePart as core::fmt::Debug>::fmt
    131 (0.3%)     1 (0.1%)  <indicatif::format::FormattedDuration as core::fmt::Display>::fmt
    130 (0.3%)     1 (0.1%)  indicatif::progress_bar::MultiProgress::clear
    128 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::push
    126 (0.3%)     6 (0.4%)  core::iter::adapters::map::Map<I,F>::new
    126 (0.3%)     3 (0.2%)  core::option::Option<T>::unwrap_or
    125 (0.3%)     1 (0.1%)  indicatif::state::ProgressState::new
    121 (0.3%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::find
    121 (0.3%)     1 (0.1%)  indicatif::progress_bar::ProgressBar::enable_steady_tick
    119 (0.3%)     2 (0.1%)  indicatif::draw_target::ProgressDrawTarget::term
    118 (0.3%)     1 (0.1%)  <std::sync::rwlock::RwLock<T> as core::fmt::Debug>::fmt
    116 (0.3%)     4 (0.3%)  core::alloc::layout::Layout::for_value_raw
    116 (0.3%)     4 (0.3%)  core::ptr::metadata::from_raw_parts
    116 (0.3%)     1 (0.1%)  indicatif::style::ProgressStyle::new
