  Lines         Copies      Function name
  -----         ------      -------------
  22285 (100%)  415 (100%)  (TOTAL)
   9611 (43.1%)   1 (0.2%)  inflate::InflateStream::next_state
    706 (3.2%)    3 (0.7%)  inflate::DynHuffman16::new::{{closure}}
    422 (1.9%)    1 (0.2%)  inflate::CodeLengthReader::new
    416 (1.9%)    1 (0.2%)  inflate::DynHuffman16::new
    384 (1.7%)    1 (0.2%)  inflate::InflateStream::run_len_dist
    361 (1.6%)    1 (0.2%)  inflate::CodeLengthReader::read
    333 (1.5%)    1 (0.2%)  inflate::DynHuffman16::read
    326 (1.5%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    322 (1.4%)    7 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    234 (1.1%)    1 (0.2%)  inflate::InflateStream::update
    212 (1.0%)    4 (1.0%)  alloc::alloc::box_free
    196 (0.9%)    4 (1.0%)  core::option::Option<T>::ok_or_else
    193 (0.9%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    182 (0.8%)    4 (1.0%)  core::mem::replace
    179 (0.8%)    3 (0.7%)  core::result::Result<T,E>::map_err
    160 (0.7%)    1 (0.2%)  inflate::CodeLengthReader::to_lit_and_dist
    155 (0.7%)    4 (1.0%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    152 (0.7%)    6 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    152 (0.7%)    1 (0.2%)  alloc::raw_vec::finish_grow
    145 (0.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (0.6%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    140 (0.6%)    1 (0.2%)  inflate::utils::inflate
    127 (0.6%)    3 (0.7%)  core::option::Option<T>::ok_or
    125 (0.6%)    2 (0.5%)  alloc::vec::Vec<T,A>::push
    123 (0.6%)    3 (0.7%)  inflate::CodeLengthReader::new::{{closure}}
    121 (0.5%)    5 (1.2%)  alloc::boxed::Box<T>::new
    112 (0.5%)    2 (0.5%)  core::alloc::layout::Layout::array
    110 (0.5%)    3 (0.7%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    103 (0.5%)    1 (0.2%)  inflate::InflateStream::new
     97 (0.4%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.4%)    1 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     85 (0.4%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     78 (0.4%)    1 (0.2%)  inflate::BitStream::take16
     77 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<[inflate::Trie8bit<u16>]>
     76 (0.3%)    1 (0.2%)  inflate::BitStream::trailing_bytes
     74 (0.3%)    2 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     74 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<[core::option::Option<alloc::boxed::Box<[u16; 16]>>; 16]>
     73 (0.3%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     72 (0.3%)    1 (0.2%)  inflate::BitStream::use_byte
     70 (0.3%)    1 (0.2%)  core::cmp::max_by
     70 (0.3%)    1 (0.2%)  core::cmp::min_by
     69 (0.3%)    1 (0.2%)  inflate::InflateStream::reset
     68 (0.3%)    4 (1.0%)  core::ptr::read
     67 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     67 (0.3%)    1 (0.2%)  inflate::writer::update
     60 (0.3%)    1 (0.2%)  inflate::InflateStream::from_zlib
     60 (0.3%)    1 (0.2%)  inflate::InflateStream::from_zlib_no_checksum
     59 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
     58 (0.3%)    2 (0.5%)  core::fmt::ArgumentV1::new
     58 (0.3%)    2 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     56 (0.3%)    1 (0.2%)  inflate::InflateStream::with_state_and_buffer
     53 (0.2%)    6 (1.4%)  core::ptr::unique::Unique<T>::cast
     52 (0.2%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
