  Lines        Copies     Function name
  -----        ------     -------------
  2021 (100%)  94 (100%)  (TOTAL)
   127 (6.3%)   1 (1.1%)  core::slice::index::range
   126 (6.2%)   1 (1.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    90 (4.5%)   1 (1.1%)  alloc::vec::Vec<T,A>::drain
    74 (3.7%)   1 (1.1%)  core::iter::traits::iterator::Iterator::fold
    72 (3.6%)   2 (2.1%)  core::option::Option<T>::unwrap_or_else
    67 (3.3%)   1 (1.1%)  <<alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    66 (3.3%)   1 (1.1%)  core::fmt::builders::DebugList::entries
    60 (3.0%)   6 (6.4%)  <&T as core::fmt::Debug>::fmt
    59 (2.9%)   1 (1.1%)  core::fmt::Arguments::new_v1
    55 (2.7%)   1 (1.1%)  core::mem::replace
    55 (2.7%)   1 (1.1%)  input_buffer::DoRead::with_limit
    52 (2.6%)   1 (1.1%)  input_buffer::InputBuffer::prepare_reserve
    50 (2.5%)   1 (1.1%)  <std::io::cursor::Cursor<T> as bytes::buf::buf_impl::Buf>::chunk
    48 (2.4%)   1 (1.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    48 (2.4%)   1 (1.1%)  core::option::Option<T>::map
    47 (2.3%)   1 (1.1%)  <input_buffer::DoRead as core::fmt::Debug>::fmt
    43 (2.1%)   1 (1.1%)  core::num::<impl usize>::checked_add
    43 (2.1%)   1 (1.1%)  core::num::<impl usize>::overflowing_add
    38 (1.9%)   1 (1.1%)  <std::io::cursor::Cursor<T> as core::fmt::Debug>::fmt
    35 (1.7%)   1 (1.1%)  core::iter::traits::iterator::Iterator::count::{{closure}}
    35 (1.7%)   1 (1.1%)  core::ptr::const_ptr::<impl *const T>::offset_from
    35 (1.7%)   1 (1.1%)  input_buffer::InputBuffer::into_vec
    33 (1.6%)   1 (1.1%)  <std::io::cursor::Cursor<T> as bytes::buf::buf_impl::Buf>::remaining
    32 (1.6%)   1 (1.1%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    32 (1.6%)   1 (1.1%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    31 (1.5%)   1 (1.1%)  <std::io::cursor::Cursor<T> as bytes::buf::buf_impl::Buf>::advance
    30 (1.5%)   1 (1.1%)  input_buffer::InputBuffer::remove_garbage
    26 (1.3%)   1 (1.1%)  <[T] as core::fmt::Debug>::fmt
    24 (1.2%)   1 (1.1%)  <input_buffer::InputBuffer as core::fmt::Debug>::fmt
    24 (1.2%)   1 (1.1%)  core::ptr::read
    20 (1.0%)   1 (1.1%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index
