  Lines         Copies       Function name
  -----         ------       -------------
  53252 (100%)  2535 (100%)  (TOTAL)
   1450 (2.7%)    10 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    648 (1.2%)     9 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    592 (1.1%)    16 (0.6%)  wasm_bindgen::convert::closures::<impl wasm_bindgen::convert::traits::IntoWasmAbi for &mut dyn core::ops::function::FnMut<(A,B,C)>+Output = R>::into_abi
    560 (1.1%)    10 (0.4%)  core::alloc::layout::Layout::array
    437 (0.8%)    21 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    333 (0.6%)     9 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    330 (0.6%)    10 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    291 (0.5%)     1 (0.0%)  js_sys::try_iter
    261 (0.5%)     9 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    237 (0.4%)     1 (0.0%)  <core::char::decode::DecodeUtf16<I> as core::iter::traits::iterator::Iterator>::next
    215 (0.4%)     4 (0.2%)  core::mem::replace
    207 (0.4%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    205 (0.4%)     3 (0.1%)  alloc::alloc::box_free
    203 (0.4%)     5 (0.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    201 (0.4%)     1 (0.0%)  js_sys::global::get_global_object
    180 (0.3%)     1 (0.0%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    170 (0.3%)    10 (0.4%)  alloc::vec::Vec<T,A>::with_capacity_in
    167 (0.3%)     1 (0.0%)  js_sys::JsString::raw_7
    165 (0.3%)     3 (0.1%)  core::result::Result<T,E>::or_else
    163 (0.3%)     1 (0.0%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    162 (0.3%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    160 (0.3%)    10 (0.4%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
    156 (0.3%)     3 (0.1%)  wasm_bindgen::convert::impls::<impl wasm_bindgen::convert::traits::FromWasmAbi for core::option::Option<T>>::from_abi
    151 (0.3%)     1 (0.0%)  js_sys::JsString::raw_6
    144 (0.3%)     9 (0.4%)  core::slice::<impl [T]>::len
    141 (0.3%)     1 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink
    140 (0.3%)    10 (0.4%)  core::ptr::non_null::NonNull<T>::cast
    135 (0.3%)     9 (0.4%)  alloc::vec::Vec<T,A>::as_mut_ptr
    135 (0.3%)     9 (0.4%)  core::ptr::slice_from_raw_parts_mut
    135 (0.3%)     1 (0.0%)  js_sys::JsString::raw_5
    128 (0.2%)     6 (0.2%)  core::ptr::read
    122 (0.2%)    12 (0.5%)  core::ptr::unique::Unique<T>::cast
    119 (0.2%)     9 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    119 (0.2%)     1 (0.0%)  js_sys::JsString::raw_4
    108 (0.2%)     2 (0.1%)  wasm_bindgen::cast::JsCast::dyn_into
    103 (0.2%)    11 (0.4%)  core::ptr::unique::Unique<T>::new_unchecked
    103 (0.2%)     1 (0.0%)  core::iter::traits::iterator::Iterator::try_fold
    103 (0.2%)     1 (0.0%)  js_sys::IterState::next
    103 (0.2%)     1 (0.0%)  js_sys::JsString::raw_3
     97 (0.2%)     1 (0.0%)  alloc::alloc::Global::alloc_impl
     93 (0.2%)     3 (0.1%)  js_sys::global::get_global_object::{{closure}}
     91 (0.2%)     3 (0.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     91 (0.2%)     1 (0.0%)  js_sys::JsString::as_char
     87 (0.2%)     1 (0.0%)  js_sys::Function::call3
     87 (0.2%)     1 (0.0%)  js_sys::JsString::from_code_point5
     87 (0.2%)     1 (0.0%)  js_sys::JsString::raw_2
     85 (0.2%)     5 (0.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
     85 (0.2%)     1 (0.0%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     84 (0.2%)     2 (0.1%)  alloc::boxed::Box<T,A>::from_raw_in
     83 (0.2%)     1 (0.0%)  <core::ops::range::Range<Idx> as core::fmt::Debug>::fmt
     81 (0.2%)     9 (0.4%)  alloc::vec::Vec<T,A>::set_len
     80 (0.2%)     1 (0.0%)  js_sys::BigInt64Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::BigUint64Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Float32Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Float64Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Int16Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Int32Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Int8Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Reflect::set_with_receiver
     80 (0.2%)     1 (0.0%)  js_sys::Uint16Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Uint32Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Uint8Array::raw_copy_to_ptr
     80 (0.2%)     1 (0.0%)  js_sys::Uint8ClampedArray::raw_copy_to_ptr
     79 (0.1%)     1 (0.0%)  js_sys::Atomics::compare_exchange
     79 (0.1%)     1 (0.0%)  js_sys::Atomics::wait_with_timeout
     79 (0.1%)     1 (0.0%)  js_sys::Function::call2
     79 (0.1%)     1 (0.0%)  js_sys::JsString::from_code_point4
     77 (0.1%)     1 (0.0%)  core::ptr::drop_in_place<[js_sys::BigInt]>
     77 (0.1%)     1 (0.0%)  core::ptr::drop_in_place<[wasm_bindgen::JsValue]>
     76 (0.1%)     1 (0.0%)  alloc::vec::Vec<T,A>::into_boxed_slice
     76 (0.1%)     1 (0.0%)  js_sys::BigInt::checked_div
     74 (0.1%)     2 (0.1%)  wasm_bindgen::convert::closures::<impl wasm_bindgen::convert::traits::IntoWasmAbi for &mut dyn core::ops::function::FnMut<(A,B)>+Output = R>::into_abi
     74 (0.1%)     1 (0.0%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     73 (0.1%)     1 (0.0%)  std::thread::local::LocalKey<T>::try_with
     72 (0.1%)     9 (0.4%)  alloc::raw_vec::RawVec<T,A>::ptr
     72 (0.1%)     9 (0.4%)  core::slice::<impl [T]>::as_mut_ptr
     72 (0.1%)     9 (0.4%)  core::slice::<impl [T]>::as_ptr
     72 (0.1%)     3 (0.1%)  alloc::boxed::Box<T,A>::leak
     72 (0.1%)     1 (0.0%)  js_sys::BigInt64Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::BigUint64Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Float32Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Float64Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Int16Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Int32Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Int8Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Reflect::define_property
     72 (0.1%)     1 (0.0%)  js_sys::Reflect::set
     72 (0.1%)     1 (0.0%)  js_sys::Reflect::set_f64
     72 (0.1%)     1 (0.0%)  js_sys::Reflect::set_u32
     72 (0.1%)     1 (0.0%)  js_sys::Uint16Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Uint32Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Uint8Array::copy_from
     72 (0.1%)     1 (0.0%)  js_sys::Uint8ClampedArray::copy_from
     71 (0.1%)     8 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::add
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::and
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::exchange
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::notify_with_count
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::or
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::store
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::sub
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::wait
     71 (0.1%)     1 (0.0%)  js_sys::Atomics::xor
     71 (0.1%)     1 (0.0%)  js_sys::Function::apply
     71 (0.1%)     1 (0.0%)  js_sys::Function::call1
     71 (0.1%)     1 (0.0%)  js_sys::JSON::stringify_with_replacer_and_space
     71 (0.1%)     1 (0.0%)  js_sys::JsString::from_code_point3
     71 (0.1%)     1 (0.0%)  js_sys::JsString::raw_1
     71 (0.1%)     1 (0.0%)  js_sys::Reflect::apply
     71 (0.1%)     1 (0.0%)  js_sys::Reflect::construct_with_new_target
     70 (0.1%)     7 (0.3%)  <&T as core::fmt::Debug>::fmt
     69 (0.1%)    12 (0.5%)  core::ptr::unique::Unique<T>::as_ptr
     69 (0.1%)     6 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     69 (0.1%)     1 (0.0%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     68 (0.1%)     1 (0.0%)  js_sys::Array::to_vec
     65 (0.1%)     1 (0.0%)  js_sys::BigInt64Array::view
     65 (0.1%)     1 (0.0%)  js_sys::BigUint64Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Float32Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Float64Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Int16Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Int32Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Int8Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Uint16Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Uint32Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Uint8Array::view
     65 (0.1%)     1 (0.0%)  js_sys::Uint8ClampedArray::view
     65 (0.1%)     1 (0.0%)  js_sys::WebAssembly::Table::set
     64 (0.1%)     1 (0.0%)  js_sys::Date::new_with_year_month_day_hr_min_sec_milli
     64 (0.1%)     1 (0.0%)  js_sys::Reflect::delete_property
     64 (0.1%)     1 (0.0%)  js_sys::Reflect::has
     64 (0.1%)     1 (0.0%)  js_sys::Reflect::set_prototype_of
     63 (0.1%)     1 (0.0%)  alloc::vec::Vec<T,A>::push
     63 (0.1%)     1 (0.0%)  js_sys::Atomics::load
     63 (0.1%)     1 (0.0%)  js_sys::Atomics::notify
     63 (0.1%)     1 (0.0%)  js_sys::BigInt64Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::BigInt::to_string
     63 (0.1%)     1 (0.0%)  js_sys::BigUint64Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::Float32Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::Float64Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::Function::call0
     63 (0.1%)     1 (0.0%)  js_sys::Generator::next
     63 (0.1%)     1 (0.0%)  js_sys::Generator::throw
     63 (0.1%)     1 (0.0%)  js_sys::Int16Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::Int32Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::Int8Array::view_mut_raw
     63 (0.1%)     1 (0.0%)  js_sys::JSON::parse
     63 (0.1%)     1 (0.0%)  js_sys::JSON::stringify_with_replacer
     63 (0.1%)     1 (0.0%)  js_sys::JsString::from_code_point
     63 (0.1%)     1 (0.0%)  js_sys::JsString::from_code_point2
     63 (0.1%)     1 (0.0%)  js_sys::JsString::raw
     63 (0.1%)     1 (0.0%)  js_sys::JsString::raw_7::__wbg_raw_1f8a28011c6d0c20
     63 (0.1%)     1 (0.0%)  js_sys::Number::to_exponential
     63 (0.1%)     1 (0.0%)  js_sys::Number::to_fixed
