  Lines         Copies      Function name
  -----         ------      -------------
  28744 (100%)  860 (100%)  (TOTAL)
   1158 (4.0%)   10 (1.2%)  core::slice::<impl [T]>::binary_search_by
   1038 (3.6%)   11 (1.3%)  core::iter::traits::iterator::Iterator::try_fold
    873 (3.0%)    1 (0.1%)  language_tags::parse_language_tag
    720 (2.5%)    2 (0.2%)  core::str::pattern::TwoWaySearcher::next
    600 (2.1%)    1 (0.1%)  core::slice::sort::partition_in_blocks
    591 (2.1%)    1 (0.1%)  language_tags::LanguageTag::canonicalize
    525 (1.8%)    5 (0.6%)  language_tags::find_in_from_str_slice_map
    366 (1.3%)    1 (0.1%)  language_tags::LanguageTag::validate
    326 (1.1%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    322 (1.1%)    7 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    308 (1.1%)    6 (0.7%)  core::slice::<impl [T]>::binary_search_by_key::{{closure}}
    307 (1.1%)    1 (0.1%)  core::slice::sort::recurse
    290 (1.0%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    270 (0.9%)    6 (0.7%)  core::slice::<impl [T]>::binary_search_by_key
    261 (0.9%)    4 (0.5%)  core::iter::traits::iterator::Iterator::fold
    261 (0.9%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    239 (0.8%)    1 (0.1%)  core::slice::sort::partition
    234 (0.8%)    2 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    229 (0.8%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    225 (0.8%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    224 (0.8%)    6 (0.7%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    218 (0.8%)    1 (0.1%)  core::slice::sort::partition_equal
    208 (0.7%)    1 (0.1%)  <language_tags::ExtensionsIterator as core::iter::traits::iterator::Iterator>::next
    206 (0.7%)    1 (0.1%)  core::slice::sort::shift_tail
    195 (0.7%)    3 (0.3%)  language_tags::is_in_from_str_slice_set
    193 (0.7%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (0.7%)   12 (1.4%)  core::slice::<impl [T]>::len
    179 (0.6%)    3 (0.3%)  core::result::Result<T,E>::map_err
    177 (0.6%)    3 (0.3%)  core::slice::sort::choose_pivot::{{closure}}
    169 (0.6%)    3 (0.3%)  <alloc::string::String as core::iter::traits::collect::Extend<char>>::extend
    168 (0.6%)   12 (1.4%)  <usize as core::slice::index::SliceIndex<[T]>>::get_unchecked
    165 (0.6%)    1 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::size_hint
    164 (0.6%)    6 (0.7%)  core::iter::traits::iterator::Iterator::all::check::{{closure}}
    158 (0.5%)    5 (0.6%)  core::iter::traits::iterator::Iterator::any::check::{{closure}}
    157 (0.5%)    1 (0.1%)  core::slice::sort::shift_head
    152 (0.5%)    6 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    152 (0.5%)    1 (0.1%)  alloc::raw_vec::finish_grow
    148 (0.5%)    1 (0.1%)  core::slice::sort::heapsort
    148 (0.5%)    1 (0.1%)  core::slice::sort::heapsort::{{closure}}
    147 (0.5%)    1 (0.1%)  core::slice::sort::choose_pivot
    146 (0.5%)    2 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::try_fold::enumerate::{{closure}}
    144 (0.5%)   12 (1.4%)  core::ptr::const_ptr::<impl *const T>::offset
    144 (0.5%)   12 (1.4%)  core::slice::<impl [T]>::get_unchecked
    144 (0.5%)    3 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    144 (0.5%)    3 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    144 (0.5%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    143 (0.5%)    1 (0.1%)  core::slice::sort::partial_insertion_sort
    141 (0.5%)    3 (0.3%)  core::result::Result<T,E>::ok
    133 (0.5%)    1 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    127 (0.4%)    3 (0.3%)  core::option::Option<T>::ok_or
    127 (0.4%)    1 (0.1%)  core::slice::<impl [T]>::reverse::revswap
    123 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    119 (0.4%)    1 (0.1%)  core::slice::sort::break_patterns
    119 (0.4%)    1 (0.1%)  language_tags::LanguageTag::parse
    117 (0.4%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    114 (0.4%)    3 (0.3%)  language_tags::LanguageTag::validate::{{closure}}
    113 (0.4%)    1 (0.1%)  core::str::validations::next_code_point
    112 (0.4%)    2 (0.2%)  core::alloc::layout::Layout::array
    111 (0.4%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    110 (0.4%)    3 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    110 (0.4%)    1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    108 (0.4%)   12 (1.4%)  core::ptr::const_ptr::<impl *const T>::add
    105 (0.4%)    2 (0.2%)  language_tags::tag_from_primary_language
    104 (0.4%)    2 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    104 (0.4%)    1 (0.1%)  core::option::Option<T>::filter
    103 (0.4%)    1 (0.1%)  <language_tags::parse_language_tag::State as core::cmp::PartialEq>::eq
     99 (0.3%)    2 (0.2%)  core::option::Option<T>::map
     97 (0.3%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.3%)   12 (1.4%)  core::ptr::const_ptr::<impl *const [T]>::as_ptr
     96 (0.3%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     93 (0.3%)    2 (0.2%)  core::slice::iter::Iter<T>::new
     90 (0.3%)    6 (0.7%)  core::iter::traits::iterator::Iterator::all
     90 (0.3%)    2 (0.2%)  core::mem::replace
     89 (0.3%)    2 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
     89 (0.3%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     89 (0.3%)    2 (0.2%)  core::option::Option<T>::unwrap_or
     88 (0.3%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     86 (0.3%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     85 (0.3%)    5 (0.6%)  core::iter::traits::iterator::Iterator::any
     85 (0.3%)    1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     83 (0.3%)    1 (0.1%)  <language_tags::LanguageTag as core::fmt::Debug>::fmt
     82 (0.3%)    5 (0.6%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     82 (0.3%)    2 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::try_fold
     81 (0.3%)    1 (0.1%)  language_tags::LanguageTag::matches::matches_option
     80 (0.3%)    4 (0.5%)  core::slice::<impl [T]>::binary_search
     78 (0.3%)    1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     78 (0.3%)    1 (0.1%)  <language_tags::SubTagIterator as core::iter::traits::iterator::Iterator>::next
     78 (0.3%)    1 (0.1%)  language_tags::LanguageTag::matches
     75 (0.3%)    1 (0.1%)  <language_tags::LanguageTag as core::clone::Clone>::clone
     74 (0.3%)    2 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     70 (0.2%)    5 (0.6%)  language_tags::find_in_from_str_slice_map::{{closure}}
     70 (0.2%)    1 (0.1%)  core::cmp::max_by
     70 (0.2%)    1 (0.1%)  core::cmp::min_by
     69 (0.2%)    9 (1.0%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     69 (0.2%)    1 (0.1%)  <language_tags::ValidationError as core::fmt::Display>::fmt
     68 (0.2%)    4 (0.5%)  core::ptr::read
     68 (0.2%)    1 (0.1%)  core::slice::<impl [T]>::reverse
     67 (0.2%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     66 (0.2%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     66 (0.2%)    1 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     66 (0.2%)    1 (0.1%)  language_tags::AlphanumericLowerCharSet::contains
     65 (0.2%)    1 (0.1%)  <language_tags::iana_registry::LanguageSubtag as core::str::traits::FromStr>::from_str
     65 (0.2%)    1 (0.1%)  <language_tags::iana_registry::RegionSubtag as core::str::traits::FromStr>::from_str
     63 (0.2%)    3 (0.3%)  core::iter::adapters::map::Map<I,F>::new
     63 (0.2%)    1 (0.1%)  language_tags::LanguageTag::private_use
     62 (0.2%)    2 (0.2%)  core::slice::sort::partition_in_blocks::width
     62 (0.2%)    1 (0.1%)  core::slice::sort::insertion_sort
     61 (0.2%)    1 (0.1%)  alloc::vec::Vec<T,A>::push
     61 (0.2%)    1 (0.1%)  core::iter::adapters::zip::zip
     60 (0.2%)    2 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     59 (0.2%)    1 (0.1%)  <language_tags::ParseError as core::fmt::Display>::fmt
     59 (0.2%)    1 (0.1%)  core::fmt::Arguments::new_v1
     58 (0.2%)    2 (0.2%)  core::fmt::ArgumentV1::new
     58 (0.2%)    2 (0.2%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.2%)    1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     58 (0.2%)    1 (0.1%)  <language_tags::ValidationError as core::fmt::Debug>::fmt
     58 (0.2%)    1 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
     58 (0.2%)    1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     57 (0.2%)    4 (0.5%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
     57 (0.2%)    1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
