  Lines         Copies      Function name
  -----         ------      -------------
  19613 (100%)  709 (100%)  (TOTAL)
    784 (4.0%)   17 (2.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    652 (3.3%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    580 (3.0%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    393 (2.0%)    4 (0.6%)  core::iter::traits::iterator::Iterator::try_fold
    381 (1.9%)   15 (2.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    375 (1.9%)    3 (0.4%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
    373 (1.9%)    3 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    292 (1.5%)    3 (0.4%)  alloc::vec::Vec<T,A>::extend_desugared
    289 (1.5%)    5 (0.7%)  core::result::Result<T,E>::map
    261 (1.3%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    258 (1.3%)    4 (0.6%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
    251 (1.3%)    6 (0.8%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    243 (1.2%)    4 (0.6%)  core::result::Result<T,E>::map_err
    229 (1.2%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    224 (1.1%)    4 (0.6%)  core::alloc::layout::Layout::array
    216 (1.1%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    215 (1.1%)    3 (0.4%)  core::iter::adapters::process_results
    193 (1.0%)    3 (0.4%)  alloc::alloc::box_free
    193 (1.0%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    188 (1.0%)    1 (0.1%)  migrations_internals::migration::run_sql_from_file
    186 (0.9%)    2 (0.3%)  migrations_internals::migration::file_names::{{closure}}
    177 (0.9%)    1 (0.1%)  migrations_internals::migration_with_version
    167 (0.9%)    3 (0.4%)  core::option::Option<T>::map
    158 (0.8%)    3 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    152 (0.8%)    3 (0.4%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::size_hint
    152 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    149 (0.8%)    1 (0.1%)  migrations_internals::migration::migration_from
    144 (0.7%)    3 (0.4%)  core::option::Option<T>::ok_or
    144 (0.7%)    1 (0.1%)  alloc::str::<impl str>::replace
    141 (0.7%)    3 (0.4%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold
    141 (0.7%)    3 (0.4%)  core::slice::iter::Iter<T>::new
    139 (0.7%)    3 (0.4%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
    137 (0.7%)    1 (0.1%)  migrations_internals::migration_paths_in_directory::{{closure}}
    135 (0.7%)    3 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    132 (0.7%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    127 (0.6%)    6 (0.8%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::FromResidual>::from_residual
    123 (0.6%)    3 (0.4%)  core::ops::control_flow::ControlFlow<B,C>::break_value
    120 (0.6%)    2 (0.3%)  core::option::Option<T>::and_then
    120 (0.6%)    1 (0.1%)  <migrations_internals::migration::MigrationFileName as core::fmt::Display>::fmt
    119 (0.6%)    2 (0.3%)  core::iter::adapters::map::map_try_fold::{{closure}}
    117 (0.6%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    116 (0.6%)    4 (0.6%)  core::fmt::ArgumentV1::new
    111 (0.6%)    3 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    104 (0.5%)    1 (0.1%)  <migrations_internals::migration::MigrationName as core::fmt::Display>::fmt
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     92 (0.5%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     92 (0.5%)    1 (0.1%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
     91 (0.5%)    2 (0.3%)  core::option::Option<T>::unwrap_or
     91 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
     88 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.4%)    3 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     87 (0.4%)    2 (0.3%)  core::option::Option<T>::unwrap_or_else
     86 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     84 (0.4%)    1 (0.1%)  core::iter::adapters::filter::filter_try_fold::{{closure}}
     83 (0.4%)    3 (0.4%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::into_try
     81 (0.4%)    2 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     78 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
