  Lines         Copies      Function name
  -----         ------      -------------
  36726 (100%)  836 (100%)  (TOTAL)
   2313 (6.3%)    1 (0.1%)  miniz_oxide::inflate::core::decompress
   1535 (4.2%)   11 (1.3%)  miniz_oxide::inflate::core::read_bits
   1322 (3.6%)   18 (2.2%)  miniz_oxide::inflate::core::read_byte
   1195 (3.3%)    1 (0.1%)  miniz_oxide::deflate::core::compress_normal
   1186 (3.2%)    1 (0.1%)  miniz_oxide::deflate::core::compress_fast
   1080 (2.9%)    3 (0.4%)  miniz_oxide::inflate::core::decode_huffman_code
    891 (2.4%)   18 (2.2%)  miniz_oxide::inflate::core::decompress::{{closure}}
    697 (1.9%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::start_dynamic_block
    665 (1.8%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::optimize_table
    653 (1.8%)    1 (0.1%)  miniz_oxide::inflate::core::init_tree
    616 (1.7%)   11 (1.3%)  miniz_oxide::inflate::core::read_bits::{{closure}}
    606 (1.7%)    1 (0.1%)  miniz_oxide::inflate::core::decompress_fast
    573 (1.6%)    1 (0.1%)  miniz_oxide::deflate::core::flush_block
    542 (1.5%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::calculate_minimum_redundancy
    542 (1.5%)    1 (0.1%)  miniz_oxide::deflate::core::compress_lz_codes
    450 (1.2%)   11 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    411 (1.1%)    1 (0.1%)  miniz_oxide::deflate::core::compress_inner
    388 (1.1%)    1 (0.1%)  miniz_oxide::deflate::core::DictOxide::find_match
    384 (1.0%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    360 (1.0%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::radix_sort_symbols
    331 (0.9%)    1 (0.1%)  miniz_oxide::inflate::core::transfer
    327 (0.9%)    3 (0.4%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    324 (0.9%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    318 (0.9%)    1 (0.1%)  miniz_oxide::inflate::stream::inflate
    265 (0.7%)    5 (0.6%)  alloc::alloc::box_free
    264 (0.7%)    1 (0.1%)  miniz_oxide::deflate::stream::deflate
    264 (0.7%)    1 (0.1%)  miniz_oxide::inflate::core::apply_match
    242 (0.7%)    1 (0.1%)  miniz_oxide::inflate::stream::inflate_loop
    235 (0.6%)    5 (0.6%)  core::mem::replace
    222 (0.6%)   11 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    217 (0.6%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::enforce_max_code_size
    213 (0.6%)    1 (0.1%)  miniz_oxide::deflate::core::RLE::zero_code_size
    209 (0.6%)   14 (1.7%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
    206 (0.6%)    1 (0.1%)  miniz_oxide::inflate::decompress_to_vec_inner
    193 (0.5%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    189 (0.5%)   13 (1.6%)  core::array::<impl core::ops::index::IndexMut<I> for [T; N]>::index_mut
    186 (0.5%)    1 (0.1%)  miniz_oxide::deflate::core::record_match
    180 (0.5%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
    180 (0.5%)    1 (0.1%)  miniz_oxide::deflate::core::RLE::prev_code_size
    179 (0.5%)    3 (0.4%)  core::result::Result<T,E>::map_err
    171 (0.5%)    4 (0.5%)  core::option::Option<T>::ok_or
    171 (0.5%)    4 (0.5%)  core::result::Result<T,E>::unwrap
    171 (0.5%)    3 (0.4%)  core::result::Result<T,E>::map
    170 (0.5%)    1 (0.1%)  miniz_oxide::deflate::core::flush_output_buffer
    163 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    158 (0.4%)    1 (0.1%)  <miniz_oxide::inflate::core::State as core::fmt::Debug>::fmt
    156 (0.4%)    3 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    154 (0.4%)    3 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    152 (0.4%)    1 (0.1%)  alloc::raw_vec::finish_grow
    152 (0.4%)    1 (0.1%)  miniz_oxide::deflate::core::compress_fast::{{closure}}
    146 (0.4%)    4 (0.5%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    145 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    140 (0.4%)    4 (0.5%)  core::iter::traits::iterator::Iterator::count::{{closure}}
    140 (0.4%)    2 (0.2%)  core::cmp::max_by
    140 (0.4%)    2 (0.2%)  core::cmp::min_by
    140 (0.4%)    1 (0.1%)  miniz_oxide::deflate::compress_to_vec_inner
    139 (0.4%)    3 (0.4%)  core::slice::iter::IterMut<T>::new
    129 (0.4%)    3 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    128 (0.3%)    8 (1.0%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    121 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::BitBuffer::flush
    121 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackBuf::flush_output
    120 (0.3%)    5 (0.6%)  <alloc::boxed::Box<T> as core::default::Default>::default
    119 (0.3%)    7 (0.8%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
    114 (0.3%)    6 (0.7%)  core::ptr::read
    112 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOut::new_output_buffer
    112 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::OutputBufferOxide::put_bits
    112 (0.3%)    1 (0.1%)  miniz_oxide::inflate::core::validate_zlib_header
    110 (0.3%)    1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    109 (0.3%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    108 (0.3%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold::ok::{{closure}}
    104 (0.3%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    100 (0.3%)    1 (0.1%)  miniz_oxide::inflate::core::start_static_table
     97 (0.3%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.3%)    2 (0.2%)  core::slice::iter::Iter<T>::pre_dec_end
     95 (0.3%)    2 (0.2%)  core::slice::iter::Iter<T>::new
     95 (0.3%)    1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     94 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOxide::update_size
     94 (0.3%)    1 (0.1%)  miniz_oxide::inflate::stream::push_dict_out
     92 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::start_static_block
     90 (0.2%)    3 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     89 (0.2%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     87 (0.2%)    3 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     86 (0.2%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
     84 (0.2%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check
     84 (0.2%)    1 (0.1%)  core::option::Option<T>::map_or
     83 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::create_comp_flags_from_zip_params
     82 (0.2%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::nth
     81 (0.2%)    3 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index
     81 (0.2%)    3 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
     76 (0.2%)    2 (0.2%)  miniz_oxide::deflate::core::memset
     76 (0.2%)    2 (0.2%)  miniz_oxide::inflate::core::memset
     76 (0.2%)    1 (0.1%)  <miniz_oxide::inflate::core::DecompressorOxide as core::default::Default>::default
     76 (0.2%)    1 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::rfold
     75 (0.2%)    3 (0.4%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
     75 (0.2%)    1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     75 (0.2%)    1 (0.1%)  miniz_oxide::inflate::core::HuffmanTable::tree_lookup
     74 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::write
     72 (0.2%)    4 (0.5%)  core::iter::adapters::take_while::TakeWhile<I,P>::new
     72 (0.2%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
     71 (0.2%)    1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate::{{closure}}
     71 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOxide::flush_output
     69 (0.2%)    9 (1.1%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     69 (0.2%)    3 (0.4%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
     69 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::DictOxide::read_unaligned_u32
     68 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackFunc::flush_output
     67 (0.2%)    1 (0.1%)  <core::result::Result<T,E> as core::fmt::Debug>::fmt
     64 (0.2%)    6 (0.7%)  core::ptr::write
     61 (0.2%)    1 (0.1%)  miniz_oxide::inflate::core::HuffmanTable::lookup
     60 (0.2%)    5 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     60 (0.2%)    2 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     60 (0.2%)    2 (0.2%)  miniz_oxide::inflate::core::pad_to_bytes
     60 (0.2%)    1 (0.1%)  <miniz_oxide::deflate::core::HuffmanOxide as core::default::Default>::default
     60 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::DictOxide::read_unaligned_u64
     58 (0.2%)    2 (0.2%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::next
     58 (0.2%)    2 (0.2%)  core::ptr::metadata::from_raw_parts
     58 (0.2%)    1 (0.1%)  alloc::vec::Vec<T,A>::resize
     58 (0.2%)    1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     58 (0.2%)    1 (0.1%)  miniz_oxide::deflate::core::CompressorOxide::new
     57 (0.2%)    6 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     57 (0.2%)    3 (0.4%)  <core::iter::adapters::rev::Rev<I> as core::iter::traits::iterator::Iterator>::try_fold
     57 (0.2%)    3 (0.4%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
     56 (0.2%)    1 (0.1%)  core::alloc::layout::Layout::array
     56 (0.2%)    1 (0.1%)  core::result::Result<T,E>::unwrap_or
     55 (0.1%)    3 (0.4%)  miniz_oxide::deflate::core::HuffmanOxide::start_dynamic_block::{{closure}}
     55 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOxide::new_callback_buf
     55 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::zlib::add_fcheck
     55 (0.1%)    1 (0.1%)  miniz_oxide::inflate::output_buffer::OutputBuffer::write_slice
     54 (0.1%)    3 (0.4%)  core::iter::adapters::rev::Rev<T>::new
     54 (0.1%)    1 (0.1%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next
     53 (0.1%)    6 (0.7%)  core::ptr::unique::Unique<T>::cast
     52 (0.1%)    1 (0.1%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     52 (0.1%)    1 (0.1%)  core::ptr::swap_nonoverlapping_one
     52 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::compress_block
     52 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::record_literal
     51 (0.1%)    3 (0.4%)  <T as core::convert::TryInto<U>>::try_into
     50 (0.1%)    2 (0.2%)  miniz_oxide::inflate::core::pad_to_bytes::{{closure}}
     50 (0.1%)    1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
     49 (0.1%)    7 (0.8%)  <T as core::convert::Into<U>>::into
     48 (0.1%)    5 (0.6%)  core::ptr::non_null::NonNull<T>::new_unchecked
     48 (0.1%)    1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.1%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.1%)    1 (0.1%)  miniz_oxide::inflate::core::read_u16_le
     48 (0.1%)    1 (0.1%)  miniz_oxide::inflate::core::read_u32_le
     47 (0.1%)    1 (0.1%)  <miniz_oxide::StreamResult as core::fmt::Debug>::fmt
     46 (0.1%)    4 (0.5%)  core::iter::traits::iterator::Iterator::take_while
     46 (0.1%)    1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     46 (0.1%)    1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next_back
     45 (0.1%)    3 (0.4%)  core::ops::function::FnOnce::call_once
     45 (0.1%)    3 (0.4%)  core::ptr::slice_from_raw_parts_mut
     45 (0.1%)    1 (0.1%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_mut
     45 (0.1%)    1 (0.1%)  <miniz_oxide::MZError as core::fmt::Debug>::fmt
     45 (0.1%)    1 (0.1%)  <miniz_oxide::inflate::TINFLStatus as core::fmt::Debug>::fmt
     45 (0.1%)    1 (0.1%)  core::slice::<impl [T]>::split_at_mut_unchecked
     45 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOxide::new_callback_func
     45 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::probes_from_flags
     44 (0.1%)    2 (0.2%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     43 (0.1%)    2 (0.2%)  alloc::raw_vec::finish_grow::{{closure}}
     43 (0.1%)    1 (0.1%)  core::num::<impl usize>::checked_add
     43 (0.1%)    1 (0.1%)  core::num::<impl usize>::checked_mul
     43 (0.1%)    1 (0.1%)  core::num::<impl usize>::overflowing_add
     43 (0.1%)    1 (0.1%)  core::num::<impl usize>::overflowing_mul
     43 (0.1%)    1 (0.1%)  miniz_oxide::MZFlush::new
     43 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::ParamsOxide::new
     43 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::ParamsOxide::reset
     43 (0.1%)    1 (0.1%)  miniz_oxide::inflate::core::fill_bit_buffer
     42 (0.1%)    4 (0.5%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
     42 (0.1%)    3 (0.4%)  miniz_oxide::inflate::core::decode_huffman_code::{{closure}}
     42 (0.1%)    1 (0.1%)  alloc::alloc::exchange_malloc
     42 (0.1%)    1 (0.1%)  alloc::vec::Vec<T,A>::truncate
     41 (0.1%)    1 (0.1%)  <miniz_oxide::MZFlush as core::fmt::Debug>::fmt
     41 (0.1%)    1 (0.1%)  <miniz_oxide::deflate::CompressionLevel as core::fmt::Debug>::fmt
     41 (0.1%)    1 (0.1%)  core::ptr::drop_in_place<miniz_oxide::deflate::core::CompressorOxide>
     40 (0.1%)    4 (0.5%)  <&T as core::fmt::Debug>::fmt
     40 (0.1%)    2 (0.2%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index
     39 (0.1%)    3 (0.4%)  core::iter::traits::iterator::Iterator::rev
     39 (0.1%)    3 (0.4%)  core::slice::<impl [T]>::iter_mut
     39 (0.1%)    3 (0.4%)  core::slice::iter::<impl core::iter::traits::collect::IntoIterator for &mut [T]>::into_iter
     39 (0.1%)    1 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     39 (0.1%)    1 (0.1%)  core::iter::traits::iterator::Iterator::zip
     39 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::LZOxide::init_flag
     39 (0.1%)    1 (0.1%)  miniz_oxide::deflate::core::TDEFLFlush::new
     38 (0.1%)    8 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     38 (0.1%)    1 (0.1%)  alloc::raw_vec::handle_reserve
     38 (0.1%)    1 (0.1%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
     38 (0.1%)    1 (0.1%)  core::ops::range::RangeInclusive<usize>::into_slice_range
     37 (0.1%)    1 (0.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
