  Lines        Copies      Function name
  -----        ------      -------------
  4430 (100%)  143 (100%)  (TOTAL)
   332 (7.5%)    1 (0.7%)  std::thread::Builder::spawn_unchecked_
   289 (6.5%)    1 (0.7%)  mio_extras::timer::spawn_wakeup_thread::{{closure}}
   193 (4.4%)    1 (0.7%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::register
   190 (4.3%)    1 (0.7%)  mio_extras::channel::ReceiverCtl::dec
   179 (4.0%)    2 (1.4%)  std::thread::Builder::spawn_unchecked_::{{closure}}
   147 (3.3%)    1 (0.7%)  mio::poll::Poll::register
   147 (3.3%)    1 (0.7%)  mio::poll::Poll::reregister
   119 (2.7%)    1 (0.7%)  lazycell::AtomicLazyCell<T>::fill
    97 (2.2%)    1 (0.7%)  alloc::alloc::Global::alloc_impl
    94 (2.1%)    1 (0.7%)  mio_extras::channel::ctl_pair
    93 (2.1%)    1 (0.7%)  lazycell::LazyCell<T>::fill
    93 (2.1%)    1 (0.7%)  mio_extras::channel::SenderCtl::inc
    89 (2.0%)    1 (0.7%)  mio::poll::Poll::deregister
    76 (1.7%)    1 (0.7%)  alloc::sync::Arc<T>::new
    66 (1.5%)    1 (0.7%)  std::thread::Builder::spawn_unchecked
    60 (1.4%)    1 (0.7%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    60 (1.4%)    1 (0.7%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::reregister
    59 (1.3%)    1 (0.7%)  core::fmt::Arguments::new_v1
    55 (1.2%)    1 (0.7%)  core::option::Option<T>::map
    55 (1.2%)    1 (0.7%)  std::panicking::try
    54 (1.2%)    1 (0.7%)  core::ptr::drop_in_place<std::thread::Builder::spawn_unchecked_<mio_extras::timer::spawn_wakeup_thread::{{closure}},()>::{{closure}}>
    53 (1.2%)    1 (0.7%)  alloc::alloc::box_free
    51 (1.2%)    1 (0.7%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::deregister
    44 (1.0%)    1 (0.7%)  alloc::sync::Weak<T>::inner
    43 (1.0%)    1 (0.7%)  core::num::<impl u64>::checked_mul
    43 (1.0%)    1 (0.7%)  core::num::<impl u64>::overflowing_mul
    42 (0.9%)    4 (2.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
    42 (0.9%)    1 (0.7%)  alloc::alloc::exchange_malloc
    42 (0.9%)    1 (0.7%)  core::sync::atomic::AtomicUsize::compare_and_swap
    38 (0.9%)    1 (0.7%)  <mio_extras::timer::Timeout as core::fmt::Debug>::fmt
    38 (0.9%)    1 (0.7%)  <mio_extras::timer::WheelEntry as core::fmt::Debug>::fmt
    36 (0.8%)    1 (0.7%)  std::thread::spawn
    35 (0.8%)    3 (2.1%)  core::cell::UnsafeCell<T>::new
    35 (0.8%)    1 (0.7%)  mio_extras::convert::millis
    34 (0.8%)    1 (0.7%)  <mio_extras::timer::Inner as core::fmt::Debug>::fmt
    33 (0.7%)    1 (0.7%)  std::panicking::try::do_catch
    32 (0.7%)    1 (0.7%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    32 (0.7%)    1 (0.7%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    30 (0.7%)    2 (1.4%)  std::thread::Builder::spawn_unchecked_<[closure@src/timer.rs:488:19: 544:6], 
    30 (0.7%)    1 (0.7%)  mio_extras::timer::spawn_wakeup_thread
    29 (0.7%)    1 (0.7%)  core::alloc::layout::Layout::for_value_raw
    28 (0.6%)    1 (0.7%)  core::num::<impl u64>::saturating_mul
    28 (0.6%)    1 (0.7%)  core::ptr::drop_in_place<mio_extras::timer::spawn_wakeup_thread::{{closure}}>
    28 (0.6%)    1 (0.7%)  std::sys_common::backtrace::__rust_begin_short_backtrace
    27 (0.6%)    1 (0.7%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    25 (0.6%)    1 (0.7%)  core::ptr::drop_in_place<mio_extras::channel::SenderCtl>
    25 (0.6%)    1 (0.7%)  core::sync::atomic::AtomicUsize::compare_exchange
    25 (0.6%)    1 (0.7%)  core::time::Duration::from_millis
    25 (0.6%)    1 (0.7%)  std::panicking::try::do_call
    24 (0.5%)    1 (0.7%)  <mio_extras::channel::SenderCtl as core::ops::drop::Drop>::drop
    24 (0.5%)    1 (0.7%)  mio_extras::timer::duration_to_tick
    23 (0.5%)    1 (0.7%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    23 (0.5%)    1 (0.7%)  lazycell::AtomicLazyCell<T>::borrow
    23 (0.5%)    1 (0.7%)  lazycell::LazyCell<T>::new
    22 (0.5%)    1 (0.7%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
    22 (0.5%)    1 (0.7%)  core::sync::atomic::fence
    21 (0.5%)    5 (3.5%)  core::cell::UnsafeCell<T>::get
    21 (0.5%)    1 (0.7%)  core::sync::atomic::strongest_failure_ordering
    20 (0.5%)    3 (2.1%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    20 (0.5%)    1 (0.7%)  core::alloc::layout::Layout::from_size_align_unchecked
    19 (0.4%)    1 (0.7%)  core::ptr::read
    17 (0.4%)    1 (0.7%)  <mio_extras::channel::SenderCtl as core::clone::Clone>::clone
    17 (0.4%)    1 (0.7%)  <mio_extras::timer::Inner as core::ops::drop::Drop>::drop
    16 (0.4%)    1 (0.7%)  <alloc::alloc::Global as core::alloc::Allocator>::allocate
    16 (0.4%)    1 (0.7%)  <log::Level as core::cmp::PartialOrd<log::LevelFilter>>::le
    16 (0.4%)    1 (0.7%)  alloc::alloc::dealloc
    16 (0.4%)    1 (0.7%)  mio_extras::timer::Builder::tick_duration
    16 (0.4%)    1 (0.7%)  mio_extras::timer::current_tick
    16 (0.4%)    1 (0.7%)  std::sys_common::thread_parker::futex::Parker::unpark
    15 (0.3%)    1 (0.7%)  core::sync::atomic::AtomicI32::swap
    15 (0.3%)    1 (0.7%)  core::sync::atomic::AtomicUsize::fetch_add
    15 (0.3%)    1 (0.7%)  core::sync::atomic::AtomicUsize::fetch_sub
    15 (0.3%)    1 (0.7%)  core::sync::atomic::AtomicUsize::store
    14 (0.3%)    1 (0.7%)  <mio_extras::timer::Builder as core::default::Default>::default
    14 (0.3%)    1 (0.7%)  alloc::boxed::Box<T,A>::leak
    14 (0.3%)    1 (0.7%)  alloc::sync::Arc<T>::drop_slow
    13 (0.3%)    1 (0.7%)  alloc::alloc::alloc
    13 (0.3%)    1 (0.7%)  alloc::alloc::alloc_zeroed
    13 (0.3%)    1 (0.7%)  std::thread::Builder::spawn
    12 (0.3%)    1 (0.7%)  <std::thread::Thread as core::clone::Clone>::clone
    12 (0.3%)    1 (0.7%)  core::num::<impl u64>::saturating_add
    12 (0.3%)    1 (0.7%)  core::sync::atomic::AtomicUsize::load
    12 (0.3%)    1 (0.7%)  std::panic::catch_unwind
    11 (0.2%)    1 (0.7%)  <core::panic::unwind_safe::AssertUnwindSafe<F> as core::ops::function::FnOnce<()>>::call_once
    11 (0.2%)    1 (0.7%)  core::sync::atomic::AtomicUsize::new
    10 (0.2%)    1 (0.7%)  alloc::rc::is_dangling
    10 (0.2%)    1 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    10 (0.2%)    1 (0.7%)  log::max_level
    10 (0.2%)    1 (0.7%)  mio_extras::timer::Builder::capacity
    10 (0.2%)    1 (0.7%)  mio_extras::timer::Builder::num_slots
    10 (0.2%)    1 (0.7%)  std::thread::Builder::spawn_unchecked_::{{closure}}::{{closure}}
     9 (0.2%)    1 (0.7%)  core::alloc::layout::Layout::dangling
     9 (0.2%)    1 (0.7%)  core::ptr::non_null::NonNull<T>::cast
     9 (0.2%)    1 (0.7%)  core::ptr::unique::Unique<T>::cast
     9 (0.2%)    1 (0.7%)  std::thread::Thread::unpark
     8 (0.2%)    1 (0.7%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
     8 (0.2%)    1 (0.7%)  alloc::sync::Arc<T>::get_mut_unchecked
     8 (0.2%)    1 (0.7%)  core::alloc::layout::Layout::align
     8 (0.2%)    1 (0.7%)  core::mem::align_of_val_raw
     8 (0.2%)    1 (0.7%)  core::mem::size_of_val_raw
     8 (0.2%)    1 (0.7%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     8 (0.2%)    1 (0.7%)  lazycell::LazyCell<T>::borrow
     7 (0.2%)    1 (0.7%)  <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
     7 (0.2%)    1 (0.7%)  alloc::sync::Arc<T>::from_inner
     7 (0.2%)    1 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::take
     7 (0.2%)    1 (0.7%)  core::num::nonzero::NonZeroUsize::new_unchecked
     7 (0.2%)    1 (0.7%)  core::ptr::drop_in_place<lazycell::AtomicLazyCell<mio::poll::SetReadiness>>
     7 (0.2%)    1 (0.7%)  core::ptr::drop_in_place<mio_extras::channel::Inner>
     7 (0.2%)    1 (0.7%)  core::ptr::non_null::NonNull<T>::as_ref
     7 (0.2%)    1 (0.7%)  core::ptr::unique::Unique<T>::as_ref
     6 (0.1%)    1 (0.7%)  <T as core::convert::Into<U>>::into
     6 (0.1%)    1 (0.7%)  __rust_try
     6 (0.1%)    1 (0.7%)  alloc::sync::Arc<T>::inner
     6 (0.1%)    1 (0.7%)  core::alloc::layout::Layout::size
     6 (0.1%)    1 (0.7%)  core::mem::drop
     6 (0.1%)    1 (0.7%)  core::ptr::drop_in_place<alloc::sync::Arc<mio_extras::channel::Inner>>
     6 (0.1%)    1 (0.7%)  core::ptr::drop_in_place<alloc::sync::Weak<mio_extras::channel::Inner>>
     6 (0.1%)    1 (0.7%)  core::time::Duration::as_secs
     6 (0.1%)    1 (0.7%)  core::time::Duration::subsec_nanos
     5 (0.1%)    1 (0.7%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::Deref>::deref
     5 (0.1%)    1 (0.7%)  core::convert::num::<impl core::convert::From<u32> for u64>::from
     5 (0.1%)    1 (0.7%)  core::ptr::non_null::NonNull<T>::as_ptr
     5 (0.1%)    1 (0.7%)  core::ptr::unique::Unique<T>::as_ptr
     4 (0.1%)    1 (0.7%)  core::num::nonzero::NonZeroUsize::get
     4 (0.1%)    1 (0.7%)  core::ptr::drop_in_place<&mio::token::Token>
     4 (0.1%)    1 (0.7%)  core::ptr::drop_in_place<&u64>
     4 (0.1%)    1 (0.7%)  core::ptr::drop_in_place<usize>
     4 (0.1%)    1 (0.7%)  mio::event_imp::Ready::readable
     3 (0.1%)    1 (0.7%)  lazycell::AtomicLazyCell<T>::new
     2 (0.0%)    1 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
