  Lines        Copies      Function name
  -----        ------      -------------
  4162 (100%)  114 (100%)  (TOTAL)
   444 (10.7%)   1 (0.9%)  mio_uds::socket::Socket::pair
   266 (6.4%)    1 (0.9%)  mio_uds::socket::Socket::new
   263 (6.3%)    1 (0.9%)  mio_uds::listener::UnixListener::_bind
   233 (5.6%)    4 (3.5%)  core::result::Result<T,E>::map
   226 (5.4%)    1 (0.9%)  mio_uds::stream::UnixStream::_connect
   209 (5.0%)    1 (0.9%)  mio_uds::datagram::UnixDatagram::_bind
   204 (4.9%)    1 (0.9%)  mio_uds::socket::sockaddr_un
   163 (3.9%)    1 (0.9%)  mio_uds::listener::UnixListener::accept
   145 (3.5%)    1 (0.9%)  mio_uds::listener::UnixListener::accept_std
   131 (3.1%)    1 (0.9%)  mio_uds::datagram::UnixDatagram::unbound
   130 (3.1%)    1 (0.9%)  mio_uds::datagram::UnixDatagram::pair
    87 (2.1%)    1 (0.9%)  mio_uds::datagram::UnixDatagram::from_datagram
    87 (2.1%)    1 (0.9%)  mio_uds::listener::UnixListener::from_listener
    87 (2.1%)    1 (0.9%)  mio_uds::stream::UnixStream::from_stream
    70 (1.7%)    1 (0.9%)  mio_uds::stream::UnixStream::pair::{{closure}}
    62 (1.5%)    1 (0.9%)  mio_uds::stream::UnixStream::read_bufs
    62 (1.5%)    1 (0.9%)  mio_uds::stream::UnixStream::write_bufs
    53 (1.3%)    1 (0.9%)  std::io::error::Error::kind
    44 (1.1%)    1 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    40 (1.0%)    1 (0.9%)  std::io::error::Error::raw_os_error
    35 (0.8%)    1 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    34 (0.8%)    1 (0.9%)  <std::os::fd::owned::OwnedFd as std::os::fd::raw::FromRawFd>::from_raw_fd
    32 (0.8%)    1 (0.9%)  <mio_uds::datagram::UnixDatagram as mio::event_imp::Evented>::register
    32 (0.8%)    1 (0.9%)  <mio_uds::datagram::UnixDatagram as mio::event_imp::Evented>::reregister
    32 (0.8%)    1 (0.9%)  <mio_uds::listener::UnixListener as mio::event_imp::Evented>::register
    32 (0.8%)    1 (0.9%)  <mio_uds::listener::UnixListener as mio::event_imp::Evented>::reregister
    32 (0.8%)    1 (0.9%)  <mio_uds::stream::UnixStream as mio::event_imp::Evented>::register
    32 (0.8%)    1 (0.9%)  <mio_uds::stream::UnixStream as mio::event_imp::Evented>::reregister
    30 (0.7%)    3 (2.6%)  <&T as core::fmt::Debug>::fmt
    28 (0.7%)    1 (0.9%)  <mio_uds::datagram::UnixDatagram as core::fmt::Debug>::fmt
    28 (0.7%)    1 (0.9%)  <mio_uds::listener::UnixListener as core::fmt::Debug>::fmt
    28 (0.7%)    1 (0.9%)  <mio_uds::stream::UnixStream as core::fmt::Debug>::fmt
