  Lines          Copies       Function name
  -----          ------       -------------
  109514 (100%)  3596 (100%)  (TOTAL)
    3372 (3.1%)     1 (0.0%)  <nix::net::if_::InterfaceFlags as core::fmt::Debug>::fmt
    2628 (2.4%)    47 (1.3%)  core::result::Result<T,E>::map
    1972 (1.8%)     1 (0.0%)  <nix::sys::mman::MapFlags as core::fmt::Debug>::fmt
    1772 (1.6%)     1 (0.0%)  <nix::sys::termios::OutputFlags as core::fmt::Debug>::fmt
    1672 (1.5%)     1 (0.0%)  <nix::fcntl::OFlag as core::fmt::Debug>::fmt
    1572 (1.4%)     1 (0.0%)  <nix::mount::linux::MsFlags as core::fmt::Debug>::fmt
    1322 (1.2%)     1 (0.0%)  <nix::sys::termios::ControlFlags as core::fmt::Debug>::fmt
    1304 (1.2%)     8 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1222 (1.1%)     1 (0.0%)  <nix::sys::inotify::AddWatchFlags as core::fmt::Debug>::fmt
    1072 (1.0%)     1 (0.0%)  <nix::sched::sched_linux_like::CloneFlags as core::fmt::Debug>::fmt
    1015 (0.9%)     7 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     983 (0.9%)    98 (2.7%)  <&T as core::fmt::Debug>::fmt
     972 (0.9%)     1 (0.0%)  <nix::sys::termios::LocalFlags as core::fmt::Debug>::fmt
     872 (0.8%)     1 (0.0%)  <nix::sys::epoll::EpollFlags as core::fmt::Debug>::fmt
     872 (0.8%)     1 (0.0%)  <nix::sys::stat::Mode as core::fmt::Debug>::fmt
     822 (0.8%)     1 (0.0%)  <nix::sys::termios::InputFlags as core::fmt::Debug>::fmt
     792 (0.7%)    18 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     727 (0.7%)     1 (0.0%)  <nix::sys::statvfs::FsFlags as core::fmt::Debug>::fmt
     709 (0.6%)    53 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     696 (0.6%)    39 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     675 (0.6%)     1 (0.0%)  nix::errno::desc
     672 (0.6%)     1 (0.0%)  <nix::sys::personality::Persona as core::fmt::Debug>::fmt
     648 (0.6%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     622 (0.6%)     1 (0.0%)  <nix::poll::PollFlags as core::fmt::Debug>::fmt
     622 (0.6%)     1 (0.0%)  <nix::sys::quota::QuotaValidFlags as core::fmt::Debug>::fmt
     602 (0.5%)    13 (0.4%)  core::option::Option<T>::map
     572 (0.5%)     1 (0.0%)  <nix::sys::ptrace::linux::Options as core::fmt::Debug>::fmt
     572 (0.5%)     1 (0.0%)  <nix::sys::socket::MsgFlags as core::fmt::Debug>::fmt
     572 (0.5%)     1 (0.0%)  <nix::sys::wait::WaitPidFlag as core::fmt::Debug>::fmt
     545 (0.5%)     1 (0.0%)  <nix::errno::consts::Errno as core::fmt::Debug>::fmt
     522 (0.5%)     1 (0.0%)  <nix::sys::stat::SFlag as core::fmt::Debug>::fmt
     504 (0.5%)     9 (0.3%)  core::alloc::layout::Layout::array
     497 (0.5%)     1 (0.0%)  <nix::unistd::SysconfVar as core::fmt::Debug>::fmt
     473 (0.4%)     7 (0.2%)  alloc::alloc::box_free
     472 (0.4%)     1 (0.0%)  <nix::mqueue::MQ_OFlag as core::fmt::Debug>::fmt
     472 (0.4%)     1 (0.0%)  <nix::sys::signal::SaFlags as core::fmt::Debug>::fmt
     466 (0.4%)     8 (0.2%)  core::result::Result<T,E>::map_err
     422 (0.4%)    53 (1.5%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     422 (0.4%)     1 (0.0%)  <nix::fcntl::AtFlags as core::fmt::Debug>::fmt
     422 (0.4%)     1 (0.0%)  <nix::fcntl::FallocateFlags as core::fmt::Debug>::fmt
     422 (0.4%)     1 (0.0%)  <nix::sys::mman::ProtFlags as core::fmt::Debug>::fmt
     418 (0.4%)     8 (0.2%)  <nix::sys::socket::sockopt::GetStruct<T> as nix::sys::socket::sockopt::Get<T>>::assume_init
     399 (0.4%)     1 (0.0%)  nix::sys::socket::ControlMessageOwned::decode_from
     385 (0.4%)     6 (0.2%)  alloc::vec::Vec<T,A>::push
     377 (0.3%)     1 (0.0%)  <nix::sys::time::TimeSpec as core::fmt::Display>::fmt
     372 (0.3%)     1 (0.0%)  <nix::sys::mman::MsFlags as core::fmt::Debug>::fmt
     346 (0.3%)     2 (0.1%)  nix::unistd::Group::from_anything
     346 (0.3%)     2 (0.1%)  nix::unistd::User::from_anything
     322 (0.3%)     1 (0.0%)  <nix::fcntl::SealFlag as core::fmt::Debug>::fmt
     322 (0.3%)     1 (0.0%)  <nix::fcntl::SpliceFFlags as core::fmt::Debug>::fmt
     322 (0.3%)     1 (0.0%)  <nix::sys::mman::MRemapFlags as core::fmt::Debug>::fmt
     322 (0.3%)     1 (0.0%)  <nix::sys::socket::SockFlag as core::fmt::Debug>::fmt
     322 (0.3%)     1 (0.0%)  <nix::unistd::AccessFlags as core::fmt::Debug>::fmt
     320 (0.3%)     1 (0.0%)  nix::sys::socket::sockaddr_storage_to_addr
     319 (0.3%)    11 (0.3%)  core::fmt::ArgumentV1::new
     309 (0.3%)     1 (0.0%)  <nix::sys::time::TimeVal as core::fmt::Display>::fmt
     306 (0.3%)    11 (0.3%)  core::ptr::read_unaligned
     301 (0.3%)     1 (0.0%)  <nix::fcntl::FcntlArg as core::fmt::Debug>::fmt
     299 (0.3%)     8 (0.2%)  core::option::Option<T>::unwrap_or
     296 (0.3%)     8 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     290 (0.3%)    10 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     289 (0.3%)     1 (0.0%)  nix::unistd::<impl core::convert::From<nix::unistd::User> for libc::unix::linux_like::linux::passwd>::from
     287 (0.3%)     1 (0.0%)  <nix::sys::socket::ControlMessageOwned as core::fmt::Debug>::fmt
     282 (0.3%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
     272 (0.2%)     1 (0.0%)  <nix::fcntl::RenameFlags as core::fmt::Debug>::fmt
     272 (0.2%)     1 (0.0%)  <nix::mount::linux::MntFlags as core::fmt::Debug>::fmt
     272 (0.2%)     1 (0.0%)  <nix::sys::eventfd::EfdFlags as core::fmt::Debug>::fmt
     272 (0.2%)     1 (0.0%)  nix::errno::consts::from_i32
     251 (0.2%)    53 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
     248 (0.2%)     5 (0.1%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     248 (0.2%)     4 (0.1%)  nix::errno::<impl nix::errno::consts::Errno>::result
     247 (0.2%)     1 (0.0%)  nix::sys::inotify::Inotify::read_events
     237 (0.2%)     3 (0.1%)  nix::sys::ptrace::linux::ptrace_get_data
     231 (0.2%)     7 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     229 (0.2%)     1 (0.0%)  <nix::sys::wait::WaitStatus as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::kmod::DeleteModuleFlags as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::kmod::ModuleInitFlags as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::sys::inotify::InitFlags as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::sys::memfd::MemFdCreateFlag as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::sys::mman::MlockAllFlags as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::sys::signalfd::SfdFlags as core::fmt::Debug>::fmt
     222 (0.2%)     1 (0.0%)  <nix::sys::timerfd::TimerFlags as core::fmt::Debug>::fmt
     219 (0.2%)     3 (0.1%)  core::option::Option<T>::map_or_else
     218 (0.2%)     1 (0.0%)  <nix::sys::socket::ControlMessage as core::fmt::Debug>::fmt
     216 (0.2%)     4 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     214 (0.2%)    53 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     213 (0.2%)     1 (0.0%)  <std::path::Prefix as core::cmp::PartialEq>::eq
     207 (0.2%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     207 (0.2%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     205 (0.2%)     1 (0.0%)  <nix::sys::signal::Signal as core::convert::TryFrom<i32>>::try_from
     201 (0.2%)     3 (0.1%)  core::fmt::builders::DebugList::entries
     201 (0.2%)     1 (0.0%)  <nix::sys::termios::BaudRate as core::convert::TryFrom<u32>>::try_from
     200 (0.2%)     1 (0.0%)  nix::unistd::getgroups
     198 (0.2%)     1 (0.0%)  nix::sys::socket::pack_mhdr_to_send
     193 (0.2%)     1 (0.0%)  alloc::alloc::Global::grow_impl
