  Lines         Copies      Function name
  -----         ------      -------------
  23551 (100%)  883 (100%)  (TOTAL)
    615 (2.6%)    6 (0.7%)  core::iter::traits::iterator::Iterator::try_fold
    604 (2.6%)   13 (1.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    391 (1.7%)    1 (0.1%)  num_cpus::linux::get_num_physical_cpus
    307 (1.3%)   12 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    292 (1.2%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    261 (1.1%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    237 (1.0%)    5 (0.6%)  core::mem::replace
    229 (1.0%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    219 (0.9%)    4 (0.5%)  core::result::Result<T,E>::map_err
    215 (0.9%)    6 (0.7%)  core::result::Result<T,E>::ok
    214 (0.9%)    5 (0.6%)  core::option::Option<T>::ok_or
    196 (0.8%)    5 (0.6%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    195 (0.8%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    193 (0.8%)    3 (0.3%)  alloc::alloc::box_free
    193 (0.8%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (0.8%)    1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    189 (0.8%)    4 (0.5%)  core::option::Option<T>::map
    185 (0.8%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    184 (0.8%)    1 (0.1%)  num_cpus::linux::load_cgroups
    182 (0.8%)    2 (0.2%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
    180 (0.8%)    1 (0.1%)  std::io::read_until
    177 (0.8%)    1 (0.1%)  num_cpus::linux::MountInfo::parse_line
    172 (0.7%)    1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    163 (0.7%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    162 (0.7%)    6 (0.7%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    159 (0.7%)    4 (0.5%)  core::ops::control_flow::ControlFlow<B,C>::break_value
    155 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    152 (0.6%)    1 (0.1%)  alloc::raw_vec::finish_grow
    150 (0.6%)    3 (0.3%)  core::iter::traits::iterator::Iterator::find_map::check::{{closure}}
