  Lines         Copies      Function name
  -----         ------      -------------
  10981 (100%)  488 (100%)  (TOTAL)
    322 (2.9%)    7 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    224 (2.0%)    5 (1.0%)  malloc_buf::MallocBuffer<T>::new
    193 (1.8%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    179 (1.6%)    3 (0.6%)  core::result::Result<T,E>::map_err
    174 (1.6%)    6 (1.2%)  core::fmt::ArgumentV1::new
    165 (1.5%)    1 (0.2%)  objc::declare::ClassDecl::add_class_method
    163 (1.5%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    156 (1.4%)    3 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    152 (1.4%)    6 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    152 (1.4%)    1 (0.2%)  alloc::raw_vec::finish_grow
    145 (1.3%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (1.3%)    2 (0.4%)  core::iter::traits::iterator::Iterator::fold
    140 (1.3%)    3 (0.6%)  core::slice::iter::Iter<T>::new
    132 (1.2%)    3 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    127 (1.2%)    3 (0.6%)  core::option::Option<T>::ok_or
    122 (1.1%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    118 (1.1%)    2 (0.4%)  alloc::alloc::box_free
    118 (1.1%)    1 (0.2%)  objc::encode::Encoding::as_str
    116 (1.1%)    2 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    115 (1.0%)    5 (1.0%)  core::option::Option<T>::unwrap
    113 (1.0%)    1 (0.2%)  core::str::validations::next_code_point
     98 (0.9%)    1 (0.2%)  objc::encode::from_str
     97 (0.9%)    2 (0.4%)  core::result::Result<T,E>::unwrap
     97 (0.9%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.9%)   11 (2.3%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     96 (0.9%)    2 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     96 (0.9%)    1 (0.2%)  objc::declare::method_type_encoding
     91 (0.8%)    1 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     89 (0.8%)    1 (0.2%)  <T as std::ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl
     85 (0.8%)    1 (0.2%)  core::str::<impl str>::trim_start_matches
     79 (0.7%)    1 (0.2%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     73 (0.7%)    1 (0.2%)  objc::declare::ClassDecl::with_superclass
     72 (0.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     70 (0.6%)    8 (1.6%)  core::ptr::const_ptr::<impl *const T>::is_null
     70 (0.6%)    1 (0.2%)  core::cmp::max_by
     70 (0.6%)    1 (0.2%)  core::cmp::min_by
     69 (0.6%)    1 (0.2%)  core::option::Option<T>::map_or
     67 (0.6%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     67 (0.6%)    1 (0.2%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
     65 (0.6%)    1 (0.2%)  objc::declare::ProtocolDecl::new
     64 (0.6%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
     63 (0.6%)    1 (0.2%)  objc::declare::ClassDecl::root
     59 (0.5%)    1 (0.2%)  core::fmt::Arguments::new_v1
     59 (0.5%)    1 (0.2%)  objc::encode::from_malloc_str
     58 (0.5%)    1 (0.2%)  core::slice::iter::Iter<T>::make_slice
     56 (0.5%)    1 (0.2%)  core::alloc::layout::Layout::array
     56 (0.5%)    1 (0.2%)  objc::runtime::Class::instance_variable
     53 (0.5%)    1 (0.2%)  objc::runtime::Class::get
     53 (0.5%)    1 (0.2%)  objc::runtime::Protocol::get
     52 (0.5%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     52 (0.5%)    1 (0.2%)  objc::declare::ClassDecl::root::register_sel
     51 (0.5%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
     48 (0.4%)    1 (0.2%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.4%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.4%)    1 (0.2%)  objc::runtime::Sel::register
     47 (0.4%)    1 (0.2%)  <core::str::pattern::MultiCharEqPattern<C> as core::str::pattern::Pattern>::into_searcher
     47 (0.4%)    1 (0.2%)  core::option::Option<T>::unwrap_unchecked
     46 (0.4%)    1 (0.2%)  core::str::pattern::Searcher::next_reject
     45 (0.4%)    1 (0.2%)  core::slice::iter::IterMut<T>::new
     43 (0.4%)    2 (0.4%)  alloc::raw_vec::finish_grow::{{closure}}
     43 (0.4%)    1 (0.2%)  core::num::<impl usize>::checked_add
     43 (0.4%)    1 (0.2%)  core::num::<impl usize>::checked_mul
     43 (0.4%)    1 (0.2%)  core::num::<impl usize>::overflowing_add
     43 (0.4%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
     42 (0.4%)    2 (0.4%)  core::iter::adapters::map::Map<I,F>::new
     42 (0.4%)    1 (0.2%)  <objc::rc::weak::WeakPtr as core::clone::Clone>::clone
     42 (0.4%)    1 (0.2%)  alloc::alloc::exchange_malloc
     42 (0.4%)    1 (0.2%)  core::iter::traits::iterator::Iterator::zip
     42 (0.4%)    1 (0.2%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get_unchecked
     41 (0.4%)    4 (0.8%)  core::ptr::non_null::NonNull<T>::new_unchecked
     40 (0.4%)    1 (0.2%)  core::option::Option<T>::map
     39 (0.4%)    3 (0.6%)  core::slice::<impl [T]>::iter
     39 (0.4%)    1 (0.2%)  objc::rc::weak::WeakPtr::new
     38 (0.3%)    1 (0.2%)  <core::iter::adapters::filter::Filter<I,P> as core::iter::traits::iterator::Iterator>::count
     38 (0.3%)    1 (0.2%)  <malloc_buf::MallocBuffer<T> as core::ops::deref::Deref>::deref
     38 (0.3%)    1 (0.2%)  alloc::raw_vec::handle_reserve
     38 (0.3%)    1 (0.2%)  alloc::vec::Vec<T,A>::append_elements
     37 (0.3%)    1 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
