  Lines         Copies      Function name
  -----         ------      -------------
  21492 (100%)  610 (100%)  (TOTAL)
   2218 (10.3%)   7 (1.1%)  parking_lot_core::parking_lot::park::{{closure}}
   1503 (7.0%)    5 (0.8%)  parking_lot_core::parking_lot::unpark_filter
    982 (4.6%)   35 (5.7%)  core::ops::function::FnOnce::call_once
    660 (3.1%)    2 (0.3%)  parking_lot_core::parking_lot::unpark_requeue
    596 (2.8%)    8 (1.3%)  std::thread::local::LocalKey<T>::try_with
    594 (2.8%)    2 (0.3%)  smallvec::SmallVec<A>::try_grow
    534 (2.5%)   10 (1.6%)  parking_lot::raw_rwlock::RawRwLock::wake_parked_threads::{{closure}}
    486 (2.3%)    3 (0.5%)  parking_lot::raw_rwlock::RawRwLock::lock_common
    462 (2.1%)    7 (1.1%)  parking_lot_core::parking_lot::with_thread_data
    343 (1.6%)    2 (0.3%)  parking_lot_core::parking_lot::unpark_one
    302 (1.4%)    5 (0.8%)  parking_lot::raw_rwlock::RawRwLock::wake_parked_threads
    287 (1.3%)    7 (1.1%)  core::result::Result<T,E>::unwrap_or_else
    254 (1.2%)    7 (1.1%)  parking_lot_core::parking_lot::park
    254 (1.2%)    1 (0.2%)  parking_lot::once::Once::call_once_slow
    251 (1.2%)    5 (0.8%)  core::mem::replace
    214 (1.0%)    5 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    201 (0.9%)    9 (1.5%)  parking_lot::raw_rwlock::RawRwLock::lock_common::{{closure}}
    196 (0.9%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange
    196 (0.9%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange_weak
    168 (0.8%)    2 (0.3%)  smallvec::SmallVec<A>::push
    168 (0.8%)    2 (0.3%)  smallvec::SmallVec<A>::try_reserve
    166 (0.8%)    1 (0.2%)  parking_lot::raw_mutex::RawMutex::lock_slow
    165 (0.8%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::unlock_upgradable_slow::{{closure}}
    161 (0.7%)    4 (0.7%)  core::option::Option<T>::ok_or
    159 (0.7%)    1 (0.2%)  parking_lot_core::parking_lot::lock_bucket_pair
    151 (0.7%)    1 (0.2%)  parking_lot_core::parking_lot::unpark_all
    144 (0.7%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    144 (0.7%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::wait_for_readers
    135 (0.6%)    7 (1.1%)  core::ptr::read
    133 (0.6%)    4 (0.7%)  core::cell::Cell<T>::replace
    125 (0.6%)    3 (0.5%)  parking_lot::condvar::Condvar::wait_until_internal::{{closure}}
    124 (0.6%)    2 (0.3%)  smallvec::layout_array
    123 (0.6%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::lock_shared_slow::{{closure}}
    120 (0.6%)    2 (0.3%)  core::result::Result<T,E>::map_err
    119 (0.6%)   14 (2.3%)  parking_lot_core::parking_lot::with_thread_data::{{closure}}
    108 (0.5%)    3 (0.5%)  core::sync::atomic::atomic_store
    108 (0.5%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::try_lock_shared_slow
    105 (0.5%)    1 (0.2%)  parking_lot::condvar::Condvar::wait_until_internal
     97 (0.5%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     94 (0.4%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::unlock_exclusive_slow::{{closure}}
     92 (0.4%)    2 (0.3%)  <smallvec::IntoIter<A> as core::iter::traits::iterator::Iterator>::next
     91 (0.4%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::try_lock_shared_fast
     90 (0.4%)    2 (0.3%)  smallvec::SmallVec<A>::new
     88 (0.4%)    4 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     87 (0.4%)    1 (0.2%)  parking_lot::raw_mutex::RawMutex::unlock_slow::{{closure}}
     84 (0.4%)    2 (0.3%)  parking_lot::condvar::Condvar::notify_all_slow::{{closure}}
     84 (0.4%)    2 (0.3%)  smallvec::SmallVec<A>::triple
     84 (0.4%)    1 (0.2%)  parking_lot_core::parking_lot::lock_bucket_checked
     83 (0.4%)    1 (0.2%)  <parking_lot_core::thread_parker::imp::ThreadParker as parking_lot_core::thread_parker::ThreadParkerT>::park_until
     83 (0.4%)    1 (0.2%)  parking_lot_core::thread_parker::imp::ThreadParker::futex_wait
     82 (0.4%)    2 (0.3%)  smallvec::SmallVec<A>::triple_mut
     78 (0.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     78 (0.4%)    2 (0.3%)  core::sync::atomic::atomic_load
     76 (0.4%)    2 (0.3%)  <smallvec::SmallVec<A> as core::ops::index::IndexMut<I>>::index_mut
     75 (0.3%)    1 (0.2%)  alloc::alloc::box_free
     74 (0.3%)    7 (1.1%)  core::ptr::write
     74 (0.3%)    2 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     74 (0.3%)    2 (0.3%)  <smallvec::SmallVec<A> as core::iter::traits::collect::IntoIterator>::into_iter
     74 (0.3%)    1 (0.2%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     72 (0.3%)    4 (0.7%)  parking_lot::raw_rwlock::RawRwLock::wait_for_readers::{{closure}}
     71 (0.3%)    7 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     70 (0.3%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     69 (0.3%)    2 (0.3%)  parking_lot::condvar::Condvar::notify_one_slow::{{closure}}
     69 (0.3%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.3%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::unlock_upgradable_slow
     68 (0.3%)    1 (0.2%)  <parking_lot_core::thread_parker::imp::UnparkHandle as parking_lot_core::thread_parker::UnparkHandleT>::unpark
     64 (0.3%)    1 (0.2%)  <parking_lot_core::parking_lot::ParkResult as core::cmp::PartialEq>::eq
     64 (0.3%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::lock_upgradable_slow::{{closure}}
     64 (0.3%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::try_upgrade_slow
     62 (0.3%)    2 (0.3%)  <smallvec::SmallVec<A> as core::ops::drop::Drop>::drop
     59 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
