  Lines         Copies       Function name
  -----         ------       -------------
  66455 (100%)  2405 (100%)  (TOTAL)
    978 (1.5%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    893 (1.3%)     1 (0.0%)  parse_zoneinfo::line::LineParser::zoneinfo_from_captures
    892 (1.3%)     2 (0.1%)  alloc::slice::merge_sort
    884 (1.3%)    17 (0.7%)  core::option::Option<T>::map
    626 (0.9%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    604 (0.9%)    30 (1.2%)  core::ptr::read
    580 (0.9%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    553 (0.8%)     1 (0.0%)  parse_zoneinfo::line::LineParser::parse_rule
    551 (0.8%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    525 (0.8%)     7 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    512 (0.8%)     6 (0.2%)  alloc::collections::btree::mem::replace
    488 (0.7%)    12 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    488 (0.7%)    12 (0.5%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    486 (0.7%)     1 (0.0%)  parse_zoneinfo::line::LineParser::parse_timespec_and_type
    481 (0.7%)     8 (0.3%)  hashbrown::raw::RawTable<T,A>::find
    475 (0.7%)     6 (0.2%)  alloc::collections::btree::node::slice_insert
    468 (0.7%)     2 (0.1%)  alloc::slice::merge
    450 (0.7%)    21 (0.9%)  core::ops::function::FnOnce::call_once
    450 (0.7%)     9 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    446 (0.7%)     2 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    435 (0.7%)     9 (0.4%)  core::mem::replace
    432 (0.7%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    424 (0.6%)     8 (0.3%)  alloc::alloc::box_free
    390 (0.6%)    39 (1.6%)  <&T as core::fmt::Debug>::fmt
    382 (0.6%)     2 (0.1%)  alloc::slice::insert_head
    381 (0.6%)     1 (0.0%)  parse_zoneinfo::transitions::FixedTimespanSetBuilder::add_multiple_saving
    371 (0.6%)     3 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
