  Lines         Copies      Function name
  -----         ------      -------------
  16807 (100%)  611 (100%)  (TOTAL)
    720 (4.3%)    2 (0.3%)  core::str::pattern::TwoWaySearcher::next
    711 (4.2%)    3 (0.5%)  <yansi::paint::Paint<T> as core::fmt::Display>::fmt
    483 (2.9%)    1 (0.2%)  <pear::input::text::Span as pear::input::show::Show>::fmt
    342 (2.0%)    2 (0.3%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    302 (1.8%)    1 (0.2%)  pear::debug::Tree<pear::debug::Info>::debug_print
    292 (1.7%)    1 (0.2%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    261 (1.6%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    235 (1.4%)    5 (0.8%)  core::mem::replace
    229 (1.4%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    225 (1.3%)    1 (0.2%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    220 (1.3%)    1 (0.2%)  <pear::input::text::Text as pear::input::input::Input>::context
    216 (1.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    203 (1.2%)    7 (1.1%)  core::fmt::ArgumentV1::new
    199 (1.2%)    4 (0.7%)  core::option::Option<T>::map
    192 (1.1%)    1 (0.2%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    172 (1.0%)    1 (0.2%)  core::hash::sip::u8to64_le
    170 (1.0%)    2 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    165 (1.0%)    6 (1.0%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    163 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    147 (0.9%)    1 (0.2%)  alloc::str::<impl str>::replace
    145 (0.9%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    137 (0.8%)    1 (0.2%)  hashbrown::raw::TableLayout::calculate_layout_for
