  Lines         Copies       Function name
  -----         ------       -------------
  59851 (100%)  2048 (100%)  (TOTAL)
   2749 (4.6%)    64 (3.1%)  core::option::Option<T>::map
   2616 (4.4%)     1 (0.0%)  pear_codegen::wrapping_fn_block
   1296 (2.2%)     6 (0.3%)  <F as syn::parse::Parser>::parse2
   1235 (2.1%)    27 (1.3%)  core::mem::replace
   1188 (2.0%)    22 (1.1%)  core::slice::iter::IterMut<T>::post_inc_start
   1092 (1.8%)    23 (1.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1056 (1.8%)    22 (1.1%)  core::slice::iter::IterMut<T>::new
   1012 (1.7%)    22 (1.1%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    954 (1.6%)    24 (1.2%)  core::option::Option<T>::or_else
    900 (1.5%)    18 (0.9%)  syn::punctuated::Pair<T,P>::into_tuple
    892 (1.5%)     8 (0.4%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    693 (1.2%)    51 (2.5%)  core::ops::function::FnOnce::call_once
    630 (1.1%)    36 (1.8%)  <syn::punctuated::PairsMut<T,P> as core::iter::traits::iterator::Iterator>::next::{{closure}}
    587 (1.0%)     9 (0.4%)  alloc::alloc::box_free
    572 (1.0%)     8 (0.4%)  std::thread::local::LocalKey<T>::try_with
    514 (0.9%)     8 (0.4%)  core::result::Result<T,E>::map_err
    503 (0.8%)    29 (1.4%)  core::ptr::read
    495 (0.8%)     1 (0.0%)  pear_codegen::parser_attribute
    489 (0.8%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    486 (0.8%)    18 (0.9%)  syn::punctuated::Punctuated<T,P>::pairs_mut
    476 (0.8%)    23 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    451 (0.8%)     1 (0.0%)  pear_codegen::<impl pear_codegen::parser::Case>::to_tokens
    420 (0.7%)     2 (0.1%)  <&syn::parse::ParseBuffer as pear_codegen::parser::ParseStreamExt>::parse_group
    372 (0.6%)     2 (0.1%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
    372 (0.6%)     1 (0.0%)  <pear_codegen::parser::Context as pear_codegen::parser::Parse>::parse::{{closure}}
    357 (0.6%)     1 (0.0%)  <pear_codegen::parser::Switch as pear_codegen::parser::Parse>::parse
    347 (0.6%)    15 (0.7%)  core::option::Option<T>::as_mut
    343 (0.6%)     1 (0.0%)  <pear_codegen::ParserTransformer as syn::gen::visit_mut::VisitMut>::visit_macro_mut
    336 (0.6%)     2 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    330 (0.6%)    22 (1.1%)  core::slice::raw::from_raw_parts_mut
