  Lines         Copies      Function name
  -----         ------      -------------
  16554 (100%)  506 (100%)  (TOTAL)
   1195 (7.2%)    1 (0.2%)  base64::decode::decode_helper
    908 (5.5%)    1 (0.2%)  alloc::str::join_generic_copy
    461 (2.8%)    1 (0.2%)  base64::decode::decode_chunk
    346 (2.1%)    1 (0.2%)  pem::Pem::new_from_captures
    290 (1.8%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    261 (1.6%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    258 (1.6%)    5 (1.0%)  core::option::Option<T>::map
    255 (1.5%)    1 (0.2%)  pem::encode_config
    253 (1.5%)    1 (0.2%)  pem::parser::parser_inner
    229 (1.4%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    228 (1.4%)    3 (0.6%)  core::iter::traits::iterator::Iterator::fold
    193 (1.2%)    4 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    187 (1.1%)    2 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    183 (1.1%)    3 (0.6%)  core::iter::adapters::map::map_fold::{{closure}}
    163 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    158 (1.0%)    3 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    156 (0.9%)    1 (0.2%)  pem::parser::read_until
    152 (0.9%)    3 (0.6%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    145 (0.9%)    5 (1.0%)  core::fmt::ArgumentV1::new
    137 (0.8%)    1 (0.2%)  base64::decode::decode_config_buf
    135 (0.8%)    3 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    134 (0.8%)    2 (0.4%)  core::result::Result<T,E>::map_err
    127 (0.8%)    2 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    126 (0.8%)    4 (0.8%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    126 (0.8%)    1 (0.2%)  <pem::errors::PemError as core::fmt::Display>::fmt
    121 (0.7%)    1 (0.2%)  core::str::validations::next_code_point_reverse
    117 (0.7%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    115 (0.7%)    4 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    115 (0.7%)    3 (0.6%)  core::iter::traits::iterator::Iterator::for_each
