  Lines          Copies       Function name
  -----          ------       -------------
  129523 (100%)  3520 (100%)  (TOTAL)
   12780 (9.9%)    45 (1.3%)  pest::parser_state::ParserState<R>::rule
    6776 (5.2%)   121 (3.4%)  core::result::Result<T,E>::and_then
    5280 (4.1%)    44 (1.2%)  pest::parser_state::ParserState<R>::sequence
    2184 (1.7%)    39 (1.1%)  core::result::Result<T,E>::or_else
    2119 (1.6%)    13 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1863 (1.4%)     3 (0.1%)  pest_meta::ast::Expr::map_top_down::map_internal
    1833 (1.4%)    13 (0.4%)  pest::parser_state::ParserState<R>::atomic
    1566 (1.2%)     2 (0.1%)  pest_meta::parser::ParserNode::filter_map_top_down::filter_internal
    1400 (1.1%)    23 (0.7%)  core::iter::adapters::map::map_fold::{{closure}}
    1368 (1.1%)    12 (0.3%)  pest::parser_state::ParserState<R>::repeat
    1293 (1.0%)     1 (0.0%)  pest_meta::parser::consume_expr::unaries::{{closure}}
    1289 (1.0%)     1 (0.0%)  pest_meta::parser::consume_expr::unaries
    1273 (1.0%)    12 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    1260 (1.0%)     2 (0.1%)  pest_meta::ast::Expr::map_bottom_up::map_internal
    1160 (0.9%)     8 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1080 (0.8%)    15 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1017 (0.8%)    13 (0.4%)  core::iter::traits::iterator::Iterator::fold
    1012 (0.8%)     4 (0.1%)  pest::parser_state::ParserState<R>::lookahead
     949 (0.7%)    19 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     908 (0.7%)     1 (0.0%)  alloc::str::join_generic_copy
     882 (0.7%)     2 (0.1%)  alloc::slice::merge_sort
     848 (0.7%)     9 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     831 (0.6%)    15 (0.4%)  alloc::alloc::box_free
     826 (0.6%)    10 (0.3%)  core::iter::adapters::map::map_try_fold::{{closure}}
     728 (0.6%)    13 (0.4%)  core::alloc::layout::Layout::array
     726 (0.6%)     1 (0.0%)  <pest_meta::ast::Expr as core::cmp::PartialEq>::eq
     684 (0.5%)     1 (0.0%)  pest_meta::parser::convert_node
     630 (0.5%)    14 (0.4%)  pest::parser_state::ParserState<R>::optional
     615 (0.5%)     1 (0.0%)  pest_meta::ast::ExprTopDownIterator::iterate_expr
     589 (0.5%)     5 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
     568 (0.4%)     9 (0.3%)  alloc::vec::Vec<T,A>::push
     555 (0.4%)    15 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     553 (0.4%)    10 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     533 (0.4%)    11 (0.3%)  core::mem::replace
     525 (0.4%)     1 (0.0%)  <pest_meta::ast::Expr as core::fmt::Debug>::fmt
     519 (0.4%)    29 (0.8%)  core::iter::adapters::map::Map<I,F>::new
     512 (0.4%)     5 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
     507 (0.4%)     1 (0.0%)  pest_meta::optimizer::rule_to_optimized_rule::to_optimized
     504 (0.4%)     1 (0.0%)  <pest_meta::ast::Expr as core::clone::Clone>::clone
     503 (0.4%)     8 (0.2%)  pest_meta::optimizer::unroller::unroll::{{closure}}::{{closure}}
     503 (0.4%)     1 (0.0%)  <pest_meta::parser::ParserExpr as core::fmt::Debug>::fmt
     500 (0.4%)     1 (0.0%)  pest_meta::optimizer::OptimizedExprTopDownIterator::iterate_expr
     495 (0.4%)     2 (0.1%)  pest_meta::parser::consume_expr::{{closure}}
     493 (0.4%)    17 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     490 (0.4%)     1 (0.0%)  pest_meta::optimizer::skipper::skip::{{closure}}
     486 (0.4%)     1 (0.0%)  <pest_meta::parser::ParserExpr as core::clone::Clone>::clone
     461 (0.4%)     5 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     460 (0.4%)     2 (0.1%)  alloc::slice::merge
     454 (0.4%)    12 (0.3%)  core::iter::traits::iterator::Iterator::for_each
