  Lines         Copies       Function name
  -----         ------       -------------
  58896 (100%)  2007 (100%)  (TOTAL)
   1956 (3.3%)    12 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1160 (2.0%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   1031 (1.8%)     1 (0.0%)  phf_macros::_proc_macro_hack_phf_map
   1031 (1.8%)     1 (0.0%)  phf_macros::_proc_macro_hack_phf_ordered_map
   1031 (1.8%)     1 (0.0%)  phf_macros::_proc_macro_hack_phf_ordered_set
   1031 (1.8%)     1 (0.0%)  phf_macros::_proc_macro_hack_phf_set
    864 (1.5%)    12 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    698 (1.2%)     1 (0.0%)  phf_macros::ParsedKey::from_expr
    672 (1.1%)    12 (0.6%)  core::alloc::layout::Layout::array
    669 (1.1%)     9 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    648 (1.1%)     3 (0.1%)  <F as syn::parse::Parser>::parse2
    637 (1.1%)     8 (0.4%)  core::iter::traits::iterator::Iterator::fold
    614 (1.0%)    13 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    568 (1.0%)    12 (0.6%)  core::mem::replace
    522 (0.9%)     1 (0.0%)  phf_generator::try_generate_hash
    495 (0.8%)     3 (0.1%)  siphasher::sip128::Hasher<S>::short_write
    468 (0.8%)     6 (0.3%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    446 (0.8%)     4 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    446 (0.8%)     1 (0.0%)  alloc::slice::merge_sort
    444 (0.8%)    12 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    444 (0.8%)     1 (0.0%)  <phf_macros::ParsedKey as core::cmp::PartialEq>::eq
    432 (0.7%)    10 (0.5%)  core::option::Option<T>::map
    431 (0.7%)     5 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    409 (0.7%)     1 (0.0%)  phf_macros::build_ordered_map
    406 (0.7%)     7 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    404 (0.7%)    21 (1.0%)  core::ptr::read
    387 (0.7%)     7 (0.3%)  core::result::Result<T,E>::map_err
    374 (0.6%)     6 (0.3%)  alloc::alloc::box_free
    372 (0.6%)     2 (0.1%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
    371 (0.6%)     6 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    368 (0.6%)     6 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    359 (0.6%)     5 (0.2%)  std::thread::local::LocalKey<T>::try_with
    348 (0.6%)    12 (0.6%)  core::ptr::metadata::from_raw_parts_mut
    343 (0.6%)     8 (0.4%)  core::result::Result<T,E>::unwrap
    332 (0.6%)     3 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    317 (0.5%)     5 (0.2%)  alloc::vec::Vec<T,A>::push
    316 (0.5%)     8 (0.4%)  core::iter::traits::iterator::Iterator::for_each
    312 (0.5%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    309 (0.5%)     6 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    301 (0.5%)     1 (0.0%)  phf_macros::build_map
    300 (0.5%)     1 (0.0%)  alloc::slice::merge_sort::collapse
    294 (0.5%)     6 (0.3%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    292 (0.5%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    292 (0.5%)     1 (0.0%)  <siphasher::sip128::Sip13Rounds as siphasher::sip128::Sip>::d_rounds
    287 (0.5%)    14 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    282 (0.5%)     6 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    276 (0.5%)    12 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    270 (0.5%)     5 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    264 (0.4%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    253 (0.4%)     1 (0.0%)  siphasher::sip128::u8to64_le
    245 (0.4%)    23 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    242 (0.4%)    25 (1.2%)  core::ptr::write
    242 (0.4%)     1 (0.0%)  <phf_macros::ParsedKey as core::hash::Hash>::hash
    241 (0.4%)    13 (0.6%)  core::ops::function::FnOnce::call_once
    240 (0.4%)     5 (0.2%)  core::slice::iter::Iter<T>::new
    234 (0.4%)     1 (0.0%)  alloc::slice::merge
    232 (0.4%)     8 (0.4%)  core::ptr::metadata::from_raw_parts
    230 (0.4%)     5 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    230 (0.4%)     5 (0.2%)  syn::lit::LitInt::base10_parse::{{closure}}
    219 (0.4%)    18 (0.9%)  core::mem::manually_drop::ManuallyDrop<T>::new
    208 (0.4%)    13 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
    206 (0.3%)     1 (0.0%)  <siphasher::sip128::Hasher<S> as core::hash::Hasher>::write
    204 (0.3%)    12 (0.6%)  core::iter::adapters::map::Map<I,F>::new
    204 (0.3%)     6 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    204 (0.3%)     2 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    195 (0.3%)     7 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    195 (0.3%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    193 (0.3%)     3 (0.1%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    192 (0.3%)     1 (0.0%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    190 (0.3%)     1 (0.0%)  alloc::slice::insert_head
    188 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    185 (0.3%)     8 (0.4%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    185 (0.3%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    182 (0.3%)     1 (0.0%)  phf_macros::phf_ordered_set
    182 (0.3%)     1 (0.0%)  phf_macros::phf_set
