  Lines         Copies       Function name
  -----         ------       -------------
  44922 (100%)  1120 (100%)  (TOTAL)
   1685 (3.8%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::next_state
   1292 (2.9%)    21 (1.9%)  core::result::Result<T,E>::map_err
   1064 (2.4%)     4 (0.4%)  png::utils::unpack_bits
   1004 (2.2%)    22 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    774 (1.7%)     8 (0.7%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    691 (1.5%)     1 (0.1%)  png::filter::unfilter
    676 (1.5%)     4 (0.4%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    674 (1.5%)     1 (0.1%)  <png::decoder::stream::FormatErrorInner as core::fmt::Debug>::fmt
    669 (1.5%)     1 (0.1%)  <png::decoder::stream::FormatError as core::fmt::Display>::fmt
    647 (1.4%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_fctl
    538 (1.2%)     1 (0.1%)  deflate::compress::compress_data_dynamic_n
    534 (1.2%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_ihdr
    516 (1.1%)    21 (1.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    507 (1.1%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_chrm
    496 (1.1%)    49 (4.4%)  <&T as core::fmt::Debug>::fmt
    489 (1.1%)     3 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    471 (1.0%)     1 (0.1%)  png::filter::filter_internal
    435 (1.0%)    15 (1.3%)  core::fmt::ArgumentV1::new
    421 (0.9%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_itxt
    415 (0.9%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_iccp
    414 (0.9%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_trns
    388 (0.9%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_chunk
    377 (0.8%)     1 (0.1%)  png::text_metadata::ITXtChunk::decode
    360 (0.8%)     4 (0.4%)  core::iter::traits::iterator::Iterator::advance_by
    348 (0.8%)     3 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    345 (0.8%)     7 (0.6%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    319 (0.7%)     1 (0.1%)  png::utils::expand_trns_line16
    309 (0.7%)     8 (0.7%)  core::iter::traits::iterator::Iterator::zip
    280 (0.6%)     2 (0.2%)  png::decoder::expand_paletted::{{closure}}
    276 (0.6%)     6 (0.5%)  core::option::Option<T>::map
    272 (0.6%)     1 (0.1%)  <png::common::Transformations as core::fmt::Debug>::fmt
    269 (0.6%)     1 (0.1%)  <png::decoder::stream::State as core::fmt::Debug>::fmt
    267 (0.6%)     4 (0.4%)  core::fmt::builders::DebugList::entries
    267 (0.6%)     1 (0.1%)  png::utils::expand_trns_line
    263 (0.6%)     1 (0.1%)  <png::decoder::stream::Decoded as core::fmt::Debug>::fmt
    261 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    252 (0.6%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_phys
    245 (0.5%)     1 (0.1%)  png::text_metadata::ZTXtChunk::compress_text
    243 (0.5%)     1 (0.1%)  png::utils::expand_pass
    242 (0.5%)     1 (0.1%)  png::common::SourceChromaticities::to_be_bytes
    216 (0.5%)     3 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    213 (0.5%)     1 (0.1%)  png::utils::expand_adam7_bits
    212 (0.5%)     4 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    210 (0.5%)     4 (0.4%)  core::mem::replace
    204 (0.5%)     1 (0.1%)  <png::encoder::FormatError as core::fmt::Display>::fmt
    196 (0.4%)     8 (0.7%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_1
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_2
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_3
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_4
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_6
    196 (0.4%)     1 (0.1%)  png::filter::unfilter::avg_tail_8
    195 (0.4%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::update
    192 (0.4%)     3 (0.3%)  alloc::vec::Vec<T,A>::push
    191 (0.4%)     1 (0.1%)  <png::common::Info as core::fmt::Debug>::fmt
    191 (0.4%)     1 (0.1%)  png::text_metadata::ITXtChunk::compress_text
    190 (0.4%)     2 (0.2%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
    189 (0.4%)     4 (0.4%)  core::slice::iter::Iter<T>::new
    188 (0.4%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_ztxt
    187 (0.4%)     3 (0.3%)  core::iter::adapters::step_by::StepBy<I>::new
    181 (0.4%)     4 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    181 (0.4%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_srgb
    180 (0.4%)     1 (0.1%)  png::decoder::zlib::ZlibStream::finish_compressed_chunks
    179 (0.4%)     1 (0.1%)  png::text_metadata::ZTXtChunk::decompress_text_with_limit
    178 (0.4%)     1 (0.1%)  png::text_metadata::ITXtChunk::decompress_text_with_limit
    170 (0.4%)     1 (0.1%)  png::filter::filter
    169 (0.4%)     1 (0.1%)  png::decoder::zlib::ZlibStream::decompress
    168 (0.4%)     3 (0.3%)  core::alloc::layout::Layout::array
    167 (0.4%)     1 (0.1%)  deflate::writer::compress_until_done
    163 (0.4%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_actl
    162 (0.4%)     1 (0.1%)  deflate::deflate_state::DeflateState<W>::new
    161 (0.4%)     1 (0.1%)  png::text_metadata::TEXtChunk::decode
    157 (0.3%)     1 (0.1%)  <png::encoder::FormatErrorKind as core::fmt::Debug>::fmt
    157 (0.3%)     1 (0.1%)  std::io::Write::write_all
    153 (0.3%)     5 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    147 (0.3%)     2 (0.2%)  core::iter::traits::iterator::Iterator::fold
    137 (0.3%)     1 (0.1%)  png::text_metadata::ZTXtChunk::decode
    136 (0.3%)     4 (0.4%)  <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::next
    136 (0.3%)     4 (0.4%)  core::iter::traits::iterator::Iterator::nth
    136 (0.3%)     1 (0.1%)  <png::common::Info as core::default::Default>::default
    136 (0.3%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_gama
    134 (0.3%)     3 (0.3%)  core::option::Option<T>::ok_or
    134 (0.3%)     1 (0.1%)  png::decoder::expand_paletted
    132 (0.3%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::parse_text
    131 (0.3%)     1 (0.1%)  png::utils::subbyte_pixels::{{closure}}
    129 (0.3%)     3 (0.3%)  core::option::Option<T>::ok_or_else
    129 (0.3%)     1 (0.1%)  core::iter::range::<impl core::iter::traits::double_ended::DoubleEndedIterator for core::ops::range::RangeInclusive<A>>::nth_back
    126 (0.3%)     1 (0.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    124 (0.3%)     1 (0.1%)  core::char::methods::<impl char>::escape_debug_ext
    124 (0.3%)     1 (0.1%)  core::slice::index::range
    122 (0.3%)     7 (0.6%)  core::option::Option<T>::is_some
    121 (0.3%)     5 (0.4%)  core::option::Option<T>::unwrap
    121 (0.3%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::split_keyword
    120 (0.3%)     1 (0.1%)  <deflate::writer::ZlibEncoder<W> as std::io::Write>::write
    116 (0.3%)     4 (0.4%)  png::utils::unpack_bits::{{closure}}
    116 (0.3%)     1 (0.1%)  deflate::writer::ZlibEncoder<W>::output_all
    116 (0.3%)     1 (0.1%)  png::decoder::stream::StreamingDecoder::reset
    111 (0.2%)     3 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    110 (0.2%)     1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    110 (0.2%)     1 (0.1%)  png::text_metadata::ITXtChunk::get_text
    108 (0.2%)     4 (0.4%)  core::iter::adapters::flatten::FlattenCompat<I,U>::new
    108 (0.2%)     1 (0.1%)  png::text_metadata::ZTXtChunk::get_text
    104 (0.2%)     4 (0.4%)  <[T] as core::fmt::Debug>::fmt
    102 (0.2%)     8 (0.7%)  core::iter::adapters::zip::Zip<A,B>::new
    102 (0.2%)     1 (0.1%)  png::decoder::SubframeInfo::new
    101 (0.2%)     1 (0.1%)  <png::common::FrameControl as core::fmt::Debug>::fmt
    101 (0.2%)     1 (0.1%)  png::utils::Adam7Iterator::init_pass
    100 (0.2%)    17 (1.5%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    100 (0.2%)     2 (0.2%)  png::decoder::expand_gray_u8::{{closure}}
    100 (0.2%)     1 (0.1%)  png::filter::filter_paeth
     98 (0.2%)     4 (0.4%)  core::option::Option<T>::as_ref
     97 (0.2%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     97 (0.2%)     1 (0.1%)  png::common::SourceChromaticities::new
     96 (0.2%)     4 (0.4%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::next
     96 (0.2%)     4 (0.4%)  core::ptr::read
     96 (0.2%)     3 (0.3%)  png::text_metadata::ZTXtChunk::compress_text::{{closure}}
     96 (0.2%)     1 (0.1%)  png::common::Info::with_size
     94 (0.2%)     1 (0.1%)  png::common::ColorType::raw_row_length_from_width
     93 (0.2%)     1 (0.1%)  <png::decoder::stream::DecodingError as core::fmt::Display>::fmt
     92 (0.2%)     1 (0.1%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     92 (0.2%)     1 (0.1%)  std::io::impls::<impl std::io::Read for &[u8]>::read_exact
     91 (0.2%)     1 (0.1%)  <png::encoder::EncodingError as core::fmt::Display>::fmt
     90 (0.2%)     9 (0.8%)  <&T as core::fmt::Display>::fmt
     90 (0.2%)     1 (0.1%)  <core::option::Option<T> as core::cmp::PartialOrd>::partial_cmp
     90 (0.2%)     1 (0.1%)  <png::decoder::stream::DecodingError as core::fmt::Debug>::fmt
     90 (0.2%)     1 (0.1%)  <png::encoder::EncodingError as core::fmt::Debug>::fmt
     87 (0.2%)     5 (0.4%)  core::iter::adapters::map::Map<I,F>::new
     87 (0.2%)     3 (0.3%)  <core::iter::adapters::step_by::StepBy<I> as core::iter::traits::iterator::Iterator>::next
     87 (0.2%)     3 (0.3%)  core::ptr::metadata::from_raw_parts
     87 (0.2%)     3 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     87 (0.2%)     1 (0.1%)  <png::utils::Adam7Iterator as core::iter::traits::iterator::Iterator>::next
     87 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::drain
     87 (0.2%)     1 (0.1%)  png::decoder::expand_gray_u8
     86 (0.2%)     1 (0.1%)  <png::chunk::ChunkType as core::fmt::Debug>::fmt
     86 (0.2%)     1 (0.1%)  deflate::writer::ZlibEncoder<W>::finish
     86 (0.2%)     1 (0.1%)  png::common::ColorType::is_combination_invalid
     86 (0.2%)     1 (0.1%)  png::decoder::stream::<impl png::common::Info>::validate
     84 (0.2%)     1 (0.1%)  <<png::chunk::ChunkType as core::fmt::Debug>::fmt::DebugType as core::fmt::Debug>::fmt
     80 (0.2%)     4 (0.4%)  core::iter::adapters::flatten::FlatMap<I,U,F>::new
